arrival_time_s,input_len,output_len
132.4090,6144,32
132.5363,4096,32
132.7418,1024,32
132.9129,2048,32
132.9952,2048,512
133.1561,2048,512
133.2446,512,32
133.4930,4096,512
133.5365,1024,128
133.7497,512,32
133.9951,512,32
134.1554,3072,128
134.4136,512,32
134.4296,1024,32
134.7908,512,32
134.9074,2048,32
135.1511,2048,32
135.1633,3072,128
135.4006,2048,32
135.5416,5120,32
135.6512,512,128
135.6703,128,32
135.7521,512,32
136.0136,5120,128
136.0707,2048,32
136.1573,3072,128
136.2528,512,32
136.4986,512,32
136.7193,3072,128
136.7927,4096,512
136.9951,128,32
137.1623,3072,512
137.4049,512,32
137.6569,512,32
137.9006,512,32
138.1567,2048,512
138.4182,3072,32
138.4992,512,32
138.7435,512,32
138.9129,512,32
139.0390,1024,32
139.1539,512,32
139.4956,3072,32
139.7436,3072,512
139.7508,512,512
140.0367,2048,512
140.0443,512,32
140.2465,2048,512
140.4959,512,32
140.6662,3072,32
140.9016,512,32
140.9931,512,32
140.9972,6144,32
141.1623,1024,128
141.4033,512,32
141.7460,512,32
141.9150,2048,32
142.2451,2048,32
142.3953,7168,32
142.4958,2048,512
142.6667,2048,512
142.7883,2048,32
142.9058,2048,128
142.9962,1024,32
143.0374,512,32
143.2460,1024,128
143.4124,512,32
143.5346,512,32
143.7846,512,32
143.9043,512,32
144.1419,5120,512
144.2843,512,32
144.4953,4096,32
144.6914,512,32
144.7928,3072,512
144.9166,512,32
144.9952,128,32
145.1502,128,32
145.2455,512,32
145.4968,512,32
145.5452,3072,128
145.8943,512,32
145.9127,1024,32
146.0449,512,32
146.2460,32,32
146.4003,1024,512
146.5472,1024,128
146.7517,128,32
146.9000,2048,32
147.1554,6144,32
147.5052,3072,32
147.6523,3072,32
147.7522,512,128
148.1498,2048,32
148.2483,3072,128
148.4174,1024,32
148.6655,512,32
148.6697,3072,512
148.9126,128,32
149.2429,4096,32
149.2987,512,32
149.4961,4096,512
149.6467,512,32
149.7557,512,32
149.9070,3072,32
149.9979,512,32
150.1580,3072,128
150.4188,128,32
150.5466,512,512
150.6682,512,32
150.7493,2048,512
150.9110,2048,128
150.9976,512,32
151.1591,512,32
151.3953,128,32
151.5461,512,32
151.7416,512,32
151.9168,512,32
152.0450,2048,32
152.1717,512,32
152.4163,512,32
152.4953,8192,512
152.5414,128,32
152.6799,3072,512
152.9936,2048,128
153.0676,128,128
153.2601,5120,32
153.4054,512,32
153.7424,1024,128
153.9212,512,128
154.2546,4096,32
154.4962,512,32
154.5663,512,32
154.8991,32,32
155.0535,5120,1024
155.1681,2048,32
155.3983,512,32
155.4233,3072,512
155.6520,512,32
155.7887,512,32
155.9955,5120,512
156.0426,512,32
156.2214,2048,32
156.4044,512,32
156.6710,4096,32
156.9038,4096,1024
157.1770,512,128
157.3960,2048,512
157.5403,1024,32
157.6689,128,32
157.7531,2048,512
157.7960,2048,32
158.0032,2048,512
158.1548,5120,32
158.2466,2048,32
158.4079,3072,128
158.7572,512,32
158.9221,2048,32
159.0411,3072,512
159.1644,512,32
159.2451,6144,32
159.5442,512,32
159.6681,512,32
159.7897,512,32
159.9247,5120,1024
160.0419,2048,32
160.1601,512,32
160.2977,512,32
160.4257,128,32
160.4995,2048,128
160.8928,512,32
160.9100,1024,32
160.9952,512,32
161.1467,512,32
161.1707,512,32
161.2469,2048,32
161.4964,5120,512
161.7430,2048,512
161.9071,2048,32
162.0442,5120,512
162.4232,128,128
162.5464,128,32
