unix_second,endpoint,mean_sensor_power_w,mean_clock_mhz,samples
1789198931,P0,61.75564705882353,1200,17
1789198932,P0,61.544625,1200,16
1789198933,P0,61.56158823529412,1200,17
1789198934,P0,62.48417647058824,1200,17
1789198935,P0,75.14894117647059,1200,17
1789198936,P0,71.087,1200,17
1789198937,P0,62.546,1200,17
1789198938,P0,62.058,1200,16
1789198939,P0,61.569,1200,17
1789198940,P0,61.691,1200,17
1789198941,P0,61.691,1200,17
1789198942,P0,61.69,1200,17
1789198943,P0,61.691,1200,17
1789198944,P0,61.673,1200,17
1789198945,P0,67.64123529411765,1005,17
1789198946,P0,70.5225625,1005,16
1789198947,P0,64.36670588235295,1005,17
1789198948,P0,61.228235294117646,1005,17
1789198949,P0,61.26676470588235,1005,17
1789198950,P0,61.4675294117647,1005,17
1789198951,P0,75.98488235294117,1005,17
1789198952,P0,69.504,1005,17
1789198953,P0,61.102,1005,16
1789198954,P0,61.081294117647055,1005,17
1789198955,P0,61.194823529411764,1005,17
1789198956,P0,61.316823529411764,1005,17
1789198957,P0,61.43882352941176,1005,17
1789198958,P0,67.14235294117647,1005,17
1789198959,P0,75.20723529411765,1005,17
1789198960,P0,66.67629411764706,1005,17
1789198961,P0,61.976705882352945,1005,17
1789198962,P0,61.640764705882354,1005,17
1789198963,P0,61.146058823529415,1005,17
1789198964,P0,60.818,1005,17
1789198965,P0,60.82435294117647,1005,17
1789198966,P0,60.836,1005,17
1789198967,P0,60.874125,1005,16
1789198968,P0,60.92182352941176,974.1176470588235,17
1789198969,P0,71.91270588235294,900,17
1789198970,P0,68.89641176470587,900,17
1789198971,P0,62.24729411764706,900,17
1789198972,P0,61.237941176470585,900,17
1789198973,P0,60.74176470588235,900,17
1789198974,P0,64.52570588235294,900,17
1789198975,P0,74.0644375,900,16
1789198976,P0,68.15558823529412,900,17
1789198977,P0,61.461176470588235,900,17
1789198978,P0,60.87170588235294,900,17
1789198979,P0,60.469,900,17
1789198980,P0,60.469,900,17
1789198981,P0,60.469,900,17
1789198982,P0,69.15311764705882,900,17
1789198983,P0,71.39676470588235,900,17
1789198984,P0,63.018249999999995,900,16
1789198985,P0,60.59876470588235,900,17
1789198986,P0,60.591,900,17
1789198987,P0,60.591,900,17
1789198988,P0,60.59029411764706,900,17
1789198989,P0,60.67682352941176,900,17
1789198990,P0,60.79982352941176,900,17
1789198991,P0,60.92211764705882,900,17
1789198992,P0,65.14158823529412,1048.235294117647,17
1789198993,P0,73.61675,1110,16
1789198994,P0,66.90817647058823,1110,17
1789198995,P0,61.68125,1110,16
1789198996,P0,61.91105882352941,1110,17
1789198997,P0,61.70935294117647,1110,17
1789198998,P0,65.98441176470588,1110,17
1789198999,P0,72.2420588235294,1110,17
1789199000,P0,67.53325,1110,16
1789199001,P0,61.632176470588234,1110,17
1789199002,P0,61.748411764705885,1110,17
1789199003,P0,61.870411764705885,1110,17
1789199004,P0,62.09076470588235,1110,17
1789199005,P0,62.49841176470588,1110,17
1789199006,P0,74.9646875,1110,16
1789199007,P0,62.84223529411765,1110,17
1789199008,P0,61.713470588235296,1110,17
1789199009,P0,61.344941176470584,1110,17
1789199010,P0,61.20917647058823,1110,17
1789199011,P0,61.202,1110,17
1789199012,P0,61.201058823529415,1110,17
1789199013,P0,61.31676470588235,1110,17
1789199014,P0,61.324,1110,17
1789199015,P0,61.308,1110,17
1789199016,P0,61.19123529411765,1011.1764705882352,17
1789199017,P0,64.659625,1005,16
1789199018,P0,74.65364705882354,1005,17
1789199019,P0,65.97370588235295,1005,17
1789199020,P0,61.09605882352941,1005,17
1789199021,P0,61.10847058823529,1005,17
1789199022,P0,61.22994117647059,1005,17
1789199023,P0,68.2270588235294,1005,17
1789199024,P0,74.3258125,1005,16
1789199025,P0,65.62452941176471,1005,17
1789199026,P0,61.15270588235294,1005,17
1789199027,P0,61.242411764705885,1005,17
1789199028,P0,61.37241176470588,1005,17
1789199029,P0,61.503882352941176,1005,17
1789199030,P0,61.68382352941177,1005,17
1789199031,P0,72.39988235294118,1005,17
1789199032,P0,70.73223529411766,1005,17
1789199033,P0,63.064,1005,17
1789199034,P0,60.93964705882353,1005,17
1789199035,P0,61.049499999999995,1005,16
1789199036,P0,61.08,1005,17
1789199037,P0,61.068,1005,17
1789199038,P0,61.221117647058826,1005,17
1789199039,P0,61.300000000000004,1005,17
1789199040,P0,61.03941176470588,1005,17
1789199041,P0,62.36994117647059,1005,17
1789199042,P0,73.22911764705883,1005,17
1789199043,P0,67.47941176470589,1005,17
1789199044,P0,61.102,1005,16
1789199045,P0,61.202,1005,17
1789199046,P0,61.568,1005,17
1789199047,P0,63.64617647058823,1005,17
1789199048,P0,76.69611764705883,1005,17
1789199049,P0,68.64176470588235,1005,17
1789199050,P0,61.06564705882353,1005,17
1789199051,P0,60.958,1005,16
1789199052,P0,60.986705882352936,1005,17
1789199053,P0,61.230705882352936,1005,17
1789199054,P0,61.474823529411765,1005,17
1789199055,P0,66.69194117647059,1005,17
1789199056,P0,75.73452941176471,1005,17
1789199057,P0,66.34341176470588,1005,17
1789199058,P0,61.20758823529412,1005,17
1789199059,P0,61.282,1005,16
1789199060,P0,61.106529411764704,1005,17
1789199061,P0,61.01323529411765,1005,17
1789199062,P0,61.359875,1005,16
1789199063,P0,61.61664705882353,1005,17
1789199064,P0,61.17829411764706,1005,17
1789199065,P0,61.0634705882353,1005,17
1789199066,P0,70.938,1005,16
1789199067,P0,70.47329411764706,1005,17
1789199068,P0,63.27317647058824,1005,17
1789199069,P0,60.950250000000004,1005,16
1789199070,P0,61.10594117647059,1005,17
1789199071,P0,61.709529411764706,1005,17
1789199072,P0,78.4343125,1005,16
1789199073,P0,74.82588235294118,1005,17
1789199074,P0,64.66558823529412,1005,17
1789199075,P0,61.16988235294118,1005,17
1789199076,P0,61.70494117647059,1005,17
1789199077,P0,61.69817647058824,1005,17
1789199078,P0,61.08758823529412,1005,17
1789199079,P0,60.83541176470588,1005,17
1789199080,P0,72.60617647058824,1005,17
1789199081,P0,72.843375,1005,16
1789199082,P0,64.85058823529411,1005,17
1789199083,P0,60.85152941176471,1005,17
1789199084,P0,60.914941176470585,1005,17
1789199085,P0,61.02594117647059,1005,17
1789199086,P0,61.063,1005,17
1789199087,P0,61.23188235294118,1005,17
1789199088,P0,61.58305882352941,1005,17
1789199089,P0,61.86323529411765,1005,17
1789199090,P0,61.76205882352941,1005,17
1789199091,P0,66.01270588235295,1005,17
1789199092,P0,69.5638125,1005,16
1789199093,P0,66.53947058823529,1005,17
1789199094,P0,61.61164705882353,1005,17
1789199095,P0,61.12264705882353,1005,17
1789199096,P0,60.835470588235296,1005,17
1789199097,P0,74.55529411764707,1005,17
1789199098,P0,76.7009411764706,1005,17
1789199099,P0,65.21529411764706,1005,17
1789199100,P0,61.16070588235294,1005,17
1789199101,P0,61.1945625,1005,16
1789199102,P0,61.134764705882354,1005,17
1789199103,P0,61.01976470588235,1005,17
1789199104,P0,60.90776470588235,1005,17
1789199105,P0,68.90458823529411,1005,17
1789199106,P0,72.2039411764706,1005,17
1789199107,P0,66.1446875,1005,16
1789199108,P0,61.930058823529414,1005,17
1789199109,P0,61.61870588235294,1005,17
1789199110,P0,61.18711764705882,1005,17
1789199111,P0,60.892411764705884,1005,17
1789199112,P0,60.90117647058823,1005,17
1789199113,P0,61.02617647058823,1005,17
1789199114,P0,61.268,1005,16
1789199115,P0,61.39358823529412,1005,17
1789199116,P0,62.95023529411765,1005,17
1789199117,P0,66.2146875,1005,16
1789199118,P0,64.78111764705882,1005,17
1789199119,P0,61.449823529411766,1005,17
1789199120,P0,61.077823529411766,1005,17
1789199121,P0,60.9169375,1005,16
1789199122,P0,70.20229411764706,1005,17
1789199123,P0,73.62041176470589,1005,17
1789199124,P0,65.012,1005,16
1789199125,P0,60.87594117647059,1005,17
1789199126,P0,60.90558823529412,1005,17
1789199127,P0,61.207,1005,16
1789199128,P0,61.39358823529412,1005,17
1789199129,P0,61.155352941176474,1005,17
1789199130,P0,78.67823529411766,1005,17
1789199131,P0,72.07376470588235,1005,17
1789199132,P0,62.93775,1005,16
1789199133,P0,61.09029411764706,1005,17
1789199134,P0,61.169294117647055,1005,17
1789199135,P0,61.202,1005,17
1789199136,P0,61.201235294117645,1005,17
1789199137,P0,61.29505882352941,1005,17
1789199138,P0,61.323235294117644,1005,17
1789199139,P0,61.323764705882354,1005,17
1789199140,P0,63.22070588235294,1005,17
1789199141,P0,75.79205882352942,1005,17
1789199142,P0,68.498125,1005,16
1789199143,P0,60.891705882352944,1005,17
1789199144,P0,61.093411764705884,1005,17
1789199145,P0,61.324,1005,17
1789199146,P0,67.64294117647059,1005,17
1789199147,P0,79.14664705882353,1005,17
1789199148,P0,67.36435294117646,1005,17
1789199149,P0,61.34025,1005,16
1789199150,P0,61.35194117647059,1005,17
1789199151,P0,61.49941176470588,1005,17
1789199152,P0,61.72641176470589,1005,17
1789199153,P0,61.822117647058825,1005,17
1789199154,P0,72.40017647058824,1005,17
1789199155,P0,73.72670588235295,1005,17
1789199156,P0,64.4415294117647,1005,17
1789199157,P0,60.930470588235295,1005,17
1789199158,P0,60.958,1005,17
1789199159,P0,60.958,1005,17
1789199160,P0,60.958,1005,17
1789199161,P0,60.958,1005,16
1789199162,P0,61.04411764705882,1005,17
1789199163,P0,61.16611764705882,1005,17
1789199164,P0,61.46035294117647,1005,17
1789199165,P0,77.2669411764706,1005,17
1789199166,P0,69.79117647058823,1005,17
1789199167,P0,61.613,1005,17
1789199168,P0,61.19741176470588,1005,17
1789199169,P0,61.300823529411765,1005,17
1789199170,P0,64.17917647058823,1005,17
1789199171,P0,77.720625,1005,16
1789199172,P0,67.92876470588236,1005,17
1789199173,P0,61.113647058823524,1005,17
1789199174,P0,61.24429411764706,1005,17
1789199175,P0,61.52582352941177,1005,17
1789199176,P0,61.158941176470584,1005,17
1789199177,P0,60.836,1005,17
1789199178,P0,68.357,1005,17
1789199179,P0,79.735,1005,16
1789199180,P0,68.1375294117647,1005,17
1789199181,P0,62.12229411764706,1005,17
1789199182,P0,61.51129411764706,1005,17
1789199183,P0,61.08,1005,17
1789199184,P0,61.075,1005,17
1789199185,P0,61.062705882352944,1005,17
1789199186,P0,61.06729411764706,1005,17
1789199187,P0,61.07970588235294,1005,17
1789199188,P0,61.07929411764706,1005,17
1789199189,P0,70.82505882352942,1005,17
1789199190,P0,71.22562500000001,1005,16
1789199191,P0,63.318176470588234,1005,17
1789199192,P0,60.96752941176471,1005,17
1789199193,P0,61.10025,1005,16
1789199194,P0,61.13523529411765,1005,17
1789199195,P0,76.44994117647059,1005,17
1789199196,P0,73.49975,1005,16
1789199197,P0,63.76305882352941,1005,17
1789199198,P0,61.8374705882353,1005,17
1789199199,P0,61.556294117647056,1005,17
1789199200,P0,61.054125,1005,16
1789199201,P0,61.336176470588235,1005,17
1789199202,P0,61.83529411764706,1005,17
1789199203,P0,68.79405882352941,1005,17
1789199204,P0,69.9754375,1005,16
1789199205,P0,61.122235294117644,1005,17
1789199206,P0,61.446,1005,17
1789199207,P0,61.41729411764706,1005,17
1789199208,P0,60.950823529411764,1005,17
