unix_second,endpoint,mean_sensor_power_w,mean_clock_mhz,samples
1789215253,P1,98.59152941176471,2520,17
1789215254,P1,93.11264705882353,2520,17
1789215255,P1,101.156625,2520,16
1789215256,P1,92.33541176470588,2520,17
1789215257,P1,85.53382352941176,2520,17
1789215258,P1,83.92741176470588,2520,17
1789215259,P1,83.18441176470589,2520,17
1789215260,P1,81.6885294117647,2520,17
1789215261,P1,81.0330588235294,2520,17
1789215262,P1,81.1899375,2520,16
1789215263,P1,81.60670588235294,2520,17
1789215264,P1,82.09576470588236,2520,17
1789215265,P1,82.97911764705883,2520,17
1789215266,P1,82.73482352941177,2520,17
1789215267,P1,81.44205882352941,2520,17
1789215268,P1,81.00458823529412,2520,17
1789215269,P1,81.15864705882353,2520,17
1789215270,P1,81.554,2520,16
1789215271,P1,81.89911764705882,2520,17
1789215272,P1,82.2870588235294,2520,17
1789215273,P1,82.81858823529411,2520,17
1789215274,P1,86.01035294117646,2520,17
1789215275,P1,116.78429411764706,2520,17
1789215276,P1,100.67929411764706,2520,17
1789215277,P1,95.40525,2520,16
1789215278,P1,81.38529411764706,2520,17
1789215279,P1,81.17,2520,17
1789215280,P1,93.71688235294118,2520,17
1789215281,P1,100.7745294117647,2520,17
1789215282,P1,86.98805882352941,2520,17
1789215283,P1,83.3075625,2520,16
1789215284,P1,81.99835294117648,2520,17
1789215285,P1,80.852,2520,17
1789215286,P1,80.89811764705883,2520,17
1789215287,P1,81.0595294117647,2520,17
1789215288,P1,81.18288235294118,2520,17
1789215289,P1,81.53658823529412,2520,17
1789215290,P1,81.87688235294117,2520,17
1789215291,P1,82.48229411764706,2520,17
1789215292,P1,83.255875,2520,16
1789215293,P1,82.28194117647058,2520,17
1789215294,P1,80.98788235294117,2520,17
1789215295,P1,81.02629411764705,2520,17
1789215296,P1,81.02264705882352,2520,17
1789215297,P1,81.58141176470589,2520,17
1789215298,P1,82.56717647058824,2520,17
1789215299,P1,83.5503125,2520,16
1789215300,P1,91.42664705882353,2520,17
1789215301,P1,91.92923529411765,2520,17
1789215302,P1,93.44064705882353,2520,17
1789215303,P1,85.96217647058823,2520,17
1789215304,P1,83.19717647058823,2520,17
1789215305,P1,83.70349999999999,2520,16
1789215306,P1,82.01076470588235,2520,17
1789215307,P1,80.92505882352941,2520,17
1789215308,P1,81.28976470588236,2520,17
1789215309,P1,87.76988235294118,2520,17
1789215310,P1,119.54505882352942,2520,17
1789215311,P1,100.5475,2520,16
1789215312,P1,148.71694117647058,2520,17
1789215313,P1,101.06947058823529,2520,17
1789215314,P1,86.001,2520,17
1789215315,P1,83.67217647058824,2520,17
1789215316,P1,83.100125,2520,16
1789215317,P1,85.29917647058824,2520,17
1789215318,P1,99.84794117647058,2520,17
1789215319,P1,93.88129411764706,2520,17
1789215320,P1,81.15958823529412,2520,17
1789215321,P1,80.83317647058823,2520,17
1789215322,P1,81.0518125,2520,16
1789215323,P1,81.64770588235294,2520,17
1789215324,P1,83.092,2520,17
1789215325,P1,83.88776470588235,2520,17
1789215326,P1,82.19417647058823,2520,17
1789215327,P1,84.14388235294118,2520,17
1789215328,P1,109.4924375,2520,16
1789215329,P1,113.77358823529411,2520,17
1789215330,P1,94.0755294117647,2520,17
1789215331,P1,82.18023529411765,2520,17
1789215332,P1,81.64717647058824,2520,17
1789215333,P1,82.78270588235294,2520,17
1789215334,P1,83.65864705882353,2520,17
1789215335,P1,82.562,2520,16
1789215336,P1,81.29705882352941,2520,17
1789215337,P1,81.94505882352941,2520,17
1789215338,P1,99.45135294117647,2520,17
1789215339,P1,91.45782352941175,2520,17
1789215340,P1,84.5035294117647,2520,17
1789215341,P1,82.6121875,2520,16
1789215342,P1,81.01935294117648,2520,17
1789215343,P1,81.04082352941177,2520,17
1789215344,P1,81.32282352941176,2520,17
1789215345,P1,84.1504705882353,2520,17
1789215346,P1,103.30229411764707,2520,17
1789215347,P1,97.96000000000001,2520,16
1789215348,P1,93.15864705882353,2520,17
1789215349,P1,85.65964705882352,2520,17
1789215350,P1,82.64025,2520,16
1789215351,P1,81.356,2520,17
1789215352,P1,80.87535294117647,2520,17
1789215353,P1,80.8824705882353,2520,17
1789215354,P1,81.02435294117647,2520,17
1789215355,P1,81.35076470588234,2520,17
1789215356,P1,81.58917647058823,2520,17
1789215357,P1,105.021,2520,16
1789215358,P1,144.45711764705882,2520,17
1789215359,P1,96.296,2520,17
1789215360,P1,85.40623529411765,2520,17
1789215361,P1,83.90323529411765,2520,17
1789215362,P1,82.707,2520,17
1789215363,P1,81.29364705882352,2520,17
1789215364,P1,81.048,2520,17
1789215365,P1,81.4370625,2520,16
1789215366,P1,81.78594117647059,2520,17
1789215367,P1,88.35276470588235,2520,17
1789215368,P1,139.51500000000001,2520,17
1789215369,P1,129.3436875,2520,16
1789215370,P1,92.616,2520,17
1789215371,P1,82.621,2520,17
1789215372,P1,83.269,2520,17
1789215373,P1,83.801,2520,17
1789215374,P1,83.855,2520,17
1789215375,P1,82.292,2520,17
1789215376,P1,80.875,2520,16
1789215377,P1,81.13005882352941,2520,17
1789215378,P1,81.146,2520,17
1789215379,P1,100.77329411764705,2520,17
1789215380,P1,104.39770588235294,2520,17
1789215381,P1,93.796,2520,17
1789215382,P1,166.486625,2520,16
1789215383,P1,193.24482352941178,2520,17
1789215384,P1,179.89725,2520,16
1789215385,P1,193.54888235294118,2520,17
1789215386,P1,136.01229411764706,2520,17
1789215387,P1,96.83670588235294,2520,17
1789215388,P1,82.13970588235294,2520,17
1789215389,P1,82.06011764705882,2520,17
1789215390,P1,82.0430588235294,2520,17
1789215391,P1,86.75675,2520,16
1789215392,P1,121.88105882352941,2520,17
1789215393,P1,101.17382352941178,2520,17
1789215394,P1,85.32676470588235,2520,17
1789215395,P1,83.40276470588235,2520,17
1789215396,P1,81.72441176470588,2520,17
1789215397,P1,94.648,2520,16
1789215398,P1,89.50141176470588,2520,17
1789215399,P1,82.73711764705882,2520,17
1789215400,P1,81.40576470588236,2520,17
1789215401,P1,81.68682352941177,2520,17
1789215402,P1,81.90511764705882,2520,17
1789215403,P1,82.38,2520,17
1789215404,P1,83.11,2520,17
1789215405,P1,83.7604705882353,2520,17
1789215406,P1,82.95,2520,16
1789215407,P1,81.54635294117647,2520,17
1789215408,P1,81.00999999999999,2520,17
1789215409,P1,81.16082352941177,2520,17
1789215410,P1,81.31129411764707,2520,17
1789215411,P1,81.39582352941176,2520,17
1789215412,P1,81.82441176470587,2520,17
1789215413,P1,82.23011764705882,2520,17
1789215414,P1,82.65247058823529,2520,17
1789215415,P1,83.44729411764706,2520,17
1789215416,P1,129.0555,2520,16
1789215417,P1,206.2721875,2520,16
1789215418,P1,213.04182352941177,2520,17
1789215419,P1,197.89717647058825,2520,17
1789215420,P1,107.6313125,2520,16
1789215421,P1,87.7695294117647,2520,17
1789215422,P1,82.02588235294118,2520,17
1789215423,P1,82.86188235294118,2520,17
1789215424,P1,83.04876470588236,2520,17
1789215425,P1,81.76264705882353,2520,17
1789215426,P1,81.2964705882353,2520,17
1789215427,P1,81.32382352941175,2520,17
1789215428,P1,81.341,2520,17
1789215429,P1,81.2495,2520,16
1789215430,P1,81.52817647058824,2520,17
1789215431,P1,82.8125294117647,2520,17
1789215432,P1,83.93211764705882,2520,17
1789215433,P1,83.16458823529412,2520,17
1789215434,P1,81.66388235294117,2520,17
1789215435,P1,81.13258823529411,2520,17
1789215436,P1,81.217,2520,17
1789215437,P1,81.35382352941177,2520,17
1789215438,P1,81.25923529411764,2520,17
1789215439,P1,81.40199999999999,2520,16
1789215440,P1,81.72135294117646,2520,17
1789215441,P1,82.69017647058824,2520,17
1789215442,P1,101.60041176470588,2520,17
1789215443,P1,90.3239411764706,2520,17
1789215444,P1,82.3051875,2520,16
1789215445,P1,81.16176470588236,2520,17
1789215446,P1,81.31129411764707,2520,17
1789215447,P1,82.30576470588235,2520,17
1789215448,P1,106.84329411764706,2520,17
1789215449,P1,98.03847058823528,2520,17
1789215450,P1,95.125375,2520,16
1789215451,P1,86.5164705882353,2520,17
1789215452,P1,82.02541176470588,2520,17
1789215453,P1,82.08017647058823,2520,17
1789215454,P1,82.95029411764706,2520,17
1789215455,P1,83.25217647058824,2520,17
1789215456,P1,81.88823529411765,2520,17
1789215457,P1,81.19017647058823,2520,17
1789215458,P1,127.40875,2520,16
1789215459,P1,216.19770588235295,2520,17
1789215460,P1,217.432875,2520,16
1789215461,P1,148.95270588235294,2520,17
1789215462,P1,97.11305882352941,2520,17
1789215463,P1,82.46629411764705,2520,17
1789215464,P1,82.365,2520,17
1789215465,P1,82.58064705882353,2520,17
1789215466,P1,83.73788235294118,2520,17
