timestamp_unix_s,policy,workload,control_iteration_id,controller_action,endpoint_id,node,gpu_id,previous_requested_freq_mhz,requested_freq_mhz,observed_freq_before_mhz,observed_freq_after_mhz,command_status,readback_valid,transition_readback_latency_s,reason,error
1788007445.914989,FEEDBACK_DVFS_ONLY,small_light,warm-09-feedback_dvfs_only-small_light,False,P0,uranus,0,1260,2520,1260,2520,success,True,0.8004007510025986,phase4b_feedback_warmup_high,
1788007511.9607067,FEEDBACK_DVFS_ONLY,small_light,b09-r01-feedback_dvfs_only-small_light,True,D0,ganymede,0,1500,1125,1500,1125,success,True,1.639951144985389,phase4b_feedback_dvfs,
1788007513.9222684,FEEDBACK_DVFS_ONLY,small_light,b09-r01-feedback_dvfs_only-small_light,True,P0,uranus,0,2520,1890,2520,1890,success,True,0.8854451959778089,phase4b_feedback_dvfs,
1788007580.7820516,FEEDBACK_DVFS_ONLY,small_light,b09-r02-feedback_dvfs_only-small_light,True,D0,ganymede,0,1125,750,1125,750,success,True,1.3607140489912126,phase4b_feedback_dvfs,
1788007582.4534009,FEEDBACK_DVFS_ONLY,small_light,b09-r02-feedback_dvfs_only-small_light,True,P0,uranus,0,1890,1260,1890,1260,success,True,1.2036739390168805,phase4b_feedback_dvfs,
1788007839.1233819,FEEDBACK_ROUTING_ONLY,small_light,warm-10-feedback_routing_only-small_light,False,D0,ganymede,0,750,1500,750,1500,success,True,1.3252076729841065,phase4b_feedback_warmup_high,
1788007840.759181,FEEDBACK_ROUTING_ONLY,small_light,warm-10-feedback_routing_only-small_light,False,P0,uranus,0,1260,2520,1260,2520,success,True,1.1827323129982688,phase4b_feedback_warmup_high,
1788008265.0928745,FEEDBACK_DVFS_ONLY,prefill_heavy,b11-r01-feedback_dvfs_only-prefill_heavy,True,D0,ganymede,0,1500,1125,1500,1125,success,True,1.386633397982223,phase4b_feedback_dvfs,
1788008334.435231,FEEDBACK_DVFS_ONLY,prefill_heavy,b11-r02-feedback_dvfs_only-prefill_heavy,True,D0,ganymede,0,1125,750,1125,750,success,True,1.3251366850163322,phase4b_feedback_dvfs,
1788008601.0628715,FEEDBACK_ROUTING_ONLY,decode_heavy,warm-12-feedback_routing_only-decode_heavy,False,D0,ganymede,0,750,1500,750,1500,success,True,1.3590259199845605,phase4b_feedback_warmup_high,
1788010539.9316201,FULL_FEEDBACK,small_light,b16-r01-full_feedback-small_light,True,D1,ganymede,1,1500,1125,1500,1125,success,True,1.7050032959959935,phase4b_feedback_dvfs,
1788010541.946928,FULL_FEEDBACK,small_light,b16-r01-full_feedback-small_light,True,P0,uranus,0,2520,1890,2520,1890,success,True,1.5227153039886616,phase4b_feedback_dvfs,
1788010608.994658,FULL_FEEDBACK,small_light,b16-r02-full_feedback-small_light,True,D1,ganymede,1,1125,750,1125,750,success,True,1.6565563160111196,phase4b_feedback_dvfs,
1788010610.971512,FULL_FEEDBACK,small_light,b16-r02-full_feedback-small_light,True,P0,uranus,0,1890,1260,1890,1260,success,True,0.9117817600199487,phase4b_feedback_dvfs,
1788010863.7333357,RESTORE,all,final_restore,False,D1,ganymede,1,750,1500,750,1500,success,True,1.3845208490092773,phase4b_final_safe_high_restoration,
1788010865.4215136,RESTORE,all,final_restore,False,P0,uranus,0,1260,2520,1260,2520,success,True,1.1739158670243341,phase4b_final_safe_high_restoration,
