mono_s,power_w,sm_mhz,energy_mj
2505616.412,36.49,1500,56342502542
2505616.516,32.76,1500,56342505032
2505616.623,29.02,1500,56342507532
2505616.738,26.21,1500,56342514196
2505616.846,35.35,1245,56342522799
2505616.966,39.10,1500,56342535755
2505617.086,42.88,1500,56342542396
2505617.206,46.66,1500,56342549046
2505617.326,50.43,1500,56342555684
2505617.446,54.17,1500,56342562330
2505617.565,61.73,1500,56342575616
2505617.685,65.54,1500,56342582257
2505617.805,68.94,1500,56342588919
2505617.925,66.94,1500,56342595575
2505618.045,66.51,1500,56342602226
2505618.165,66.51,1500,56342615525
2505618.284,66.59,1500,56342622154
2505618.404,66.59,1500,56342628807
2505618.524,66.58,1500,56342635472
2505618.644,66.64,1500,56342642130
2505618.764,66.60,1500,56342655443
2505618.884,66.69,1500,56342662099
2505619.004,66.67,1500,56342668755
2505619.124,66.69,1500,56342675427
2505619.244,66.69,1500,56342682078
2505619.364,66.68,1500,56342695382
2505619.485,66.68,1500,56342702049
2505619.603,66.72,1500,56342708710
2505619.723,66.67,1500,56342715370
2505619.843,66.68,1500,56342722038
2505619.962,66.69,1500,56342735359
2505620.082,66.76,1500,56342741999
2505620.202,66.71,1500,56342748679
2505620.322,66.73,1500,56342755335
2505620.442,66.66,1500,56342762008
2505620.562,66.75,1500,56342775356
2505620.683,66.80,1500,56342782022
2505620.803,66.79,1500,56342788700
2505620.922,66.88,1500,56342795370
2505621.042,66.82,1500,56342802028
2505621.162,66.76,1500,56342815373
2505621.282,66.88,1500,56342822046
2505621.402,66.89,1500,56342828725
2505621.522,66.83,1500,56342835405
2505621.641,66.85,1500,56342842096
2505621.761,66.81,1500,56342855447
2505621.881,66.87,1500,56342862117
2505622.001,66.88,1500,56342868789
2505622.121,66.86,1500,56342875462
2505622.241,66.81,1500,56342882150
2505622.361,66.84,1500,56342895512
2505622.481,66.95,1500,56342902202
2505622.601,66.95,1500,56342908888
2505622.722,66.95,1500,56342915567
2505622.842,66.94,1500,56342922252
2505622.961,66.96,1500,56342935612
2505623.081,67.04,1500,56342942277
2505623.201,66.97,1500,56342948984
2505623.321,67.05,1500,56342955679
2505623.441,67.04,1500,56342962370
2505623.561,66.99,1500,56342975748
2505623.680,67.08,1500,56342982416
2505623.800,67.06,1500,56342989099
2505623.919,67.02,1500,56342995797
2505624.039,67.08,1500,56343002483
2505624.159,67.02,1500,56343009180
2505624.279,67.11,1500,56343022563
2505624.397,67.09,1500,56343029262
2505624.517,67.11,1500,56343035965
2505624.636,67.09,1500,56343042659
2505624.756,67.03,1500,56343049352
2505624.876,67.07,1500,56343062717
2505624.995,67.13,1500,56343069393
2505625.114,67.04,1500,56343076086
2505625.234,67.06,1500,56343082776
2505625.353,66.99,1500,56343089469
2505625.473,66.99,1500,56343102851
2505625.592,67.02,1500,56343109545
2505625.712,67.03,1500,56343116240
2505625.830,67.00,1500,56343122936
2505625.950,67.00,1500,56343129631
2505626.070,67.05,1500,56343143004
2505626.190,67.06,1500,56343149705
2505626.310,67.14,1500,56343156397
2505626.430,67.12,1500,56343163088
2505626.549,67.09,1500,56343169784
2505626.670,67.18,1500,56343183167
2505626.789,67.13,1500,56343189879
2505626.910,67.17,1500,56343196581
2505627.029,67.17,1500,56343203302
2505627.149,67.12,1500,56343210021
2505627.269,67.21,1500,56343223422
2505627.389,67.18,1500,56343230137
2505627.509,67.21,1500,56343236860
2505627.629,67.26,1500,56343243554
2505627.750,67.23,1500,56343250278
2505627.869,67.28,1500,56343263670
2505627.989,67.27,1500,56343270374
2505628.109,67.23,1500,56343277090
2505628.229,67.28,1500,56343283806
2505628.349,67.26,1500,56343290521
2505628.470,67.26,1500,56343303952
2505628.588,67.24,1500,56343310672
2505628.708,67.27,1500,56343317406
2505628.829,67.30,1500,56343324140
2505628.949,67.21,1500,56343330851
2505629.069,67.28,1500,56343344283
2505629.188,67.35,1500,56343350987
2505629.308,67.29,1500,56343357714
2505629.427,67.34,1500,56343364436
2505629.549,67.27,1500,56343371155
2505629.669,67.29,1500,56343384607
2505629.789,67.34,1500,56343391330
2505629.909,67.29,1500,56343398062
2505630.028,67.32,1500,56343404803
2505630.148,67.30,1500,56343411531
2505630.267,67.33,1500,56343424981
2505630.388,67.37,1500,56343431702
2505630.509,67.43,1500,56343438434
2505630.628,67.37,1500,56343445159
2505630.749,67.39,1500,56343451883
2505630.868,67.45,1500,56343465310
2505630.988,67.41,1500,56343472040
2505631.108,67.46,1500,56343478758
2505631.228,67.44,1500,56343485490
2505631.348,67.37,1500,56343492230
2505631.469,67.44,1500,56343505692
2505631.589,67.36,1500,56343512427
2505631.708,67.39,1500,56343519169
2505631.828,67.43,1500,56343525913
2505631.933,63.62,1500,56343530894
2505632.039,59.88,1500,56343533453
2505632.144,56.08,1500,56343535997
2505632.248,52.28,1500,56343538539
2505632.353,48.53,1500,56343541071
2505632.458,44.72,1500,56343543597
2505632.563,40.85,1500,56343546129
2505632.667,37.16,1500,56343551187
