arrival_time_s,input_len,output_len
11.2603,4398,6
11.2878,1645,11
11.2879,1999,17
11.2888,3422,13
11.2890,4902,10
11.3748,93,6
11.5102,2328,2
11.5355,4459,7
11.5358,3604,11
11.5364,7645,4
11.6277,21,4
11.6442,1676,1
11.6450,1516,2
11.7499,7684,13
11.7597,923,9
11.7860,181,9
11.7874,3423,17
11.7882,4459,14
11.8747,21,4
11.8943,1677,26
11.8949,1976,6
12.0040,7682,3
12.0344,1997,15
12.0757,3583,2
12.1238,22,3
12.2597,4398,1
12.2868,107,6
12.2871,1540,11
12.4993,7685,12
12.7493,4263,3
12.7917,181,9
12.7991,3608,1
12.7993,7646,6
12.8264,2638,10
12.8751,21,12
12.8950,179,20
12.8974,7685,12
12.8983,1678,31
12.8998,1976,16
13.0008,684,49
13.0108,1269,2
13.0452,7686,4
13.0453,3610,2
13.1239,210,61
13.1464,901,3
13.1467,6882,7
13.2867,2455,166
13.2887,318,15
13.3753,95,11
13.3940,180,6
13.5048,6230,22
13.5097,922,1
13.5361,3295,12
13.5376,3608,1
13.6251,210,16
13.6443,976,11
13.7842,1998,13
13.7849,1646,2
13.8280,504,4
13.8282,3585,47
13.8946,3272,7
14.0031,365,105
14.0111,922,1
14.0345,4900,12
14.2587,1140,3
14.2599,6230,25
14.2602,1750,2
14.2606,1651,20
14.2617,922,10
14.2827,2548,6
14.3756,21,1
14.3936,2449,3
14.3950,185,40
14.3985,1678,324
14.5102,2964,2
14.5324,3268,8
14.6250,21,5
14.6449,7687,11
14.6457,2253,3
14.7537,6231,9
14.7661,2282,3
14.8748,1222,3
14.8940,3272,1
15.0049,365,235
15.2502,7193,1
15.2610,1272,177
15.2611,1272,61
15.2828,107,7
15.3767,213,58
15.3789,2603,1
15.3795,2067,2
15.3798,2603,1
15.3938,2449,6
15.3953,1681,134
15.3963,3273,7
15.4964,6231,5
15.5801,2965,2
15.6242,2603,1
15.6257,3691,22
15.6259,2603,7
15.6447,1890,14
15.8361,3585,12
15.8749,2603,7
15.8956,1890,8
16.0222,3693,3
16.1254,7672,17
16.1294,323,22
16.2603,1542,17
16.2611,2378,1
16.2895,2500,1
16.2916,2288,3
16.2922,1124,1
16.2930,1230,1
16.3940,18,8
16.3965,1681,226
16.3973,1480,2
16.5000,7194,2
16.5100,1788,65
16.5347,2551,1
16.5798,3585,1
16.7498,7679,3
16.7509,6232,8
16.7602,2284,11
16.7645,2965,2
16.7862,318,19
16.7882,3432,23
16.8743,1481,1
16.8962,1682,58
17.0015,2281,10
17.0346,319,14
17.1461,2449,53
17.2499,7193,1
17.2512,6233,7
17.2601,1274,8
17.2603,2285,24
17.2895,319,14
17.3318,4218,10
17.3762,2921,12
17.3766,1481,1
17.5345,329,34
17.6241,1481,1
17.7501,2283,14
17.7609,1751,109
17.7683,3695,27
17.7841,84,22
17.8320,3586,8
18.0035,6234,44
18.0108,2286,65
18.0120,1753,2
18.1507,2235,6
18.1524,271,26
18.2598,4492,4
18.3308,4218,22
18.3938,2966,1
18.3948,1552,4
18.3950,737,5
18.3991,1683,221
18.5396,3245,6
18.5402,1812,3
18.5416,2970,2
18.6244,104,6
18.6254,714,61
18.6438,2236,7
18.6439,272,4
18.6447,2741,19
18.7610,833,15
18.8741,1224,2
18.8954,976,11
18.8956,1709,32
18.8958,272,1
19.0106,1276,199
19.0377,2427,15
19.0389,84,10
19.1455,738,3
19.1465,1554,9
19.1469,111,5
19.1494,2971,3
19.2533,160,21
19.2553,105,21
19.2602,1425,9
19.2870,1812,3
19.2888,1118,7
19.2890,2557,3
19.2896,321,10
19.3316,3589,15
19.3900,716,11
19.3938,1555,1
19.4985,367,6
19.5817,506,65
19.6240,1143,58
19.6452,272,25
19.6458,2741,19
19.7551,367,4
19.7609,3700,28
19.8755,392,16
19.8939,740,4
19.8964,2235,11
19.8970,273,29
20.0039,2284,19
20.0112,1425,9
20.0813,3590,1
20.0846,2642,14
20.1241,320,17
20.1458,2971,2
20.2637,85,39
20.2826,1231,4
20.3322,3592,28
20.3344,2664,1
20.3756,2067,9
20.3939,1556,1
20.3963,273,21
20.5019,3673,247
20.5034,954,3
20.5037,107,21
20.6253,7673,21
20.6456,273,1
20.6470,1976,20
20.7598,4658,1
20.7604,4657,3
20.7668,3703,9
20.7669,85,8
20.7841,1231,11
20.8290,3667,1
20.8294,3413,3
21.0342,3275,3
21.0807,3590,15
21.1240,2974,1
21.1248,2974,1
21.1442,2144,5
21.1447,1555,3
21.1455,1753,4
21.1457,737,5
21.1478,2743,9
21.2600,4656,2
21.2605,1278,3
21.2944,1231,24
21.3301,159,26
21.3320,5433,9
21.3944,2974,2
21.3947,2145,6
21.3967,901,3
21.3974,2707,1
21.3975,2744,11
21.6306,717,5
21.7571,713,10
21.7583,107,20
21.7598,1278,1
21.7864,3280,17
21.7884,2560,116
21.8289,3668,9
21.8789,2974,2
21.8960,1977,13
21.8967,901,3
22.0150,3701,11
22.0343,4896,19
22.1243,216,271
22.1460,186,30
22.1493,280,23
22.2597,1278,6
22.2620,2974,1
22.3946,187,7
22.3959,1756,42
22.3987,901,3
22.5031,2974,2
22.5067,370,2
22.5122,85,16
22.5339,4896,58
22.6447,1538,11
22.6468,901,3
22.7520,2975,1
22.7613,2975,2
22.8269,3668,3
22.8809,214,55
22.8944,1065,10
23.0329,1236,1
23.1458,190,19
23.1474,901,3
23.1480,283,17
23.2857,1236,16
23.3943,191,7
23.5099,2409,1
23.5137,86,6
23.5322,95,1
23.6450,901,3
23.7867,3284,3
23.7868,96,2
23.7890,2427,16
23.8295,1079,4
23.8794,1995,13
23.8947,2450,43
23.8965,901,3
23.9967,1262,260
23.9985,4257,19
24.0151,86,3
24.0362,3241,2
24.0378,1237,1
24.0381,6088,1
24.0381,7686,6
24.0771,1079,4
24.1265,445,8
24.1269,720,8
24.2643,2409,1
24.2848,1691,1
24.2863,3437,15
24.3951,2449,43
24.3959,1547,3
24.4959,7679,3
24.5155,87,1
24.5335,1760,9
24.5346,5618,1
24.6440,2450,5
24.8264,3668,9
24.8756,720,2
24.8937,192,1
24.8955,901,3
25.0150,87,1
25.1337,2922,13
25.1341,105,3
25.1376,1996,14
25.1479,2569,14
25.2840,1236,14
25.4003,1549,7
25.4004,192,19
25.4027,976,12
25.4956,7680,3
25.5189,7179,3
25.5366,236,15
25.6283,105,59
25.6288,226,50
25.6453,1979,23
25.7472,407,13
25.8254,1086,2
25.8775,105,1
25.8940,2705,9
25.9965,722,4
25.9967,6238,8
26.0264,1538,12
26.0321,87,139
26.1264,103,7
26.2846,2005,53
26.3260,3669,10
26.3942,1550,6
26.3947,739,3
26.3963,2707,1
26.3979,332,16
26.5148,87,6
26.5314,2452,20
26.6283,105,4
26.6288,1088,3
26.6445,740,3
26.7472,7683,13
26.7825,3242,1
26.8792,2526,1
26.8799,105,4
26.8971,2707,9
27.0368,3242,1
27.0372,1691,1
27.0378,1765,9
27.0382,3242,4
27.1438,1969,70
27.1464,1981,5
27.1469,7685,18
27.2457,723,71
27.2888,2008,25
27.2910,2975,2
27.3776,106,8
27.3954,740,51
27.5333,2235,4
27.5339,3443,7
27.6314,406,14
27.6338,1996,14
27.8953,1557,24
28.0338,7686,5
28.1264,2526,5
28.1472,2646,15
28.2462,670,2
28.3944,1982,15
28.5398,6088,2
28.5805,988,3
28.6437,7653,16
28.7709,3710,13
28.7830,2233,4
28.8255,3668,9
28.8262,1187,148
28.8812,106,1
29.0198,2451,1
29.0223,1023,1
29.0348,318,12
29.0766,1539,10
29.1370,7670,17
29.1397,1999,16
29.2723,1765,4
29.2740,7180,7
29.2819,2233,4
29.3260,6108,18
29.3811,106,5
29.5776,1187,55
29.6484,7654,24
29.7473,6244,52
29.7479,950,37
29.7706,1184,34
29.7775,1022,16
29.7833,407,14
29.8262,6109,17
29.8941,742,86
29.9968,5028,1
30.0196,87,500
30.0209,1458,3
30.1448,1551,6
30.1470,2752,3
30.2467,4261,4
30.2677,1184,15
30.2742,1022,106
30.3257,912,7
30.3817,339,9
30.3945,2406,6
30.3947,1557,13
30.3982,2977,2
30.5406,2452,28
30.5435,4470,6
30.5436,3443,8
30.5442,2232,5
30.6309,2925,3
30.6449,1070,1
30.6492,7655,1
30.7654,1184,23
30.7861,2232,4
30.7861,3443,23
30.8265,4379,20
30.8998,2646,13
30.9058,1559,132
30.9957,5029,2
31.0380,3253,3
31.0415,4896,9
31.0416,2232,5
31.1301,339,24
31.1317,341,1
31.1474,1551,6
31.2695,2286,61
31.2854,2455,20
31.2865,3444,1
31.3263,3669,10
31.3278,911,7
31.3936,1973,1
31.3986,1983,3
31.5373,2452,19
31.5398,3444,7
31.6267,1981,18
31.6269,341,12
31.6443,2406,46
31.6452,1557,1
31.7664,2414,1
31.8946,27,73
31.8994,2752,9
31.9989,6245,9
32.0191,1587,4
32.0379,2454,12
32.0405,2234,4
32.2662,1768,260
32.2878,3445,14
32.2890,7674,29
32.3255,912,7
32.3754,107,5
32.3937,1075,11
32.3984,1983,3
32.4959,6246,8
32.5138,7679,162
32.5342,2455,21
32.6244,107,5
32.6255,343,23
32.6269,121,1
32.7472,599,1
32.7666,1588,2
32.8743,107,5
32.8754,7686,500
32.8760,121,24
32.8944,743,402
32.8975,1983,19
33.0390,2456,37
33.0411,3321,1
33.0420,4902,14
33.1243,107,5
33.1262,121,22
33.1264,342,31
33.2469,6545,1
33.2624,2286,10
33.3753,108,1
33.3778,122,1
33.3782,85,31
33.3789,122,3
33.5173,2287,18
33.5226,3106,3
33.5762,3596,67
33.6245,341,2
33.6251,122,10
33.6257,123,8
33.6467,7686,23
33.7624,845,13
33.8740,109,3
34.0115,845,8
34.0363,1539,16
34.0753,3598,18
34.1468,27,145
34.2623,845,18
34.2847,1769,9
34.2869,3323,13
34.5104,1028,1
34.8746,342,34
35.0149,1591,7
35.0155,530,2
35.0160,1026,59
35.0163,1770,205
35.0328,1095,57
35.0794,1138,1
35.2473,668,1
35.3751,1481,13
35.3944,7686,11
35.4976,724,9
35.5140,530,2
35.5151,530,2
35.5310,2235,3
35.6247,3219,6
35.7650,1593,6
35.7670,531,1
35.7671,1026,115
35.7802,2250,6
35.8272,302,46
35.8739,1732,1
35.9977,668,3
36.0202,2420,4
36.2468,725,7
36.2658,1454,12
36.3253,302,45
36.3940,1233,2
36.5141,2420,1
36.5323,333,10
36.5763,3606,12
36.7471,1141,10
36.7681,1028,115
36.7798,3275,3
36.7807,7677,33
36.8939,2456,2
36.8954,275,11
36.9956,1018,1
37.0167,2373,1
37.0170,2420,1
37.0330,3281,3
37.0774,1768,13
37.1244,1482,3
37.2463,1019,4
37.2686,3179,26
37.2802,4385,1
37.2806,4462,7
37.2807,331,4
37.3254,3605,12
37.4021,275,30
37.5302,3280,5
37.5331,331,11
37.6469,2455,6
37.7475,836,13
37.7491,751,3
37.7496,1020,2
37.7671,2373,19
37.7804,4446,87
37.7812,4462,8
37.8993,744,1
37.8994,3486,16
38.0185,325,45
38.0318,4243,8
38.1560,744,3
38.1584,1848,15
38.2459,1021,1
38.2803,4462,1
38.3259,3604,10
38.3769,1719,9
38.3960,2455,35
38.5155,216,15
38.5393,4464,12
38.6280,1731,2
38.6525,7651,25
38.8253,3604,12
38.8272,1249,12
38.8777,1731,2
38.8788,4521,14
39.0109,2377,4
39.0125,2291,73
39.0310,1764,137
39.0317,182,4
39.0785,6109,7
39.1497,744,5
39.2466,1558,3
39.2807,4465,16
39.3262,1537,8
39.3286,1247,34
39.3794,1731,2
39.3808,2921,12
39.5306,3282,3
39.5769,367,26
39.5784,1750,78
39.5785,6109,13
39.7495,1557,1
39.7623,1454,12
39.7805,2761,3
39.7831,7683,12
39.8273,1249,30
39.8826,109,7
39.8854,1410,32
40.0774,6109,16
40.1252,3222,12
40.3764,109,1
40.3950,746,2
40.5008,4407,30
40.5024,836,55
40.5777,1249,27
40.7807,4595,35
40.8761,109,5
41.0111,220,14
41.2615,1608,5
41.2827,5731,6
41.3761,109,1
41.5019,114,26
41.5305,5731,6
41.6283,109,3
41.8255,1683,1
41.8784,109,1
42.0311,3326,11
42.1453,1070,5
42.2535,755,54
42.3790,109,1
42.3803,721,123
42.3958,750,5
42.5002,837,6
42.5113,441,39
42.6330,110,9
42.6347,1330,4
42.6454,580,49
42.7800,4914,2
42.7802,4466,8
42.8756,721,81
42.8939,6854,49
43.0312,4467,1
43.0763,1162,18
43.1287,2062,16
43.2469,770,11
43.2595,480,12
43.5315,5987,3
43.5317,3180,2
43.5320,2762,6
43.5340,3325,85
43.5354,4467,10
43.6275,2063,15
43.6276,624,19
43.7611,2219,3
43.7808,4913,73
43.8792,370,16
43.8937,2412,3
44.0166,1532,120
44.0179,850,17
44.0336,3325,8
44.0761,1248,28
44.1276,723,8
44.1478,6857,58
44.2801,3587,17
44.2805,2150,2
44.3260,277,23
44.3970,1552,5
44.5077,839,43
44.5079,771,1
44.5118,759,30
44.5303,1653,1
44.5311,3325,8
44.5768,1248,23
44.6510,754,43
44.6550,1085,9
44.7500,1559,1
44.7636,278,13
44.8267,1249,22
44.8972,1073,1
44.8976,2413,2
45.0312,10,2
45.1241,2042,1
45.1253,724,5
45.1257,2310,17
45.1491,111,4
45.1505,1085,10
45.2483,729,5
45.3261,1248,22
45.3992,1553,4
45.4001,1074,1
45.4002,2122,1
45.5120,278,17
45.5779,1248,20
45.6479,1074,1
45.6482,81,17
45.7519,1561,14
45.7532,1929,13
45.8739,7677,1
45.8743,2932,3
45.8748,7681,6
45.8770,724,6
45.8961,760,39
46.2668,12,1
46.3762,2932,18
46.3787,725,6
46.4006,81,4
46.4010,1072,3
46.4015,537,23
46.5305,2473,24
46.5311,12,1
46.5332,341,40
46.6256,2310,19
46.6471,766,21
46.7573,118,14
46.7578,2587,260
46.7677,401,20
46.7799,2062,3
46.7820,2115,20
46.8267,1245,15
46.8748,7671,1
46.8764,2046,3
46.9031,1086,10
46.9985,733,2
47.0146,13,1
47.0181,401,10
47.0766,380,18
47.0808,329,38
47.1450,538,21
47.2648,279,17
47.6245,1280,16
47.7677,1038,73
47.7686,403,18
47.7806,1089,92
47.8259,3590,24
47.8265,5439,17
47.8760,1280,79
47.8795,2311,16
48.0762,377,7
48.1247,7671,5
48.1521,1591,6
48.2530,6545,1
48.2536,1562,12
48.2922,1090,4
48.2934,3331,3
48.3266,3592,16
48.3997,114,24
48.4017,1591,6
48.5391,1098,1
48.6455,541,1
48.7606,1023,25
48.7858,1656,13
48.7881,4467,9
48.8752,7671,20
49.0118,4391,8
49.0333,1785,8
49.0754,379,10
49.1480,1594,1
49.1487,1594,1
49.2556,329,41
49.3782,1329,27
49.3991,542,3
49.5358,1783,33
49.6259,2167,3
49.6463,1595,49
49.7479,843,502
49.7612,4394,76
49.7663,49,2
49.9004,1595,58
50.1482,1595,1
50.2810,3335,1
50.3754,134,4
50.4048,1594,16
50.5110,854,15
50.6240,1923,1
50.7469,4880,1
50.7472,116,28
50.7824,4919,8
50.7829,2125,3
50.8755,472,25
50.9051,1939,49
50.9068,545,1
50.9106,1595,13
50.9974,4268,1
50.9977,4880,1
51.0117,4396,7
51.0755,912,1
51.1268,134,60
51.1482,1939,125
51.2893,3336,7
51.3264,3597,20
51.4002,2125,7
51.4960,4270,1
51.5132,1043,26
51.5346,4919,86
51.6279,1091,5
51.7867,7683,29
51.8743,1701,9
52.0109,4398,5
52.0328,1786,7
52.0766,3597,23
52.1256,2956,2
52.1554,545,22
52.3264,3597,1
52.3766,2312,19
52.4058,101,2
52.4968,7684,33
52.5339,2114,18
52.6499,82,15
52.7482,4270,6
52.8265,3597,26
52.8747,2566,9
52.8773,2314,18
53.0114,4398,5
53.0151,92,36
53.0327,2959,2
53.1522,1554,12
53.1535,544,15
53.2470,3011,6
53.4102,544,9
53.4140,1094,19
53.4154,2960,1
53.4976,4843,11
53.5106,3407,19
53.5109,2377,20
53.5780,3599,20
53.6245,2960,1
53.7604,220,10
53.7644,405,1
53.8751,2960,1
53.9002,544,37
53.9005,2129,1
53.9958,1658,19
54.0144,405,15
54.1248,2067,15
54.2600,2961,2
54.2845,3343,157
54.5140,404,1
54.5804,594,7
54.6266,2067,16
54.6506,1094,17
54.7596,923,9
54.7891,1792,74
54.7931,908,3
54.8801,1328,25
54.9007,2126,4
54.9020,542,17
54.9022,1939,861
54.9047,795,4
55.0119,925,31
55.0217,404,14
55.0229,1045,2
55.0360,1565,13
55.0365,2767,9
55.1239,2962,2
55.1482,795,21
55.2460,74,1
55.2596,4398,5
55.2658,1605,9
55.2664,405,15
55.3751,726,1
55.3990,1564,16
55.4963,7682,9
55.5109,856,15
55.5342,7683,12
55.7474,1561,3
55.7599,926,9
55.7662,1605,1
55.7672,405,14
55.8985,544,34
55.8992,2127,2
55.9961,7685,4
56.0165,4393,8
56.0195,1605,11
56.0331,1572,4
56.1245,727,3
56.1511,1639,10
56.1518,1564,16
56.2860,1573,3
56.2877,3346,1
56.2884,2581,10
56.4032,2127,10
56.4033,545,12
56.4065,1095,14
56.5113,220,17
56.6242,729,1
56.6500,6698,53
56.7654,1605,26
56.8292,1754,40
56.9970,74,21
57.0121,2370,8
57.0186,1605,1
57.0387,5307,15
57.0394,908,3
57.0402,2580,63
57.1248,729,3
57.1249,3217,3
57.1451,2413,2
57.2607,4391,160
57.2865,3348,7
57.3965,1232,3
57.3979,2615,9
57.4967,1661,13
57.5117,91,500
57.5355,7683,12
57.5362,908,9
57.6436,543,10
57.6440,2578,15
57.6468,6700,58
57.6476,901,3
57.7625,1606,2
57.7866,2676,10
57.8952,544,34
57.8977,901,3
57.9957,1563,23
58.0145,4772,9
58.0154,91,2
58.0157,1606,1
58.0809,5444,16
58.1245,2335,3
58.2623,1606,10
58.2816,2582,6
58.3782,1326,30
58.3946,901,18
58.5397,5307,33
58.6249,2644,7
58.6274,724,9
58.7476,1610,13
58.7504,6256,31
58.7625,4773,11
58.7854,2583,9
58.8364,499,19
58.8371,598,3
58.8750,6190,11
58.8778,1326,14
58.8944,2130,10
58.8965,976,18
59.0113,217,17
59.0353,3347,8
59.0774,601,4
59.1451,2617,3
59.1459,3358,121
59.1463,6700,34
59.1470,2617,3
59.2609,3386,20
59.3272,601,4
59.3764,1326,8
59.3876,2958,3
59.4961,2962,2
59.4987,666,2
59.5323,2021,97
59.6258,2647,1
59.6276,733,279
59.6287,1326,29
59.7602,1608,8
59.7797,1662,2
59.7807,2502,5
59.8957,545,27
59.8996,6701,58
59.9992,1665,1
60.0000,144,415
60.0307,2503,4
60.0785,2134,3
60.1245,1222,3
60.1260,2961,4
60.1270,1162,11
60.1452,2132,8
60.2609,4423,62
60.2667,1608,6
60.2672,4732,12
60.3279,600,3
60.3942,1648,3
60.4979,2964,2
60.6253,2961,4
60.6443,1648,10
60.7493,6259,2
60.8299,1218,9
60.8982,4375,2
60.9000,977,11
61.2604,214,22
61.2840,86,46
61.3309,598,15
61.3936,2965,2
61.5797,7686,3
61.6439,2413,2
61.6446,2137,5
61.7527,4851,44
61.7532,1934,7
61.8264,1687,1
61.8940,2412,3
62.0135,1608,4
62.1445,6700,70
62.2481,6259,1
62.2651,1608,5
62.2917,1654,61
62.2963,87,46
62.3953,3363,18
62.5098,1824,2
62.5162,1246,10
62.5351,4268,28
62.6249,2067,14
62.7633,1608,22
62.7859,4595,13
62.8751,327,44
62.8941,2412,6
62.9965,818,4
63.0102,4425,8
63.0390,4953,1
63.0396,3353,4
63.0398,87,22
63.0760,598,16
63.2629,1248,10
63.2841,7685,14
63.3743,874,3
63.3762,2067,21
63.4972,822,1
63.5134,1610,21
63.5151,1224,53
63.5421,3353,4
63.5429,4953,10
63.6244,275,8
63.7476,2440,2
63.7875,1650,56
63.7901,88,24
63.8268,2965,1
63.9965,824,1
64.0390,1961,3
64.0407,2965,2
64.2520,4854,6
64.2529,19,8
64.2653,1246,11
64.2855,87,40
64.4961,7672,9
64.4983,4857,5
64.4990,1566,33
64.5150,1224,52
64.5157,1039,2
64.5339,3354,4
64.6515,545,42
64.6517,2412,43
64.7818,2150,3
64.7825,4440,9
64.8319,1186,7
64.9959,7674,4
65.1523,977,17
65.2467,666,9
65.2618,1248,11
65.2825,4954,1
65.3319,7678,2
65.3752,1090,4
65.3760,2965,1
65.3769,1326,3
65.3770,1166,1
65.4965,1481,30
65.6499,2413,136
65.6502,547,23
65.7468,7675,3
65.7627,1040,100
65.7846,4955,7
65.7851,2966,1
66.0367,2151,6
66.0400,2966,1
66.1530,209,14
66.1577,1271,23
66.2633,1249,9
66.3761,1326,22
66.4045,547,25
66.4092,3396,13
66.5145,3386,23
66.5150,1230,28
66.5371,1936,3
66.5419,1479,1
66.5810,602,4
66.5811,1274,20
66.6254,276,10
66.6469,530,81
66.7464,7675,2
66.7886,3192,2
66.7896,1936,3
66.8766,276,10
66.9002,4114,19
66.9023,977,35
66.9969,4860,1
67.0491,341,15
67.1310,2340,15
67.1312,276,42
67.2466,669,2
67.2468,1567,6
67.2669,2965,2
67.2741,978,1
67.2744,1250,6
67.2911,330,15
67.2940,4962,66
67.3767,276,205
67.3992,2199,9
67.4014,3396,16
67.4960,4860,13
67.5190,215,8
67.5254,1232,16
67.5272,1260,6
67.5387,127,1
67.6444,2201,7
67.7703,2580,12
67.7767,978,20
67.7775,1597,37
67.7866,3192,2
67.8769,1090,8
67.8952,2201,1
67.8973,1870,22
68.0225,1597,220
68.0235,1232,58
68.0238,3386,21
68.0390,128,9
68.0395,3192,1
68.1322,7663,40
68.1329,277,11
68.1489,6882,2
68.2636,2966,1
68.2921,325,1
68.2932,3192,2
68.3830,277,6
68.3948,277,19
68.5186,1600,49
68.5417,3192,2
68.5451,2966,2
68.5464,114,12
68.6313,713,9
68.6454,277,1
68.7721,2537,9
68.7808,1233,63
68.7808,530,23
68.7824,2966,2
68.7935,3192,2
68.8289,3717,13
68.8937,277,1
68.9969,759,51
69.0212,530,30
69.0219,1596,17
69.0421,325,115
69.1392,327,22
69.1417,135,85
69.1426,278,6
69.1436,2073,15
69.1471,277,19
69.2465,1278,37
69.2930,4961,7
69.3789,352,13
69.3800,137,12
69.3938,561,5
69.3943,2202,1
69.3970,1667,21
69.5210,1263,1
69.5218,1598,12
69.5222,532,29
69.6442,4367,2
69.6445,916,7
69.7692,1263,4
69.7817,325,1
69.8760,874,3
69.8945,1668,22
69.8949,3534,3
70.0157,1543,9
70.0209,532,20
70.0215,1266,2
70.1258,2969,2
70.1514,2203,4
70.1537,317,21
70.2461,2596,1
70.2471,6559,29
70.2656,1320,4
70.3271,3407,18
70.3780,279,6
70.5155,547,17
70.5155,1596,19
70.5834,2328,3
70.5847,600,22
70.6266,914,8
70.6492,2416,2
70.6517,317,8
70.7858,326,127
70.9051,387,18
71.1495,317,15
71.2685,1048,91
71.2692,2968,3
71.3311,359,18
71.3809,229,67
71.3988,2219,2
71.3996,2415,3
71.4003,388,14
71.6321,2528,5
71.7679,2581,21
71.7730,550,18
71.7845,328,12
71.7860,648,2
71.8269,599,17
71.8856,2442,167
71.8893,138,61
71.8956,2415,6
72.0133,2581,3
72.0789,1247,3
72.1271,138,4
72.2469,1936,310
72.2471,955,11
72.2938,4973,2
72.3278,597,18
72.3839,138,46
72.4959,360,4
72.6260,874,6
73.0387,330,159
73.0760,5446,26
