unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib
1784739290.404333669,0,480,23726969610,14110917767,0, 59.17, 480, 37565
1784739290.986503967,0,480,23727205606,14111158645,0, 59.13, 480, 37565
1784739291.570048760,0,480,23727265820,14111216997,0, 59.13, 480, 37565
1784739292.151232436,0,480,23727265820,14111216997,0, 59.13, 480, 37565
1784739292.732937303,0,480,23727344823,14111284789,0, 59.13, 480, 37565
1784739293.315130524,0,480,23727344823,14111284789,0, 59.13, 480, 37565
1784739293.897733051,0,480,23727385427,14111322801,0, 59.13, 480, 37565
1784739294.478891648,0,480,23727385427,14111322801,0, 59.56, 480, 37565
1784739295.059817519,0,480,23727388613,14111327364,0, 59.90, 480, 37815
1784739295.643217810,0,480,23727517753,14113642694,0, 59.49, 480, 37815
1784739296.227215236,0,480,23727517753,14113642694,0, 59.40, 480, 37815
1784739296.808887195,0,480,23727519521,14113645046,0, 59.40, 480, 37815
1784739297.390434807,0,480,23727519521,14113645046,0, 59.38, 480, 37815
1784739297.970968286,0,480,23727522807,14113663593,0, 59.25, 480, 37815
1784739298.552802855,0,480,23727522807,14113663593,0, 59.25, 480, 37815
1784739299.133810041,0,480,23727524919,14113667431,0, 59.25, 480, 37815
1784739299.715492138,0,480,23727527085,14113671557,0, 59.25, 480, 37815
1784739300.298248919,0,480,23727527085,14113671557,0, 59.38, 480, 37815
1784739300.878572943,0,480,23727528303,14113673988,0, 59.38, 480, 37815
1784739301.461067040,0,480,23727528303,14113673988,0, 59.50, 480, 37815
1784739302.043434468,0,480,23727530469,14113678546,0, 59.50, 480, 37815
1784739302.626296787,0,480,23727530469,14113678546,0, 59.50, 480, 37815
1784739303.207179886,0,480,23727532647,14113683458,0, 59.25, 480, 37815
1784739303.789201174,0,480,23727535011,14113688789,0, 59.25, 480, 37815
1784739304.371050169,0,480,23727535011,14113688789,0, 59.25, 480, 37815
1784739304.953763346,0,480,23727536229,14113691725,0, 59.38, 480, 37815
1784739305.534979638,0,480,23727536229,14113691725,0, 59.38, 480, 37815
1784739306.117042387,0,480,23727538461,14113697423,0, 59.38, 480, 37815
1784739306.699676111,0,480,23727538461,14113697423,0, 59.38, 480, 37815
1784739307.281918890,0,480,23727540705,14113703540,0, 59.37, 480, 37815
1784739307.866190046,0,480,23727542841,14113708454,0, 59.37, 480, 37815
1784739308.450140165,0,480,23727542841,14113708454,0, 59.38, 480, 37815
1784739309.032836260,0,480,23727545945,14113715778,0, 59.38, 480, 37815
1784739309.614979313,0,480,23727545945,14113715778,0, 59.38, 480, 37815
1784739310.197125343,0,480,23727548309,14113722615,0, 59.38, 480, 37815
1784739310.777133265,0,480,23727548309,14113722615,0, 59.38, 480, 37815
1784739311.358785107,0,480,23727550805,14113729859,0, 59.38, 480, 37815
1784739311.939006735,0,480,23727552143,14113733593,0, 59.38, 480, 37815
1784739312.521042675,0,480,23727552143,14113733593,0, 59.38, 480, 37815
1784739313.101799364,0,480,23727554321,14113741150,0, 59.25, 480, 37815
1784739313.683127920,0,480,23727554321,14113741150,0, 59.25, 480, 37815
1784739314.264897110,0,480,23727556619,14113748930,0, 59.25, 480, 37815
1784739314.847215512,0,480,23727556619,14113748930,0, 59.25, 480, 37815
1784739315.428155921,0,480,23727557837,14113753090,0, 59.37, 480, 37815
1784739316.011036741,0,480,23727557837,14113753090,0, 59.38, 480, 37815
1784739316.591937097,0,480,23727560821,14113762131,0, 59.38, 480, 37815
1784739317.173655366,0,480,23727562933,14113770697,0, 59.38, 480, 37815
1784739317.756800805,0,480,23727562933,14113770697,0, 59.38, 480, 37815
1784739318.338107668,0,480,23727565725,14113781589,0, 59.38, 480, 37815
1784739318.918475841,0,480,23727565725,14113781589,0, 59.38, 480, 37815
1784739319.500896335,0,480,23727567009,14113786384,0, 59.38, 480, 37815
1784739320.082653569,0,480,23727567009,14113786384,0, 59.38, 480, 37815
1784739320.662860549,0,480,23727569307,14113795670,0, 59.38, 480, 37815
1784739321.245367790,0,480,23727571485,14113805244,0, 59.38, 480, 37815
1784739321.828281769,0,480,23727571485,14113805244,0, 59.38, 480, 37815
1784739322.409538955,0,480,23727572889,14113810399,0, 59.38, 480, 37815
1784739322.990903309,0,480,23727572889,14113810399,0, 59.37, 480, 37815
1784739323.574371774,0,480,23727575067,14113820405,0, 59.37, 480, 37815
1784739324.156086664,0,480,23727575067,14113820405,0, 59.38, 480, 37815
1784739324.737204752,1,480,23727577365,14113830699,0, 59.38, 480, 37815
1784739325.324168119,1,480,23727579609,14113841346,0, 59.38, 480, 37815
1784739325.906322806,1,480,23727579609,14113841346,0, 59.38, 480, 37815
1784739326.490959133,1,480,23727642545,14113895433,0, 59.38, 480, 37815
1784739327.075896919,1,480,23727642545,14113895433,0, 59.38, 480, 37815
1784739327.658760965,1,480,23728045919,14114216650,0, 59.38, 480, 37815
1784739328.243165495,1,480,23728045919,14114216650,2, 59.69, 480, 38380
1784739328.828543737,1,480,23728135765,14114298984,99, 77.47, 480, 38412
1784739329.413257365,1,480,23728138773,14114303240,99, 119.91, 480, 38412
1784739329.997806592,1,480,23728138773,14114303240,99, 119.82, 480, 38412
1784739330.583985207,1,480,23728143647,14114311755,17, 92.89, 480, 37815
1784739331.166691003,1,480,23728143647,14114311755,0, 65.54, 480, 37815
1784739331.751834308,1,480,23728166569,14114335811,0, 60.00, 480, 37815
1784739332.336422023,1,480,23728166569,14114335811,0, 60.00, 480, 37815
1784739332.920234069,1,480,23728169405,14114339935,0, 59.15, 480, 37815
1784739333.505077790,1,480,23728174163,14114347294,0, 59.25, 480, 37815
1784739334.089504862,1,480,23728174163,14114347294,0, 59.25, 480, 37815
1784739334.674160519,1,480,23728178735,14114354810,0, 59.38, 480, 37815
1784739335.259002313,1,480,23728178735,14114354810,0, 59.38, 480, 37815
1784739335.841013845,1,480,23728182599,14114360140,0, 59.38, 480, 37815
1784739336.424023674,1,480,23728182599,14114360140,0, 59.38, 480, 37815
1784739337.007595013,1,480,23728186527,14114367439,0, 59.37, 480, 37815
1784739337.590093905,1,480,23728191721,14114375807,0, 59.38, 480, 37815
1784739338.173282461,1,480,23728191721,14114375807,0, 59.38, 480, 37815
1784739338.757166930,1,480,23728196425,14114384463,0, 59.38, 480, 37815
1784739339.339834658,1,480,23728196425,14114384463,0, 59.38, 480, 37815
1784739339.922418697,1,480,23728199513,14114389516,0, 59.38, 480, 37815
1784739340.502706982,1,480,23728199513,14114389516,0, 59.37, 480, 37815
1784739341.086042601,1,480,23728204217,14114398604,0, 59.37, 480, 37815
1784739341.669379134,1,480,23728209041,14114407980,0, 59.38, 480, 37815
1784739342.251035498,1,480,23728209041,14114407980,0, 59.38, 480, 37815
1784739342.834855757,1,480,23728977749,14115246373,0, 59.38, 480, 37815
1784739343.416106730,1,480,23728977749,14115246373,0, 59.38, 480, 37815
1784739343.997637256,1,480,23728980047,14115253247,0, 59.38, 480, 37815
1784739344.579773166,1,480,23728980047,14115253247,0, 59.25, 480, 37815
1784739345.161070302,1,480,23728982225,14115260409,0, 59.25, 480, 37815
1784739345.743091858,1,480,23728985543,14115268872,0, 59.25, 480, 37815
1784739346.326051236,1,480,23728985543,14115268872,0, 59.25, 480, 37815
1784739346.907461586,1,480,23728986761,14115272834,0, 59.38, 480, 37815
1784739347.487942326,1,480,23728986761,14115272834,0, 59.38, 480, 37815
1784739348.071230941,1,480,23728989059,14115280782,0, 59.38, 480, 37815
1784739348.652093170,1,480,23728989059,14115280782,0, 59.25, 480, 37815
1784739349.234503292,1,480,23728991303,14115289149,0, 59.25, 480, 37815
1784739349.814711037,1,480,23728991303,14115289149,0, 59.13, 480, 37815
1784739350.395850679,1,480,23728992575,14115293537,0, 59.13, 480, 37815
1784739350.977772318,1,480,23728994753,14115302271,0, 59.25, 480, 37815
1784739351.559811324,1,480,23728994753,14115302271,0, 59.25, 480, 37815
1784739352.141919099,1,480,23728997117,14115311358,0, 59.25, 480, 37815
1784739352.723902975,1,480,23728997117,14115311358,0, 59.25, 480, 37815
1784739353.305397811,1,480,23728999229,14115320668,0, 59.25, 480, 37815
1784739353.886684708,1,480,23728999229,14115320668,0, 59.25, 480, 37815
1784739354.468963763,1,480,23729000567,14115325560,0, 59.25, 480, 37815
1784739355.050898002,1,480,23729002811,14115335433,0, 59.61, 480, 37815
1784739355.630433248,1,480,23729002811,14115335433,0, 59.71, 480, 37815
1784739356.212794668,1,480,23729025871,14119751563,0, 59.66, 480, 37815
1784739356.795592501,1,480,23729025871,14119751563,0, 59.66, 480, 37815
1784739357.376116465,1,480,23729028049,14119761815,0, 59.38, 480, 37815
1784739357.957934900,1,480,23729028049,14119761815,2, 68.31, 480, 37817
1784739358.541919118,1,480,23729029453,14119767408,0, 70.75, 480, 37817
1784739359.124952011,1,480,23729048445,14124182700,0, 60.01, 480, 37817
1784739359.707045312,1,480,23729048445,14124182700,30, 61.34, 480, 37817
1784739360.289555325,1,480,23729066203,14128587517,33, 67.68, 480, 37817
1784739360.874176961,1,480,23729066203,14128587517,40, 66.95, 480, 37817
1784739361.455637456,1,480,23729094185,14135606059,0, 60.07, 480, 37817
1784739362.038478195,1,480,23729094185,14135606059,0, 61.25, 480, 37817
1784739362.620653100,1,480,23729119842,14141801021,0, 67.40, 480, 37817
1784739363.202975221,1,480,23729154299,14150608802,0, 65.63, 480, 37817
1784739363.784106124,1,480,23729154299,14150608802,0, 65.63, 480, 37817
1784739364.365660666,1,480,23729157025,14150615611,0, 76.06, 480, 37817
1784739364.948993761,1,480,23729157025,14150615611,0, 70.55, 480, 37817
1784739365.532207545,1,480,23729174604,14155020087,0, 61.47, 480, 37817
1784739366.114809176,1,480,23729174604,14155020087,0, 59.40, 480, 37817
1784739366.699018292,1,480,23729176770,14155024117,0, 59.40, 480, 37817
1784739367.279436127,1,480,23729178882,14155028566,40, 77.53, 480, 37817
1784739367.862303695,1,480,23729178882,14155028566,0, 64.08, 480, 37817
1784739368.444540084,1,480,23729211928,14163835432,0, 65.18, 480, 37817
1784739369.029245724,1,480,23729211928,14163835432,0, 67.15, 480, 37817
1784739369.613919950,1,480,23729214468,14163843764,0, 60.40, 480, 37817
1784739370.196795789,1,480,23729214468,14163843764,0, 60.40, 480, 37817
1784739370.779116868,1,480,23729251762,14172659243,0, 60.40, 480, 37817
1784739371.359697087,1,480,23729253100,14172662275,0, 59.40, 480, 37817
1784739371.942093816,2,480,23729253100,14172662275,0, 59.40, 480, 37817
1784739372.528406344,2,480,23729258736,14172672146,0, 59.37, 480, 37817
1784739373.113196339,2,480,23729258736,14172672146,0, 59.38, 480, 37817
1784739373.695199205,2,480,23729292170,14172709657,0, 59.38, 480, 37817
1784739374.279120153,2,480,23729292170,14172709657,0, 59.38, 480, 37817
1784739374.861861723,2,480,23729334314,14172745669,0, 59.38, 480, 37825
1784739375.479543569,2,480,23729425530,14172827532,99, 73.45, 480, 38414
1784739376.061110214,2,480,23729425530,14172827532,99, 104.71, 480, 38414
1784739376.644374970,2,480,23729427708,14172834434,99, 121.07, 480, 38414
1784739377.230844849,2,480,23729427708,14172834434,0, 109.99, 480, 38414
1784739377.812331858,2,480,23729431084,14172844428,0, 76.66, 480, 37817
1784739378.396017472,2,480,23729431084,14172844428,0, 59.82, 480, 37817
1784739378.980360482,2,480,23729441162,14172856787,0, 59.82, 480, 37817
1784739379.561377059,2,480,23729443460,14172864355,0, 59.40, 480, 37817
1784739380.144122584,2,480,23729443460,14172864355,0, 59.40, 480, 37817
1784739380.726098937,2,480,23729445638,14172872409,0, 59.38, 480, 37817
1784739381.307355065,2,480,23729445638,14172872409,0, 59.38, 480, 37817
1784739381.888992503,2,480,23729447042,14172876804,0, 59.37, 480, 37817
1784739382.470651581,2,480,23729447042,14172876804,0, 59.38, 480, 37817
1784739383.051957856,2,480,23729449154,14172885290,0, 59.38, 480, 37817
1784739383.633717483,2,480,23729451452,14172893998,0, 59.38, 480, 37817
1784739384.215809026,2,480,23729451452,14172893998,0, 59.38, 480, 37817
1784739384.797048518,2,480,23729454190,14172907425,0, 59.38, 480, 37817
1784739385.379995288,2,480,23729454190,14172907425,0, 59.38, 480, 37817
1784739385.962186528,2,480,23729455528,14172912193,0, 59.38, 480, 37817
1784739386.545342417,2,480,23729455528,14172912193,0, 59.38, 480, 37817
1784739387.126780452,2,480,23729457706,14172921687,0, 59.38, 480, 37817
1784739387.707950758,2,480,23729457706,14172921687,0, 59.38, 480, 37817
1784739388.289897658,2,480,23729460070,14172931600,0, 59.38, 480, 37817
1784739388.872270497,2,480,23729461288,14172936728,0, 59.38, 480, 37817
