proxy_start hostname=ganymede http=0.0.0.0:30140 registry=0.0.0.0:31140
registry_add role=decode http=10.1.0.3:33140 zmq=10.1.0.3:34140
registry_add role=prefill http=10.1.0.6:32140 zmq=10.1.0.6:34140
route count=44 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_698c4c6c953d482e94658c9622feb94b prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=45 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_54b540f5f81b4a9a836b67a3327c12b9 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=46 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_da57c1500508488383dda9d111390831 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=47 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_316690e9fabe46a7a48f65cb12be723b prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=48 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_f6791b233d8f49cbb21de2f781fcb0fe prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=49 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_ad7f304fcd934f9f8f38019a04ebee9b prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=50 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_20e15b91f58448ae90aa73a7a4a4a042 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=51 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_dd1df5479db64bb3ad01fcde70fe4dcb prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=52 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_852a02db4a3042119e88f055170679cf prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=53 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_6aaffac5617b4881bbaef78dd912d540 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=54 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_ea21505574de4a2185ff8c23da733231 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=55 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_eb89ce1760dd43e0b09a32aa4ccad3b4 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=56 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_31a2f46f86024d788209ce77ca3819d7 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=57 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_543860e76a614f69a40a2491baddaeba prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=58 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_45882183fde84c618f199d8cf704d84a prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=59 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_651f59e5fa504b5a94a369cf357a8ec4 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=60 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_2ab50d78839e45feac95a7b221a86945 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
route count=61 request_id=___prefill_addr_10.1.0.6:34140___decode_addr_10.1.0.3:34140_d3d4e3509a4e49fea27e74aa9e1139f4 prefill_http=10.1.0.6:32140 decode_http=10.1.0.3:33140
