request_id,workload_id,input_len,requested_output_len,observed_output_tokens,prefill_endpoint_id,decode_endpoint_id,ttft_ms,tpot_ms,client_observed_ttft_ms,client_observed_tpot_ms,mean_itl_ms,e2e_latency_ms,prefill_latency_ms,decode_stream_latency_ms,real_sse,logical_request_id_propagated
phase3c-xpyd_power_compare_baseline_256655-0010,small_light,128,64,64,P1,D1,191.35196995921433,55.951215635379036,200.07540308870375,55.950903459378175,55.94651604677358,3724.982321029529,115.91405898798257,3600.075082969852,True,True
phase3c-xpyd_power_compare_baseline_256655-0011,small_light,128,64,64,P1,D1,195.81449101679027,55.95089208024243,202.9976659687236,55.951579730765566,55.94717609577827,3727.9471890069544,121.33081897627562,3599.1123020648956,True,True
phase3c-xpyd_power_compare_baseline_256655-0012,small_light,128,64,64,P1,D1,195.59874304104596,55.951253411227036,203.6266039358452,55.95912060345567,55.95435479485859,3729.0512019535527,120.02466898411512,3600.245591951534,True,True
phase3c-xpyd_power_compare_baseline_256655-0013,small_light,128,64,64,P1,D1,199.6371179120615,55.95295650825378,217.38576202187687,55.95391806370268,55.94938334875873,3742.482600035146,122.71930405404419,3600.3676359541714,True,True
phase3c-xpyd_power_compare_baseline_256655-0014,small_light,128,64,64,P1,D1,190.49633597023785,55.950389223335875,199.44491400383413,55.95567657072689,55.95118701568849,3724.652537959628,114.71680004615337,3600.3342360490933,True,True
phase3c-xpyd_power_compare_baseline_256655-0015,small_light,128,64,64,P1,D1,187.23493604920805,55.95915961921925,194.21908596996218,55.96697955606653,55.96215281051598,3720.1387980021536,110.27083790395409,3602.1329190116376,True,True
phase3c-xpyd_power_compare_baseline_256655-0016,small_light,128,64,64,P1,D1,196.99130894150585,55.95273242908574,205.34157997462898,55.95827349165957,55.95369487335639,3730.712809949182,120.18063699360937,3601.502839010209,True,True
phase3c-xpyd_power_compare_baseline_256655-0017,small_light,128,64,64,P1,D1,198.56946601066738,55.939515745858586,206.2797009712085,55.945464731415825,55.94009552372708,3730.8439790504053,121.71932600904256,3600.7637080037966,True,True
phase3c-xpyd_power_compare_baseline_256655-0018,small_light,128,64,64,P1,D1,196.2597289821133,55.95924461903494,204.25108401104808,55.96516952325132,55.9599828252214,3730.056763975881,121.85076996684074,3599.584129988216,True,True
phase3c-xpyd_power_compare_baseline_256655-0019,small_light,128,64,64,P1,D1,197.27502891328186,55.947629302474006,206.2773739453405,55.951441270447084,55.946980761955416,3731.218173983507,121.25511199701577,3600.4105739993975,True,True
phase3c-xpyd_power_compare_baseline_256655-0020,small_light,128,64,64,P1,D1,196.16107398178428,55.96194717486108,204.5864260289818,55.966768570850405,55.962444682206424,3730.4928459925577,120.787812047638,3600.6753880064934,True,True
phase3c-xpyd_power_compare_baseline_256655-0021,small_light,128,64,64,P1,D1,197.07092305179685,55.96428822230784,203.92589597031474,55.971286254047996,55.96623807916388,3730.1169299753383,122.61996907182038,3599.9652170576155,True,True
phase3c-xpyd_power_compare_baseline_256655-0022,small_light,128,64,64,P1,D1,193.24626692105085,55.957794557177714,201.36210904456675,55.96665239575067,55.961052491699185,3727.2612099768594,119.77104505058378,3598.593057016842,True,True
phase3c-xpyd_power_compare_baseline_256655-0023,small_light,128,64,64,P1,D1,196.43267197534442,55.9511259678633,205.33509098459035,55.95345080955812,55.94943776275844,3730.4024919867516,121.13698199391365,3599.833113956265,True,True
phase3c-xpyd_power_compare_baseline_256655-0024,small_light,128,64,64,P1,D1,196.1494260467589,55.95829476055408,204.84541601035744,55.962927397414454,55.957853570506565,3730.509842047468,121.15485104732215,3599.989753914997,True,True
phase3c-xpyd_power_compare_baseline_256655-0025,small_light,128,64,64,P1,D1,202.25810399278998,55.95179417517982,210.68838599603623,55.956232049206776,55.951790032272655,3735.931005096063,125.8850870653987,3600.981481024064,True,True
phase3c-xpyd_power_compare_baseline_256655-0026,small_light,128,64,64,P1,D1,198.1910209869966,55.95529392095549,207.03487400896847,55.95867185565155,55.95376411090709,3732.4312009150162,122.04956007190049,3601.0157690616325,True,True
