gpu,phase,tp,freq_mhz,shape,slo_ms,rho_max,n_points
l40s,prefill,1,2520,all,1000,0.3126,474
l40s,decode,1,2520,all,100,0.437,474
l40s,decode,1,2520,all,200,2.319,474
l40s,decode,1,2520,all,400,115.9485,474
l40s,prefill,2,2520,all,200,0.14,69
l40s,prefill,2,2520,all,500,0.1478,69
l40s,prefill,2,2520,all,1000,0.1478,69
l40s,decode,2,2520,all,100,0.4204,69
l40s,decode,2,2520,all,200,3.0589,69
l40s,decode,2,2520,all,400,6.5515,69
l40s,prefill,4,2520,all,200,0.0935,93
l40s,prefill,4,2520,all,500,0.1549,93
l40s,prefill,4,2520,all,1000,0.3373,93
l40s,decode,4,2520,all,100,0.3373,93
l40s,decode,4,2520,all,200,13.4014,93
l40s,decode,4,2520,all,400,13.4014,93
l40s,prefill,1,2265,all,200,0.0,18
l40s,prefill,1,2265,all,500,0.2499,18
l40s,prefill,1,2265,all,1000,0.2499,18
l40s,decode,1,2265,all,100,0.6034,18
l40s,decode,1,2265,all,200,0.8963,18
l40s,decode,1,2265,all,400,0.8963,18
l40s,prefill,1,2010,all,200,0.0,18
l40s,prefill,1,2010,all,500,0.2527,18
l40s,prefill,1,2010,all,1000,0.2527,18
l40s,decode,1,2010,all,100,0.6088,18
l40s,decode,1,2010,all,200,0.9093,18
l40s,decode,1,2010,all,400,0.9093,18
l40s,prefill,1,1755,all,200,0.2258,18
l40s,prefill,1,1755,all,500,0.5335,18
l40s,prefill,1,1755,all,1000,0.5335,18
l40s,decode,1,1755,all,100,1.2851,18
l40s,decode,1,1755,all,200,1.9194,18
l40s,decode,1,1755,all,400,1.9194,18
l40s,prefill,1,1500,all,200,0.2344,30
l40s,prefill,1,1500,all,500,0.3979,30
l40s,prefill,1,1500,all,1000,0.6012,30
l40s,decode,1,1500,all,100,1.2897,30
l40s,decode,1,1500,all,200,1.9272,30
l40s,decode,1,1500,all,400,1.9272,30
l40s,prefill,1,1245,all,200,0.2491,48
l40s,prefill,1,1245,all,500,0.4659,48
l40s,prefill,1,1245,all,1000,0.6949,48
l40s,decode,1,1245,all,100,0.6949,48
