unix_ns,monotonic_ns,event,client_request_id,internal_request_id,route_index,stage,upstream_url,http_status,bytes,prefill_http,decode_http,traceparent,error
1785364476652903856,989846696434404,upstream_complete,prefill_heavy-00027-3b14d7d371df,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00027-3b14d7d371df_8bb325f7469346b7903b6d984386925e,47,decode,http://10.1.0.3:33327/v1/completions,200,12371,,,00-75996aeadccb42ce9435b3f3d2f8bbae-5d71431afcac4fa4-01,
1785364476658144148,989846701674530,proxy_complete,prefill_heavy-00027-3b14d7d371df,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00027-3b14d7d371df_8bb325f7469346b7903b6d984386925e,47,,,,,10.1.0.6:32327,10.1.0.3:33327,00-75996aeadccb42ce9435b3f3d2f8bbae-5d71431afcac4fa4-01,
1785364476772202950,989846815733399,upstream_first_chunk,prefill_heavy-00031-1455b5955bc8,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00031-1455b5955bc8_9f5300f17d87443ab0a79c114f415f13,51,decode,http://10.1.0.3:33327/v1/completions,200,377,,,00-309453b54bb34ddeac9b35a9af9c305e-7fad72b7345c46c3-01,
1785364476897121055,989846940651350,proxy_arrival,prefill_heavy-00032-e1d28547a6e5,,,,,,,,,00-1b5104b97fa74ff7848cabe3b1119a52-84a585a9cb1f4c07-01,
1785364476900861903,989846944392411,proxy_route,prefill_heavy-00032-e1d28547a6e5,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00032-e1d28547a6e5_5be592172ae0469b919f346302f43a01,52,,,,,10.1.0.6:32327,10.1.0.3:33327,00-1b5104b97fa74ff7848cabe3b1119a52-84a585a9cb1f4c07-01,
1785364476903327303,989846946856873,upstream_dispatch,prefill_heavy-00032-e1d28547a6e5,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00032-e1d28547a6e5_5be592172ae0469b919f346302f43a01,52,prefill,http://10.1.0.6:32327/v1/completions,,,,,00-1b5104b97fa74ff7848cabe3b1119a52-84a585a9cb1f4c07-01,
1785364476912707925,989846956237791,upstream_headers,prefill_heavy-00032-e1d28547a6e5,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00032-e1d28547a6e5_5be592172ae0469b919f346302f43a01,52,prefill,http://10.1.0.6:32327/v1/completions,200,,,,00-1b5104b97fa74ff7848cabe3b1119a52-84a585a9cb1f4c07-01,
1785364477060460643,989847103990979,upstream_first_chunk,prefill_heavy-00032-e1d28547a6e5,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00032-e1d28547a6e5_5be592172ae0469b919f346302f43a01,52,prefill,http://10.1.0.6:32327/v1/completions,200,711,,,00-1b5104b97fa74ff7848cabe3b1119a52-84a585a9cb1f4c07-01,
1785364477063610859,989847107141623,upstream_complete,prefill_heavy-00032-e1d28547a6e5,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00032-e1d28547a6e5_5be592172ae0469b919f346302f43a01,52,prefill,http://10.1.0.6:32327/v1/completions,200,711,,,00-1b5104b97fa74ff7848cabe3b1119a52-84a585a9cb1f4c07-01,
1785364477066496854,989847110026828,upstream_dispatch,prefill_heavy-00032-e1d28547a6e5,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00032-e1d28547a6e5_5be592172ae0469b919f346302f43a01,52,decode,http://10.1.0.3:33327/v1/completions,,,,,00-1b5104b97fa74ff7848cabe3b1119a52-84a585a9cb1f4c07-01,
1785364477074972685,989847118502824,upstream_headers,prefill_heavy-00032-e1d28547a6e5,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00032-e1d28547a6e5_5be592172ae0469b919f346302f43a01,52,decode,http://10.1.0.3:33327/v1/completions,200,,,,00-1b5104b97fa74ff7848cabe3b1119a52-84a585a9cb1f4c07-01,
1785364477154423249,989847197953869,upstream_complete,prefill_heavy-00028-c02e4bb5809e,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00028-c02e4bb5809e_dd2c14b29668462cb9fce04a1a35718f,48,decode,http://10.1.0.3:33327/v1/completions,200,12368,,,00-8077256cbcd549b8b594161c7dc5de36-c26e61959ae84d30-01,
1785364477159350644,989847202880984,proxy_complete,prefill_heavy-00028-c02e4bb5809e,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00028-c02e4bb5809e_dd2c14b29668462cb9fce04a1a35718f,48,,,,,10.1.0.6:32327,10.1.0.3:33327,00-8077256cbcd549b8b594161c7dc5de36-c26e61959ae84d30-01,
1785364477205537255,989847249067654,upstream_first_chunk,prefill_heavy-00032-e1d28547a6e5,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00032-e1d28547a6e5_5be592172ae0469b919f346302f43a01,52,decode,http://10.1.0.3:33327/v1/completions,200,376,,,00-1b5104b97fa74ff7848cabe3b1119a52-84a585a9cb1f4c07-01,
1785364477395943388,989847439473563,proxy_arrival,prefill_heavy-00033-b266a16f3071,,,,,,,,,00-2fac3277ad47490a8f544793ee76b9db-84f853148f354393-01,
1785364477398559707,989847442090188,proxy_route,prefill_heavy-00033-b266a16f3071,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00033-b266a16f3071_67c303583431456b9b411784828ac36d,53,,,,,10.1.0.6:32327,10.1.0.3:33327,00-2fac3277ad47490a8f544793ee76b9db-84f853148f354393-01,
1785364477400522913,989847444052288,upstream_dispatch,prefill_heavy-00033-b266a16f3071,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00033-b266a16f3071_67c303583431456b9b411784828ac36d,53,prefill,http://10.1.0.6:32327/v1/completions,,,,,00-2fac3277ad47490a8f544793ee76b9db-84f853148f354393-01,
