unix_ns,monotonic_ns,role,endpoint,metric,labels_json,value
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_success_created,"{""engine"": ""0"", ""finished_reason"": ""error"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",1785364431.931364
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_prompt_tokens_bucket,"{""engine"": ""0"", ""le"": ""1.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_prompt_tokens_bucket,"{""engine"": ""0"", ""le"": ""2.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_prompt_tokens_bucket,"{""engine"": ""0"", ""le"": ""5.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_prompt_tokens_bucket,"{""engine"": ""0"", ""le"": ""10.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_prompt_tokens_bucket,"{""engine"": ""0"", ""le"": ""20.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_prompt_tokens_bucket,"{""engine"": ""0"", ""le"": ""50.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_prompt_tokens_bucket,"{""engine"": ""0"", ""le"": ""100.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_prompt_tokens_bucket,"{""engine"": ""0"", ""le"": ""200.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_prompt_tokens_bucket,"{""engine"": ""0"", ""le"": ""500.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_prompt_tokens_bucket,"{""engine"": ""0"", ""le"": ""1000.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_prompt_tokens_bucket,"{""engine"": ""0"", ""le"": ""2000.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_prompt_tokens_bucket,"{""engine"": ""0"", ""le"": ""+Inf"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_prompt_tokens_count,"{""engine"": ""0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_prompt_tokens_sum,"{""engine"": ""0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_prompt_tokens_created,"{""engine"": ""0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",1785364431.9314463
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""1.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""2.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""5.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""10.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""20.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""50.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""100.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""200.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""500.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""1000.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""2000.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""+Inf"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_generation_tokens_count,"{""engine"": ""0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_generation_tokens_sum,"{""engine"": ""0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_generation_tokens_created,"{""engine"": ""0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",1785364431.9315543
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:iteration_tokens_total_bucket,"{""engine"": ""0"", ""le"": ""1.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:iteration_tokens_total_bucket,"{""engine"": ""0"", ""le"": ""8.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:iteration_tokens_total_bucket,"{""engine"": ""0"", ""le"": ""16.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:iteration_tokens_total_bucket,"{""engine"": ""0"", ""le"": ""32.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:iteration_tokens_total_bucket,"{""engine"": ""0"", ""le"": ""64.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:iteration_tokens_total_bucket,"{""engine"": ""0"", ""le"": ""128.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:iteration_tokens_total_bucket,"{""engine"": ""0"", ""le"": ""256.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:iteration_tokens_total_bucket,"{""engine"": ""0"", ""le"": ""512.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:iteration_tokens_total_bucket,"{""engine"": ""0"", ""le"": ""1024.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:iteration_tokens_total_bucket,"{""engine"": ""0"", ""le"": ""2048.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:iteration_tokens_total_bucket,"{""engine"": ""0"", ""le"": ""4096.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:iteration_tokens_total_bucket,"{""engine"": ""0"", ""le"": ""8192.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:iteration_tokens_total_bucket,"{""engine"": ""0"", ""le"": ""16384.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:iteration_tokens_total_bucket,"{""engine"": ""0"", ""le"": ""+Inf"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:iteration_tokens_total_count,"{""engine"": ""0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:iteration_tokens_total_sum,"{""engine"": ""0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:iteration_tokens_total_created,"{""engine"": ""0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",1785364431.9316385
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_max_num_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""1.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_max_num_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""2.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_max_num_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""5.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_max_num_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""10.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_max_num_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""20.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_max_num_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""50.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_max_num_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""100.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_max_num_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""200.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_max_num_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""500.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_max_num_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""1000.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_max_num_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""2000.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_max_num_generation_tokens_bucket,"{""engine"": ""0"", ""le"": ""+Inf"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_max_num_generation_tokens_count,"{""engine"": ""0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_max_num_generation_tokens_sum,"{""engine"": ""0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_max_num_generation_tokens_created,"{""engine"": ""0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",1785364431.9317153
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_n_bucket,"{""engine"": ""0"", ""le"": ""1.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_n_bucket,"{""engine"": ""0"", ""le"": ""2.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_n_bucket,"{""engine"": ""0"", ""le"": ""5.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_n_bucket,"{""engine"": ""0"", ""le"": ""10.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_n_bucket,"{""engine"": ""0"", ""le"": ""20.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_n_bucket,"{""engine"": ""0"", ""le"": ""+Inf"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_n_count,"{""engine"": ""0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_n_sum,"{""engine"": ""0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_n_created,"{""engine"": ""0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",1785364431.931781
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_max_tokens_bucket,"{""engine"": ""0"", ""le"": ""1.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_max_tokens_bucket,"{""engine"": ""0"", ""le"": ""2.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_max_tokens_bucket,"{""engine"": ""0"", ""le"": ""5.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_max_tokens_bucket,"{""engine"": ""0"", ""le"": ""10.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_max_tokens_bucket,"{""engine"": ""0"", ""le"": ""20.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_max_tokens_bucket,"{""engine"": ""0"", ""le"": ""50.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_max_tokens_bucket,"{""engine"": ""0"", ""le"": ""100.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_max_tokens_bucket,"{""engine"": ""0"", ""le"": ""200.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_max_tokens_bucket,"{""engine"": ""0"", ""le"": ""500.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_max_tokens_bucket,"{""engine"": ""0"", ""le"": ""1000.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_max_tokens_bucket,"{""engine"": ""0"", ""le"": ""2000.0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_max_tokens_bucket,"{""engine"": ""0"", ""le"": ""+Inf"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_max_tokens_count,"{""engine"": ""0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_max_tokens_sum,"{""engine"": ""0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:request_params_max_tokens_created,"{""engine"": ""0"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",1785364431.9318433
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:time_to_first_token_seconds_bucket,"{""engine"": ""0"", ""le"": ""0.001"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:time_to_first_token_seconds_bucket,"{""engine"": ""0"", ""le"": ""0.005"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
1785364434872636606,989804916165908,prefill,http://10.1.0.6:32327/metrics,vllm:time_to_first_token_seconds_bucket,"{""engine"": ""0"", ""le"": ""0.01"", ""model_name"": ""mistralai/Mistral-7B-v0.1""}",0.0
