decision_id,workload,axis,iteration,low_index_before,high_index_before,candidate_index,candidate_frequency_mhz,P0_target_mhz,P1_target_mhz,D0_target_mhz,D1_target_mhz,probe_window_ids_json,feedback_p99_ttft_ms_json,feedback_p99_tpot_ms_json,feedback_slo_violations_json,feedback_joules_per_request_json,feasible,decision,low_index_after,high_index_after,next_interval_frequency_mhz_json
prefill_heavy-P-binary-01,prefill_heavy,P,1,0,16,8,1710,1710,1710,1500,1500,"[""031-prefill_heavy-P_search-r01"", ""032-prefill_heavy-P_search-r02""]","[535.7288449886255, 520.1593750389293]","[58.15446885701801, 58.14494833346486]","[12, 6]","[574.2355625, 571.9176249999999]",False,SEARCH_UPPER_HALF,9,16,"[1815, 2520]"
prefill_heavy-P-binary-02,prefill_heavy,P,2,9,16,12,2115,2115,2115,1500,1500,"[""033-prefill_heavy-P_search-r01"", ""034-prefill_heavy-P_search-r02""]","[491.19516304926947, 507.2382689686492]","[58.17493042882739, 58.22667933350045]","[0, 1]","[584.1846875, 584.659]",False,SEARCH_UPPER_HALF,13,16,"[2220, 2520]"
prefill_heavy-P-binary-03,prefill_heavy,P,3,13,16,14,2310,2310,2310,1500,1500,"[""035-prefill_heavy-P_search-r01"", ""036-prefill_heavy-P_search-r02""]","[501.4309880207293, 494.6984749985859]","[58.168191143075035, 58.15067303104563]","[1, 0]","[604.108125, 604.5935625]",False,SEARCH_UPPER_HALF,15,16,"[2415, 2520]"
prefill_heavy-P-binary-04,prefill_heavy,P,4,15,16,15,2415,2415,2415,1500,1500,"[""037-prefill_heavy-P_search-r01"", ""038-prefill_heavy-P_search-r02""]","[501.9268119940534, 492.4759680288844]","[58.17649334979554, 58.152382285149386]","[1, 0]","[620.6740625, 619.4656875]",False,SEARCH_UPPER_HALF,16,16,"[2520, 2520]"
prefill_heavy-D-binary-01,prefill_heavy,D,1,0,14,7,975,2520,2520,975,975,"[""039-prefill_heavy-D_search-r01"", ""040-prefill_heavy-D_search-r02""]","[501.9269929616712, 497.63712397543713]","[59.98896874601967, 60.01623552329543]","[1, 0]","[616.616625, 615.84375]",False,SEARCH_UPPER_HALF,8,14,"[1050, 1500]"
prefill_heavy-D-binary-02,prefill_heavy,D,2,8,14,11,1275,2520,2520,1275,1275,"[""041-prefill_heavy-D_search-r01"", ""042-prefill_heavy-D_search-r02""]","[496.9820179976523, 498.3486669952981]","[58.7608329203379, 58.74603119076392]","[0, 0]","[621.4408125, 622.744375]",True,SEARCH_LOWER_HALF,8,11,"[1050, 1275]"
prefill_heavy-D-binary-03,prefill_heavy,D,3,8,11,9,1125,2520,2520,1125,1125,"[""043-prefill_heavy-D_search-r01"", ""044-prefill_heavy-D_search-r02""]","[491.78876396035776, 493.66956105222926]","[59.37947080995414, 59.31449488880823]","[0, 0]","[613.3905625, 613.3263125000001]",True,SEARCH_LOWER_HALF,8,9,"[1050, 1125]"
prefill_heavy-D-binary-04,prefill_heavy,D,4,8,9,8,1050,2520,2520,1050,1050,"[""045-prefill_heavy-D_search-r01"", ""046-prefill_heavy-D_search-r02""]","[486.3116980413906, 489.36756601324305]","[59.592253142332154, 59.61096728597546]","[0, 0]","[611.9549374999999, 612.270875]",True,SEARCH_LOWER_HALF,8,8,"[1050, 1050]"
prefill_heavy-confirm-00,prefill_heavy,JOINT_CONFIRMATION,1,,,,,2520,2520,1050,1050,"[""047-prefill_heavy-confirmation-r01"", ""048-prefill_heavy-confirmation-r02"", ""049-prefill_heavy-confirmation-r03"", ""050-prefill_heavy-confirmation-r04"", ""051-prefill_heavy-confirmation-r05""]","[492.28822998702526, 485.93614698620513, 489.8882940178737, 479.52367702964693, 487.282871035859]","[59.599430746554084, 59.587866491970736, 59.592812698120106, 59.65278331663401, 59.68184834937492]","[0, 0, 0, 0, 0]","[616.20625, 614.4376875, 613.8488125, 615.11925, 612.1493125]",True,ACCEPT_FINAL,,,[]
decode_heavy-P-binary-01,decode_heavy,P,1,0,16,8,1710,1710,1710,1500,1500,"[""055-decode_heavy-P_search-r01"", ""056-decode_heavy-P_search-r02""]","[195.82615100080147, 207.75986602529883]","[56.044900651071586, 56.0605110039058]","[0, 0]","[1931.4281875000001, 1931.6250625]",True,SEARCH_LOWER_HALF,0,8,"[900, 1710]"
decode_heavy-P-binary-02,decode_heavy,P,2,0,8,4,1305,1305,1305,1500,1500,"[""057-decode_heavy-P_search-r01"", ""058-decode_heavy-P_search-r02""]","[212.72955200402066, 203.37344601284713]","[56.04493382373167, 56.045008886276804]","[0, 0]","[1909.7453125, 1908.5088125]",True,SEARCH_LOWER_HALF,0,4,"[900, 1305]"
decode_heavy-P-binary-03,decode_heavy,P,3,0,4,2,1110,1110,1110,1500,1500,"[""059-decode_heavy-P_search-r01"", ""060-decode_heavy-P_search-r02""]","[202.41904497379437, 207.62015995569527]","[56.04768923903797, 56.04694431382871]","[0, 0]","[1898.8804375, 1901.2708750000002]",True,SEARCH_LOWER_HALF,0,2,"[900, 1110]"
decode_heavy-P-binary-04,decode_heavy,P,4,0,2,1,1005,1005,1005,1500,1500,"[""061-decode_heavy-P_search-r01"", ""062-decode_heavy-P_search-r02""]","[209.46047897450626, 230.44372897129506]","[56.0503716941229, 56.066918631276]","[0, 0]","[1897.158125, 1897.8673125]",True,SEARCH_LOWER_HALF,0,1,"[900, 1005]"
decode_heavy-P-binary-05,decode_heavy,P,5,0,1,0,900,900,900,1500,1500,"[""063-decode_heavy-P_search-r01"", ""064-decode_heavy-P_search-r02""]","[205.02460096031427, 210.38401901023462]","[56.06250574506418, 56.05380750197333]","[0, 0]","[1890.7165625, 1893.5758125000002]",True,SEARCH_LOWER_HALF,0,0,"[900, 900]"
decode_heavy-D-binary-01,decode_heavy,D,1,0,14,7,975,900,900,975,975,"[""065-decode_heavy-D_search-r01"", ""066-decode_heavy-D_search-r02""]","[218.2776560075581, 201.1907949927263]","[56.7992846942598, 56.8001742314949]","[0, 0]","[1772.564375, 1775.243625]",True,SEARCH_LOWER_HALF,0,7,"[450, 975]"
decode_heavy-D-binary-02,decode_heavy,D,2,0,7,3,675,900,900,675,675,"[""067-decode_heavy-D_search-r01"", ""068-decode_heavy-D_search-r02""]","[233.93758898600936, 201.70907204737887]","[57.62974681588365, 57.63595489392459]","[0, 0]","[1781.792875, 1781.93075]",True,SEARCH_LOWER_HALF,0,3,"[450, 675]"
decode_heavy-D-binary-03,decode_heavy,D,3,0,3,1,525,900,900,525,525,"[""069-decode_heavy-D_search-r01"", ""070-decode_heavy-D_search-r02""]","[217.4663430196233, 210.47257399186492]","[58.445101184313934, 58.429869748971555]","[0, 0]","[1794.1546250000001, 1792.338875]",True,SEARCH_LOWER_HALF,0,1,"[450, 525]"
decode_heavy-D-binary-04,decode_heavy,D,4,0,1,0,450,900,900,450,450,"[""071-decode_heavy-D_search-r01"", ""072-decode_heavy-D_search-r02""]","[216.80103102698922, 221.23136598384008]","[59.081285839042096, 59.06176888246966]","[0, 0]","[1803.9034375, 1805.469625]",True,SEARCH_LOWER_HALF,0,0,"[450, 450]"
decode_heavy-confirm-00,decode_heavy,JOINT_CONFIRMATION,1,,,,,900,900,450,450,"[""073-decode_heavy-confirmation-r01"", ""074-decode_heavy-confirmation-r02"", ""075-decode_heavy-confirmation-r03"", ""076-decode_heavy-confirmation-r04"", ""077-decode_heavy-confirmation-r05""]","[218.19122199667618, 208.82782601984218, 211.6731139831245, 223.4636510256678, 214.5996920298785]","[59.05961800005981, 59.05895887066007, 59.072507525492895, 59.13360212934112, 59.0582260939603]","[0, 0, 0, 0, 0]","[1807.2685625, 1803.40825, 1804.6156250000001, 1806.0225, 1805.1345625]",True,ACCEPT_FINAL,,,[]
both_heavy-P-binary-01,both_heavy,P,1,0,16,8,1710,1710,1710,1500,1500,"[""081-both_heavy-P_search-r01"", ""082-both_heavy-P_search-r02""]","[225.36046901950613, 236.50161002296954]","[56.44307136223981, 56.45205575595133]","[0, 0]","[982.6336875000001, 984.595875]",True,SEARCH_LOWER_HALF,0,8,"[900, 1710]"
both_heavy-P-binary-02,both_heavy,P,2,0,8,4,1305,1305,1305,1500,1500,"[""083-both_heavy-P_search-r01"", ""084-both_heavy-P_search-r02""]","[238.16699703456834, 239.9342249846086]","[56.43247062199214, 56.44556379503035]","[0, 0]","[974.37775, 972.8484375]",True,SEARCH_LOWER_HALF,0,4,"[900, 1305]"
both_heavy-P-binary-03,both_heavy,P,3,0,4,2,1110,1110,1110,1500,1500,"[""085-both_heavy-P_search-r01"", ""086-both_heavy-P_search-r02""]","[255.0835509900935, 250.75369398109615]","[56.45494273997564, 56.43912018084253]","[0, 0]","[972.3331875, 971.7790625]",True,SEARCH_LOWER_HALF,0,2,"[900, 1110]"
both_heavy-P-binary-04,both_heavy,P,4,0,2,1,1005,1005,1005,1500,1500,"[""087-both_heavy-P_search-r01"", ""088-both_heavy-P_search-r02""]","[284.4496660400182, 265.55397995980456]","[56.44483738588023, 56.450875173047855]","[0, 0]","[969.7054375, 969.2300625]",True,SEARCH_LOWER_HALF,0,1,"[900, 1005]"
both_heavy-P-binary-05,both_heavy,P,5,0,1,0,900,900,900,1500,1500,"[""089-both_heavy-P_search-r01"", ""090-both_heavy-P_search-r02""]","[269.74294998217374, 271.0270810057409]","[56.44537672431641, 56.480112802750604]","[0, 0]","[967.1113124999999, 967.6146875000001]",True,SEARCH_LOWER_HALF,0,0,"[900, 900]"
both_heavy-D-binary-01,both_heavy,D,1,0,14,7,975,900,900,975,975,"[""091-both_heavy-D_search-r01"", ""092-both_heavy-D_search-r02""]","[272.54204702330753, 264.19215399073437]","[57.37661472457557, 57.376282708536046]","[0, 0]","[910.4316875, 909.7045]",True,SEARCH_LOWER_HALF,0,7,"[450, 975]"
both_heavy-D-binary-02,both_heavy,D,2,0,7,3,675,900,900,675,675,"[""093-both_heavy-D_search-r01"", ""094-both_heavy-D_search-r02""]","[267.65317597892135, 267.93430402176455]","[58.444887488130774, 58.53568564588937]","[0, 0]","[917.553375, 914.9126875]",True,SEARCH_LOWER_HALF,0,3,"[450, 675]"
both_heavy-D-binary-03,both_heavy,D,3,0,3,1,525,900,900,525,525,"[""095-both_heavy-D_search-r01"", ""096-both_heavy-D_search-r02""]","[267.7765909465961, 293.7888720189221]","[59.45520397636849, 59.48532884253013]","[0, 0]","[923.856125, 926.0146875]",True,SEARCH_LOWER_HALF,0,1,"[450, 525]"
both_heavy-D-binary-04,both_heavy,D,4,0,1,0,450,900,900,450,450,"[""097-both_heavy-D_search-r01"", ""098-both_heavy-D_search-r02""]","[292.6230779848993, 272.85890199709684]","[60.274756125790454, 60.26650659829804]","[0, 0]","[934.1105, 932.9085]",True,SEARCH_LOWER_HALF,0,0,"[450, 450]"
both_heavy-confirm-00,both_heavy,JOINT_CONFIRMATION,1,,,,,900,900,450,450,"[""099-both_heavy-confirmation-r01"", ""100-both_heavy-confirmation-r02"", ""101-both_heavy-confirmation-r03"", ""102-both_heavy-confirmation-r04"", ""103-both_heavy-confirmation-r05""]","[271.93255099700764, 273.91138003440574, 268.0580450105481, 271.9015870243311, 267.4620170146227]","[60.27695438577097, 60.29105877941914, 60.26107300802567, 60.27239167697977, 60.28721470057627]","[0, 0, 0, 0, 0]","[932.7090625000001, 933.13825, 929.1215625, 931.4005625, 933.8778749999999]",True,ACCEPT_FINAL,,,[]
