exp,pool,tp,freq_mhz,l4_freq_mhz,il,ol,rate_configured_rps,req_throughput_rps,throughput_tps,p99_ttft_ms,p99_tpot_ms,saturated,slo_tight_ok,slo_moderate_ok,slo_loose_ok
B,l4,1,990,,128,128,5.0,2.89,736.05,296.63,76.44,true,false,true,true
B,l4,1,990,,128,128,50.0,4.68,1192.85,597.18,88.32,true,false,false,true
B,l4,1,990,,128,512,10.0,1.06,678.07,468.36,100.67,true,false,true,true
B,l4,1,990,,128,512,20.0,1.05,672.16,830.76,101.99,true,false,false,true
B,l4,1,990,,128,512,30.0,1.05,671.08,1109.04,102.18,true,false,false,false
B,l4,1,990,,128,512,5.0,0.71,451.04,348.83,80.87,true,false,true,true
B,l4,1,990,,512,128,10.0,2.55,1631.54,3968.76,176.55,true,false,false,false
B,l4,1,990,,512,128,20.0,2.56,1637.47,6665.5,175.69,true,false,false,false
B,l4,1,990,,512,128,30.0,2.56,1636.31,7669.59,175.87,true,false,false,false
B,l4,1,990,,512,128,5.0,1.98,1266.51,895.23,116.31,true,false,false,true
B,l4,1,990,,64,2048,10.0,0.16,341.85,150048.71,226.69,true,false,false,false
B,l4,1,990,,64,2048,5.0,0.14,297.78,6124.24,122.3,true,false,false,false
B,l4,2,990,,1024,128,10.0,2.8,3218.19,6836.46,167.43,true,false,false,false
B,l4,2,990,,1024,128,20.0,2.8,3225.58,9844.7,167.32,true,false,false,false
B,l4,2,990,,1024,128,5.0,2.95,3395.51,868.07,97.51,true,false,false,true
B,l4,2,990,,128,1024,10.0,0.86,992.25,270.48,63.51,true,false,true,true
B,l4,2,990,,128,1024,20.0,0.86,994.58,288.49,63.44,true,false,true,true
B,l4,2,990,,128,1024,5.0,0.61,707.43,164.88,46.81,true,true,true,true
B,l4,2,990,,128,128,10.0,7.95,2027.67,156.83,46.97,true,true,true,true
B,l4,2,990,,128,128,2.0,1.92,489.31,139.67,35.39,false,true,true,true
B,l4,2,990,,128,128,20.0,8.66,2207.82,149.63,47.07,true,true,true,true
B,l4,2,990,,128,128,30.0,8.73,2226.02,150.32,47.05,true,true,true,true
B,l4,2,990,,128,128,5.0,4.49,1144.45,135.35,39.32,true,true,true,true
B,l4,2,990,,128,128,50.0,8.79,2240.52,167.06,47.0,true,true,true,true
B,l4,2,990,,128,512,10.0,1.97,1259.69,179.19,53.96,true,true,true,true
B,l4,2,990,,128,512,20.0,1.98,1267.89,182.07,53.85,true,true,true,true
B,l4,2,990,,128,512,30.0,1.99,1270.45,181.87,53.85,true,true,true,true
B,l4,2,990,,128,512,5.0,1.33,850.36,152.07,42.54,true,true,true,true
B,l4,2,990,,512,128,10.0,6.82,4358.97,193.53,60.64,true,true,true,true
B,l4,2,990,,512,128,20.0,7.0,4474.83,185.77,60.64,true,true,true,true
B,l4,2,990,,512,128,30.0,7.04,4496.62,189.21,60.63,true,true,true,true
B,l4,2,990,,512,128,5.0,3.76,2400.98,387.54,59.53,true,false,true,true
B,l4,2,990,,64,2048,10.0,0.32,677.35,484.71,88.92,true,false,true,true
B,l4,2,990,,64,2048,5.0,0.27,565.08,229.02,54.84,true,false,true,true
B,l4,4,990,,1024,128,10.0,8.05,9263.63,227.13,51.61,true,false,true,true
B,l4,4,990,,1024,128,20.0,8.81,10144.95,173.44,49.52,true,true,true,true
B,l4,4,990,,1024,128,5.0,4.48,5159.57,352.85,48.91,true,false,true,true
B,l4,4,990,,128,1024,10.0,1.32,1525.02,144.19,41.77,true,true,true,true
B,l4,4,990,,128,1024,20.0,1.34,1540.02,156.87,41.49,true,true,true,true
B,l4,4,990,,128,1024,5.0,0.98,1126.23,96.46,29.5,true,true,true,true
B,l4,4,990,,128,128,10.0,8.68,2212.91,112.01,30.26,true,true,true,true
B,l4,4,990,,128,128,2.0,1.95,497.96,102.84,21.5,false,true,true,true
B,l4,4,990,,128,128,20.0,12.35,3149.95,136.79,33.42,true,true,true,true
B,l4,4,990,,128,128,30.0,12.53,3193.93,135.1,33.41,true,true,true,true
B,l4,4,990,,128,128,5.0,4.7,1198.15,87.6,23.62,false,true,true,true
B,l4,4,990,,128,128,50.0,12.63,3221.06,141.84,33.48,true,true,true,true
B,l4,4,990,,128,512,10.0,2.81,1792.88,183.62,40.67,true,true,true,true
B,l4,4,990,,128,512,20.0,2.96,1890.16,134.77,36.82,true,true,true,true
B,l4,4,990,,128,512,30.0,2.97,1899.03,137.6,36.74,true,true,true,true
B,l4,4,990,,128,512,5.0,2.08,1330.39,94.88,27.26,true,true,true,true
B,l4,4,990,,512,128,10.0,8.49,5424.37,136.2,37.92,true,true,true,true
B,l4,4,990,,512,128,20.0,10.33,6601.35,138.97,40.31,true,true,true,true
B,l4,4,990,,512,128,30.0,10.65,6804.07,139.21,40.31,true,true,true,true
B,l4,4,990,,512,128,5.0,4.64,2964.05,278.45,39.34,false,false,true,true
B,l4,4,990,,64,2048,10.0,0.53,1124.18,251.38,53.51,true,false,true,true
B,l4,4,990,,64,2048,5.0,0.44,921.12,120.92,33.6,true,true,true,true
D,l4,1,1200,,2,1024,10.0,0.52,527.89,5285.85,121.21,true,false,false,false
D,l4,1,1200,,2,1024,20.0,0.52,529.01,4773.48,122.77,true,false,false,false
D,l4,1,1200,,2,1024,30.0,0.52,529.27,4320.69,123.08,true,false,false,false
D,l4,1,1200,,2,1024,5.0,0.51,527.69,6237.39,118.51,true,false,false,false
D,l4,1,1200,,2,1024,50.0,0.52,529.69,4094.37,123.46,true,false,false,false
D,l4,1,1200,,2,128,10.0,5.3,684.31,233.1,74.2,true,false,true,true
D,l4,1,1200,,2,128,20.0,5.38,694.61,232.0,74.16,true,false,true,true
D,l4,1,1200,,2,128,30.0,5.41,698.34,231.35,74.1,true,false,true,true
D,l4,1,1200,,2,128,5.0,4.12,531.2,239.84,72.27,true,false,true,true
D,l4,1,1200,,2,128,50.0,5.44,701.83,241.81,74.05,true,false,true,true
D,l4,1,1200,,2,256,10.0,2.6,669.06,244.14,78.06,true,false,true,true
D,l4,1,1200,,2,256,20.0,2.62,673.92,248.23,78.02,true,false,true,true
D,l4,1,1200,,2,256,30.0,2.63,675.67,247.13,78.0,true,false,true,true
D,l4,1,1200,,2,256,5.0,2.57,659.42,239.05,78.02,true,false,true,true
D,l4,1,1200,,2,256,50.0,2.64,677.25,247.52,77.97,true,false,true,true
D,l4,1,1200,,2,512,10.0,1.21,621.72,291.61,86.18,true,false,true,true
D,l4,1,1200,,2,512,20.0,1.22,623.79,295.4,86.17,true,false,true,true
D,l4,1,1200,,2,512,30.0,1.22,624.74,294.93,86.13,true,false,true,true
D,l4,1,1200,,2,512,5.0,1.2,616.94,285.91,86.29,true,false,true,true
D,l4,1,1200,,2,512,50.0,1.22,625.49,296.19,86.12,true,false,true,true
D,l4,1,1200,,2,64,10.0,8.21,533.56,235.73,71.93,true,false,true,true
D,l4,1,1200,,2,64,20.0,10.52,683.95,223.82,73.61,true,false,true,true
D,l4,1,1200,,2,64,30.0,10.64,691.51,230.23,73.49,true,false,true,true
D,l4,1,1200,,2,64,5.0,4.54,294.98,213.89,67.65,false,false,true,true
D,l4,1,1200,,2,64,50.0,10.74,697.98,238.55,73.45,true,false,true,true
D,l4,1,1410,,2,1024,10.0,0.53,540.15,5336.99,118.53,true,false,false,false
D,l4,1,1410,,2,1024,20.0,0.53,540.81,4819.92,119.97,true,false,false,false
D,l4,1,1410,,2,1024,30.0,0.53,541.13,4348.66,120.3,true,false,false,false
D,l4,1,1410,,2,1024,5.0,0.53,539.74,6379.25,115.71,true,false,false,false
D,l4,1,1410,,2,1024,50.0,0.53,541.45,4137.55,120.7,true,false,false,false
D,l4,1,1410,,2,128,10.0,5.39,695.32,237.28,72.85,true,false,true,true
D,l4,1,1410,,2,128,20.0,5.48,706.56,231.52,72.73,true,false,true,true
D,l4,1,1410,,2,128,30.0,5.51,710.63,235.13,72.61,true,false,true,true
D,l4,1,1410,,2,128,5.0,4.13,532.17,234.43,70.72,true,false,true,true
D,l4,1,1410,,2,128,50.0,5.54,714.28,235.79,72.58,true,false,true,true
D,l4,1,1410,,2,256,10.0,2.65,681.2,240.61,76.49,true,false,true,true
D,l4,1,1410,,2,256,20.0,2.67,686.14,243.54,76.45,true,false,true,true
D,l4,1,1410,,2,256,30.0,2.68,688.03,243.03,76.42,true,false,true,true
D,l4,1,1410,,2,256,5.0,2.61,671.38,235.14,76.46,true,false,true,true
D,l4,1,1410,,2,256,50.0,2.68,689.68,245.71,76.38,true,false,true,true
D,l4,1,1410,,2,512,10.0,1.24,634.25,284.6,84.31,true,false,true,true
D,l4,1,1410,,2,512,20.0,1.24,636.62,288.84,84.27,true,false,true,true
D,l4,1,1410,,2,512,30.0,1.24,637.64,284.91,84.23,true,false,true,true
D,l4,1,1410,,2,512,5.0,1.23,629.5,278.17,84.37,true,false,true,true
D,l4,1,1410,,2,512,50.0,1.24,638.6,287.17,84.19,true,false,true,true
D,l4,1,1410,,2,64,10.0,8.23,535.13,232.07,70.34,true,false,true,true
D,l4,1,1410,,2,64,20.0,10.72,696.71,231.6,72.01,true,false,true,true
D,l4,1,1410,,2,64,30.0,10.84,704.53,229.76,71.86,true,false,true,true
D,l4,1,1410,,2,64,5.0,4.54,295.09,213.1,66.68,false,false,true,true
D,l4,1,1410,,2,64,50.0,10.94,711.24,226.34,71.88,true,false,true,true
D,l4,1,1620,,2,1024,10.0,0.53,540.54,5371.42,118.52,true,false,false,false
D,l4,1,1620,,2,1024,20.0,0.53,541.3,4793.76,119.96,true,false,false,false
D,l4,1,1620,,2,1024,30.0,0.53,541.4,4311.05,120.34,true,false,false,false
D,l4,1,1620,,2,1024,5.0,0.53,540.35,6369.95,115.77,true,false,false,false
D,l4,1,1620,,2,1024,50.0,0.53,541.98,4099.1,120.6,true,false,false,false
D,l4,1,1620,,2,128,10.0,5.39,695.68,230.81,72.88,true,false,true,true
D,l4,1,1620,,2,128,20.0,5.48,706.63,225.6,72.81,true,false,true,true
D,l4,1,1620,,2,128,30.0,5.51,710.62,227.27,72.75,true,false,true,true
D,l4,1,1620,,2,128,5.0,4.13,532.41,234.21,70.73,true,false,true,true
D,l4,1,1620,,2,128,50.0,5.54,714.28,230.22,72.7,true,false,true,true
D,l4,1,1620,,2,256,10.0,2.65,680.71,239.86,76.62,true,false,true,true
D,l4,1,1620,,2,256,20.0,2.67,686.01,244.66,76.57,true,false,true,true
D,l4,1,1620,,2,256,30.0,2.68,687.5,243.46,76.58,true,false,true,true
D,l4,1,1620,,2,256,5.0,2.61,670.91,236.5,76.61,true,false,true,true
D,l4,1,1620,,2,256,50.0,2.68,689.49,243.15,76.52,true,false,true,true
D,l4,1,1620,,2,512,10.0,1.24,634.84,285.16,84.33,true,false,true,true
D,l4,1,1620,,2,512,20.0,1.24,637.05,289.45,84.33,true,false,true,true
D,l4,1,1620,,2,512,30.0,1.24,637.74,283.33,84.35,true,false,true,true
D,l4,1,1620,,2,512,5.0,1.23,629.7,279.54,84.53,true,false,true,true
D,l4,1,1620,,2,512,50.0,1.25,639.05,287.02,84.22,true,false,true,true
D,l4,1,1620,,2,64,10.0,8.24,535.66,230.16,70.15,true,false,true,true
D,l4,1,1620,,2,64,20.0,10.73,697.32,225.3,72.07,true,false,true,true
D,l4,1,1620,,2,64,30.0,10.85,705.48,226.09,71.88,true,false,true,true
D,l4,1,1620,,2,64,5.0,4.54,295.32,217.75,66.31,false,false,true,true
D,l4,1,1620,,2,64,50.0,10.96,712.41,228.9,71.81,true,false,true,true
D,l4,1,1830,,2,1024,10.0,0.53,540.95,5319.67,118.49,true,false,false,false
D,l4,1,1830,,2,1024,20.0,0.53,541.61,4812.13,119.93,true,false,false,false
D,l4,1,1830,,2,1024,30.0,0.53,541.77,4300.47,120.21,true,false,false,false
D,l4,1,1830,,2,1024,5.0,0.53,540.53,6364.24,115.64,true,false,false,false
D,l4,1,1830,,2,1024,50.0,0.53,542.11,4091.18,120.58,true,false,false,false
D,l4,1,1830,,2,128,10.0,5.39,695.9,226.07,72.87,true,false,true,true
D,l4,1,1830,,2,128,20.0,5.48,706.94,223.65,72.79,true,false,true,true
D,l4,1,1830,,2,128,30.0,5.51,711.22,232.35,72.66,true,false,true,true
D,l4,1,1830,,2,128,5.0,4.13,532.47,231.04,70.71,true,false,true,true
D,l4,1,1830,,2,128,50.0,5.54,715.29,240.2,72.58,true,false,true,true
D,l4,1,1830,,2,256,10.0,2.65,682.23,239.29,76.41,true,false,true,true
D,l4,1,1830,,2,256,20.0,2.67,686.81,244.29,76.47,true,false,true,true
D,l4,1,1830,,2,256,30.0,2.68,688.64,242.13,76.44,true,false,true,true
D,l4,1,1830,,2,256,5.0,2.61,671.46,234.89,76.54,true,false,true,true
D,l4,1,1830,,2,256,50.0,2.69,691.68,241.53,76.24,true,false,true,true
D,l4,1,1830,,2,512,10.0,1.24,634.72,284.37,84.35,true,false,true,true
D,l4,1,1830,,2,512,20.0,1.24,637.05,290.3,84.34,true,false,true,true
D,l4,1,1830,,2,512,30.0,1.24,637.98,286.95,84.29,true,false,true,true
D,l4,1,1830,,2,512,5.0,1.23,630.17,278.93,84.37,true,false,true,true
D,l4,1,1830,,2,512,50.0,1.25,638.8,287.97,84.27,true,false,true,true
D,l4,1,1830,,2,64,10.0,8.24,535.61,231.1,70.18,true,false,true,true
D,l4,1,1830,,2,64,20.0,10.72,696.97,225.43,72.14,true,false,true,true
D,l4,1,1830,,2,64,30.0,10.85,705.51,233.19,71.84,true,false,true,true
D,l4,1,1830,,2,64,5.0,4.54,295.36,216.6,66.33,false,false,true,true
D,l4,1,1830,,2,64,50.0,10.97,712.75,228.22,71.77,true,false,true,true
D,l4,1,2040,,2,1024,10.0,0.53,540.41,5422.85,118.57,true,false,false,false
D,l4,1,2040,,2,1024,20.0,0.53,541.17,4830.7,120.01,true,false,false,false
D,l4,1,2040,,2,1024,30.0,0.53,541.39,4340.19,120.34,true,false,false,false
D,l4,1,2040,,2,1024,5.0,0.53,540.26,6364.3,115.69,true,false,false,false
D,l4,1,2040,,2,1024,50.0,0.53,541.84,4128.83,120.65,true,false,false,false
D,l4,1,2040,,2,128,10.0,5.39,695.51,229.54,72.92,true,false,true,true
D,l4,1,2040,,2,128,20.0,5.48,706.42,227.18,72.84,true,false,true,true
D,l4,1,2040,,2,128,30.0,5.51,710.63,229.59,72.76,true,false,true,true
D,l4,1,2040,,2,128,5.0,4.13,532.83,232.08,70.75,true,false,true,true
D,l4,1,2040,,2,128,50.0,5.54,714.24,231.45,72.71,true,false,true,true
D,l4,1,2040,,2,256,10.0,2.65,680.59,240.34,76.63,true,false,true,true
D,l4,1,2040,,2,256,20.0,2.67,685.9,244.85,76.59,true,false,true,true
D,l4,1,2040,,2,256,30.0,2.68,688.02,242.61,76.49,true,false,true,true
D,l4,1,2040,,2,256,5.0,2.61,670.44,235.22,76.67,true,false,true,true
D,l4,1,2040,,2,256,50.0,2.68,689.45,242.12,76.53,true,false,true,true
D,l4,1,2040,,2,512,10.0,1.24,634.76,284.41,84.34,true,false,true,true
D,l4,1,2040,,2,512,20.0,1.24,637.03,289.61,84.35,true,false,true,true
D,l4,1,2040,,2,512,30.0,1.24,638.02,284.8,84.31,true,false,true,true
D,l4,1,2040,,2,512,5.0,1.23,629.75,278.76,84.54,true,false,true,true
