unix_ts,host,gpu_index,gpu_uuid,power_w,sm_clock_mhz,gpu_util_pct
1786139207.532241,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,16.16,210.0,0.0
1786139207.532241,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,15.95,210.0,0.0
1786139207.532241,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.88,210.0,0.0
1786139207.532241,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.57,210.0,0.0
1786139208.032689,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,16.16,210.0,0.0
1786139208.032689,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,16.0,210.0,0.0
1786139208.032689,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.88,210.0,0.0
1786139208.032689,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.57,210.0,0.0
1786139208.533136,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,16.16,210.0,0.0
1786139208.533136,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,16.0,210.0,0.0
1786139208.533136,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.88,210.0,0.0
1786139208.533136,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.56,210.0,0.0
1786139209.033583,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,16.16,210.0,0.0
1786139209.033583,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,16.0,210.0,0.0
1786139209.033583,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.88,210.0,0.0
1786139209.033583,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.56,210.0,0.0
1786139209.534037,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,16.16,210.0,0.0
1786139209.534037,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,16.0,210.0,0.0
1786139209.534037,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.88,210.0,0.0
1786139209.534037,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.56,210.0,0.0
1786139210.034524,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,16.16,210.0,0.0
1786139210.034524,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,16.0,210.0,0.0
1786139210.034524,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.88,210.0,0.0
1786139210.034524,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.56,210.0,0.0
1786139210.534972,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,16.16,210.0,0.0
1786139210.534972,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,16.0,210.0,0.0
1786139210.534972,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.88,210.0,0.0
1786139210.534972,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.56,210.0,0.0
1786139211.035418,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,16.16,210.0,0.0
1786139211.035418,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,16.05,210.0,0.0
1786139211.035418,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.88,210.0,0.0
1786139211.035418,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.56,210.0,0.0
1786139211.535867,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,16.11,210.0,0.0
1786139211.535867,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,16.05,210.0,0.0
1786139211.535867,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.88,210.0,0.0
1786139211.535867,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.56,210.0,0.0
1786139212.036315,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,16.11,210.0,0.0
1786139212.036315,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,16.05,210.0,0.0
1786139212.036315,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.88,210.0,0.0
1786139212.036315,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.56,210.0,0.0
1786139212.536762,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,16.06,210.0,0.0
