adaptive,attempt,axis,candidate_id,control_inclusive_duration_sum_s,control_inclusive_energy_sum_j,decode_frequency_mhz,duration_s,early_stop_reason,end,energy_statistic,event,grid_index,latency_statistic,mean_power_w,measured_energy_j,measured_power_w,prefill_frequency_mhz,probe_id,repeat_index,request_duration_sum_s,request_energy_sum_j,sample_count,search_stage,slo_met,start,tpot_ms,ttft_ms,workload_id
True,1,D,production-00153-attempt-1-binary-slo-D-3,23.87601327896118,2843.1698559336364,675,22.686242818832397,stable_with_slo_headroom,1788697116.2322388,mean_request_energy_j,probe_candidate_aggregated,3,p95,121.30674180471655,907.4828684106469,121.30669617976166,1200,production-00153-attempt-1-binary-slo-D-3,,22.442681789398193,2722.4486052319407,3,binary-slo,True,1788697093.545996,57.4478449786676,182.8025828115642,decode_medium
True,1,D,production-00153-attempt-1-binary-slo-D-1,24.132960081100464,2862.26300117746,525,22.96653914451599,stable_with_slo_headroom,1788697140.7792459,mean_request_energy_j,probe_candidate_aggregated,1,p95,120.76058582852023,914.6094815172255,120.76065594381346,1200,production-00153-attempt-1-binary-slo-D-1,,22.721225023269653,2743.8284445516765,3,binary-slo,True,1788697117.8127067,58.184458002792745,182.25008575245738,decode_medium
True,1,D,production-00153-attempt-1-binary-slo-D-0,24.40123200416565,2882.7805833630264,450,23.252261877059937,stable_with_slo_headroom,1788697165.5492868,mean_request_energy_j,probe_candidate_aggregated,0,p95,120.32296678962784,920.5883441865444,120.32297428500492,1200,production-00153-attempt-1-binary-slo-D-0,,22.952933311462402,2761.7650325596333,3,binary-slo,True,1788697142.297025,58.78807100656215,180.90515626827255,decode_medium
True,1,D,production-00153-attempt-1-energy-refine-D-6,23.670464515686035,2840.495815768838,900,22.5016827583313,stable_with_slo_headroom,1788697189.6340318,mean_request_energy_j,probe_candidate_aggregated,6,p95,122.39367366153246,906.076090760529,122.39364163327491,1200,production-00153-attempt-1-energy-refine-D-6,,22.208895206451416,2718.228272281587,3,energy-refine,True,1788697167.132349,56.845574727553256,180.93387368135154,decode_medium
True,1,D,production-00153-attempt-1-energy-refine-D-8,23.55104422569275,2853.72599382326,1050,22.426964044570923,stable_with_slo_headroom,1788697213.6599355,mean_request_energy_j,probe_candidate_aggregated,8,p95,123.60449585158787,909.5144100512067,123.60444893046554,1200,production-00153-attempt-1-energy-refine-D-8,,22.07478952407837,2728.5432301536202,3,energy-refine,True,1788697191.2329714,56.51505989055553,177.60420226259157,decode_medium
False,1,,production-00153-attempt-1-confirm,23.62904143333435,2848.600658778101,975,22.390915393829346,,1788697237.607369,mean_request_energy_j,probe_candidate_aggregated,,p95,123.01636853666484,908.0409549785157,123.01643335729727,1200,production-00153-attempt-1-confirm,,22.14439344406128,2724.122864935547,3,confirmation,True,1788697215.2164536,56.6715545619574,179.75467725191265,decode_medium
True,1,P,production-00209-attempt-1-binary-slo-P-8,46.392653942108154,5956.3171821683645,1500,43.72657775878906,stable_with_slo_headroom,1788697674.9252384,mean_request_energy_j,probe_candidate_aggregated,8,p95,131.44542889093745,1902.7160483449697,131.44548204504883,1710,production-00209-attempt-1-binary-slo-P-8,,43.425992012023926,5708.148145034909,3,binary-slo,True,1788697631.1986606,56.020703942505826,188.8196331099607,decode_heavy
True,1,P,production-00209-attempt-1-binary-slo-P-3,45.67368125915527,5875.1311844065785,1500,43.66707634925842,stable_with_slo_headroom,1788697720.9740608,mean_request_energy_j,probe_candidate_aggregated,3,p95,130.81343521835157,1893.1883246339858,130.81347187376386,1200,production-00209-attempt-1-binary-slo-P-3,,43.417290925979614,5679.564973901957,3,binary-slo,True,1788697677.3069844,56.02252192612664,181.35601623216644,decode_heavy
True,1,P,production-00209-attempt-1-binary-slo-P-1,45.70089387893677,5904.267586782575,1500,43.68807291984558,stable_with_slo_headroom,1788697767.0650358,mean_request_energy_j,probe_candidate_aggregated,1,p95,131.39172894933694,1902.079086324821,131.39177207066405,1005,production-00209-attempt-1-binary-slo-P-1,,43.42919683456421,5706.237258974463,3,binary-slo,True,1788697723.376963,56.02347870142765,182.85210592439398,decode_heavy
True,1,P,production-00209-attempt-1-binary-slo-P-0,45.68847608566284,5897.687160778791,1500,43.741172313690186,stable_with_slo_headroom,1788697813.1336849,mean_request_energy_j,probe_candidate_aggregated,0,p95,131.27112450788576,1900.7106575941045,131.2711151004378,900,production-00209-attempt-1-binary-slo-P-0,,43.43782377243042,5702.131972782314,3,binary-slo,True,1788697769.3925126,56.02342725352512,186.35857613990083,decode_heavy
True,1,P,production-00209-attempt-1-energy-refine-P-2,45.711458683013916,5935.321621149778,1500,43.718212366104126,stable_with_slo_headroom,1788697859.282943,mean_request_energy_j,probe_candidate_aggregated,2,p95,132.08079534503463,1911.1376394480467,132.080800205467,1110,production-00209-attempt-1-energy-refine-P-2,,43.408376693725586,5733.41291834414,3,energy-refine,True,1788697815.5647306,56.02155411538357,178.13866975484416,decode_heavy
True,1,P,production-00209-attempt-1-energy-refine-P-4,45.70885157585144,5973.818131297827,1500,43.6165988445282,stable_with_slo_headroom,1788697905.3305387,mean_request_energy_j,probe_candidate_aggregated,4,p95,132.9739325893926,1923.885489712159,132.97393297259293,1305,production-00209-attempt-1-energy-refine-P-4,,43.404420375823975,5771.6564691364765,3,energy-refine,True,1788697861.71394,56.024266287328345,175.84675987018272,decode_heavy
True,1,D,production-00209-attempt-1-binary-slo-D-7,47.53500699996948,5702.989762190729,975,44.242228984832764,stable_with_slo_headroom,1788697953.2497485,mean_request_energy_j,probe_candidate_aggregated,7,p95,122.6385445476587,1798.279761299491,122.63853606453559,1200,production-00209-attempt-1-binary-slo-D-7,,43.989753007888794,5394.839283898473,3,binary-slo,True,1788697909.0075195,56.7776929784347,178.68248239392415,decode_heavy
True,1,D,production-00209-attempt-1-binary-slo-D-3,46.102137327194214,5545.927535444498,675,44.82958745956421,stable_with_slo_headroom,1788697999.6449492,mean_request_energy_j,probe_candidate_aggregated,3,p95,121.46785165269392,1806.467512494574,121.4678702631121,1200,production-00209-attempt-1-binary-slo-D-3,,44.615941286087036,5419.402537483722,3,binary-slo,True,1788697954.8153617,57.598841940691955,179.7647962346673,decode_heavy
True,1,D,production-00209-attempt-1-binary-slo-D-1,46.71253824234009,5594.1530244499445,525,45.53854417800903,stable_with_slo_headroom,1788698046.795329,mean_request_energy_j,probe_candidate_aggregated,1,p95,120.79089535818288,1821.1014018009107,120.79089088912345,1200,production-00209-attempt-1-binary-slo-D-1,,45.22943711280823,5463.304205402732,3,binary-slo,True,1788698001.256785,58.393198964870805,180.37169785238802,decode_heavy
True,1,D,production-00209-attempt-1-binary-slo-D-0,47.225610971450806,5629.2849456220865,450,45.93820881843567,stable_with_slo_headroom,1788698094.3617866,mean_request_energy_j,probe_candidate_aggregated,0,p95,120.35821417803626,1834.5074215891461,120.35823355885657,1200,production-00209-attempt-1-binary-slo-D-0,,45.72618746757507,5503.522264767438,3,binary-slo,True,1788698048.4235778,59.02896977477141,184.9208990111947,decode_heavy
True,1,D,production-00209-attempt-1-energy-refine-D-6,45.55261945724487,5508.492937792093,900,44.395667552948,stable_with_slo_headroom,1788698140.254511,mean_request_energy_j,probe_candidate_aggregated,6,p95,122.12446718306938,1796.5048314221203,122.12444389066327,1200,production-00209-attempt-1-energy-refine-D-6,,44.13132452964783,5389.514494266361,3,energy-refine,True,1788698095.8588436,56.96405202090996,180.91123898047954,decode_heavy
True,1,D,production-00209-attempt-1-energy-refine-D-8,45.26818823814392,5508.58326914534,1050,44.12352800369263,stable_with_slo_headroom,1788698185.9572473,mean_request_energy_j,probe_candidate_aggregated,8,p95,122.90049991741986,1797.0867479244869,122.90049217250936,1200,production-00209-attempt-1-energy-refine-D-8,,43.86686992645264,5391.26024377346,3,energy-refine,True,1788698141.8337193,56.61735417275671,183.68830889230594,decode_heavy
