unix_ts,host,gpu_index,gpu_uuid,power_w,sm_clock_mhz,gpu_util_pct
1786139778.689592,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139778.689592,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139778.689592,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.83,210.0,0.0
1786139779.190078,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.67,210.0,0.0
1786139779.190078,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139779.190078,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139779.190078,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.83,210.0,0.0
1786139779.690569,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.66,210.0,0.0
1786139779.690569,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139779.690569,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139779.690569,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.83,210.0,0.0
1786139780.191061,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.66,210.0,0.0
1786139780.191061,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139780.191061,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.45,210.0,0.0
1786139780.191061,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.83,210.0,0.0
1786139780.691584,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.66,210.0,0.0
1786139780.691584,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139780.691584,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.45,210.0,0.0
1786139780.691584,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.83,210.0,0.0
1786139781.192077,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.66,210.0,0.0
1786139781.192077,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139781.192077,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.45,210.0,0.0
1786139781.192077,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.83,210.0,0.0
1786139781.692575,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.67,210.0,0.0
1786139781.692575,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139781.692575,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.45,210.0,0.0
1786139781.692575,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.83,210.0,0.0
1786139782.193062,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.67,210.0,0.0
1786139782.193062,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139782.193062,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139782.193062,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.71,210.0,0.0
1786139782.693594,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.67,210.0,0.0
1786139782.693594,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139782.693594,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139782.693594,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.71,210.0,0.0
1786139783.194084,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.67,210.0,0.0
1786139783.194084,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139783.194084,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.45,210.0,0.0
1786139783.194084,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.71,210.0,0.0
1786139783.694578,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.72,210.0,0.0
1786139783.694578,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139783.694578,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.45,210.0,0.0
1786139783.694578,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.71,210.0,0.0
1786139784.195072,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.72,210.0,0.0
1786139784.195072,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139784.195072,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.45,210.0,0.0
1786139784.195072,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.71,210.0,0.0
1786139784.695574,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.72,210.0,0.0
1786139784.695574,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139784.695574,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.45,210.0,0.0
1786139784.695574,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.71,210.0,0.0
1786139785.196069,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.72,210.0,0.0
1786139785.196069,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139785.196069,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139785.196069,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.72,210.0,0.0
1786139785.696591,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.59,210.0,0.0
1786139785.696591,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.35,210.0,0.0
1786139785.696591,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
