phase,request_id,p_mhz,d_mhz,input_len,output_len,burst_size,rank,rep,background_target,background_active,status,error,ttft_ms,tpot_ms,client_first_chunk_ms,client_done_ms,chunks,t_request_received_ms,t_route_selected_ms,t_prefill_started_ms,t_prefill_completed_ms,t_kv_handoff_completed_ms,t_decode_request_started_ms,t_decode_response_headers_received_ms,t_decode_first_real_chunk_received_ms,t_decode_first_real_chunk_forwarded_ms,t_decode_last_chunk_received_ms,t_response_completed_ms
bursts_reference,k1-bursts_reference-000021,2520,1500,128,16,8,0,4,,,ok,,572.6933148689568,59.70738474279642,572.7454340085387,1470.136827789247,16,0.04713190719485283,0.06494764238595963,0.20926771685481071,500.0818148255348,500.0831689685583,500.11411402374506,508.9919730089605,572.7404467761517,572.7430279366672,1468.351217918098,1468.3571946807206
bursts_reference,k1-bursts_reference-000023,2520,1500,128,16,8,2,4,,,ok,,692.3355301842093,59.65137807652354,692.372031044215,1589.932981878519,16,0.03117695450782776,0.04202127456665039,0.10041333734989166,506.07043132185936,506.0720010660589,506.1093270778656,525.658727157861,692.3667071387172,692.3698838800192,1587.1373782865703,1587.157113943249
bursts_reference,k1-bursts_reference-000025,2520,1500,128,16,8,4,4,,,ok,,691.4268010295928,59.65178608894348,691.4562159217894,1591.018260922283,16,0.026784837245941162,0.03747502341866493,0.09327894076704979,504.33899695053697,504.3405522592366,504.3805460445583,524.9142278917134,691.4535858668387,691.4550559595227,1586.230377200991,1586.2389700487256
bursts_reference,k1-bursts_reference-000022,2520,1500,128,16,8,1,4,,,ok,,693.0041802115738,59.65331199889382,693.0430768989027,1594.6151362732053,16,0.03626197576522827,0.05131913349032402,0.1277560368180275,505.3191212937236,505.32066402956843,505.35528222098947,526.5386458486319,693.0404421873391,693.0419751442969,1587.8401221707463,1587.846799287945
bursts_reference,k1-bursts_reference-000026,2520,1500,128,16,8,5,4,,,ok,,691.0683610476553,59.65091409161687,691.0964217968285,1594.4098308682442,16,0.025031622499227524,0.03548804670572281,0.10724691674113274,502.58562667295337,502.587572671473,502.63336300849915,524.568181950599,691.0933926701546,691.0950876772404,1585.8571040444076,1585.8622286468744
bursts_reference,k1-bursts_reference-000027,2520,1500,128,16,8,6,4,,,ok,,690.1819128543139,59.65178785845637,690.2131759561598,1595.1468837447464,16,0.028506852686405182,0.040199607610702515,0.10165758430957794,503.4090168774128,503.41089768335223,503.45337158069015,523.7073595635593,690.2104197070003,690.2119438163936,1584.9872375838459,1584.9935268051922
bursts_reference,k1-bursts_reference-000024,2520,1500,128,16,8,3,4,,,ok,,692.0237047597766,59.65213800470034,692.0643378980458,1598.489926662296,16,0.03010779619216919,0.04043197259306908,0.1019318588078022,503.88559186831117,503.88710387051105,503.92325688153505,525.5618509836495,692.0538125559688,692.0551247894764,1586.835882626474,1586.8408516980708
bursts_reference,k1-bursts_reference-000028,2520,1500,128,16,8,7,4,,,ok,,689.767555333674,59.65130326027671,689.7969809360802,1597.6900588721037,16,0.026621855795383453,0.036005862057209015,0.09035877883434296,502.21464689821005,502.2162878885865,502.2482299245894,523.2978169806302,689.7941771894693,689.795691985637,1584.56372609362,1584.5696358010173
bursts_reference,k1-bursts_reference-000029,2520,1500,128,16,8,0,1,,,ok,,577.4294128641486,59.671041586746774,577.4805331602693,1474.2574160918593,16,0.04597241058945656,0.0636284239590168,0.17385417595505714,503.22334421798587,503.22664622217417,503.3027031458914,513.739871326834,577.4753852747381,577.478192280978,1472.5410090759397,1472.549363039434
bursts_reference,k1-bursts_reference-000035,2520,1500,128,16,8,6,1,,,ok,,695.3588561154902,59.60582845533887,695.3901560045779,1592.3595307394862,16,0.02610776573419571,0.035439152270555496,0.08723186329007149,508.99192597717047,508.99425987154245,509.04481671750546,528.972408734262,695.3849638812244,695.3880037181079,1589.4723907113075,1589.5078987814486
bursts_reference,k1-bursts_reference-000033,2520,1500,128,16,8,4,1,,,ok,,696.3499346747994,59.603321800629296,696.3785691186786,1596.9142648391426,16,0.02522999420762062,0.0353730283677578,0.08719787001609802,509.0097556822002,509.01159970089793,509.0624247677624,530.1182279363275,696.3751646690071,696.3770068250597,1590.4249916784465,1590.4314070940018
bursts_reference,k1-bursts_reference-000030,2520,1500,128,16,8,1,1,,,ok,,697.9013090021908,59.60421906784177,697.9410741478205,1600.3176858648658,16,0.03694184124469757,0.050310976803302765,0.1244707964360714,508.13157903030515,508.1352451816201,508.21914384141564,531.735397875309,697.9382508434355,697.9398601688445,1592.001536861062,1592.006066814065
bursts_reference,k1-bursts_reference-000031,2520,1500,128,16,8,2,1,,,ok,,697.3314951173961,59.60486071805159,697.3636359907687,1601.658073719591,16,0.029300805181264877,0.04045385867357254,0.0989958643913269,508.2899867556989,508.292393758893,508.36940575391054,531.1985448934138,697.3607959225774,697.3623386584222,1591.4337066933513,1591.4378897286952
bursts_reference,k1-bursts_reference-000036,2520,1500,128,16,8,7,1,,,ok,,695.1379748061299,59.602780329684414,695.1658832840621,1601.0332922451198,16,0.025503337383270264,0.034407246857881546,0.4818793386220932,508.1596071831882,508.16207518801093,508.21446534246206,528.9937891066074,695.1634781435132,695.1648299582303,1589.2051830887794,1589.2086080275476
bursts_reference,k1-bursts_reference-000034,2520,1500,128,16,8,5,1,,,ok,,695.9851831197739,59.603292463968195,696.0154538974166,1603.4831549040973,16,0.028058886528015137,0.03712903708219528,0.08885608986020088,507.5639868155122,507.5667258352041,507.6304138638079,529.8729627393186,696.0132420063019,696.01443503052,1590.0626289658248,1590.0660357438028
bursts_reference,k1-bursts_reference-000032,2520,1500,128,16,8,3,1,,,ok,,696.9107831828296,59.60396432007352,696.9405808486044,1605.83210689947,16,0.027379952371120453,0.038479920476675034,0.09783217683434486,509.0078287757933,509.010445792228,509.067390114069,530.8336969465017,696.9381631352007,696.9395368359983,1590.9976279363036,1591.0018607974052
bursts_reference,k1-bursts_reference-000037,2520,1500,128,16,2,0,4,,,ok,,233.7199910543859,58.1131766239802,233.77324221655726,1107.4525751173496,16,0.046289991587400436,0.06406009197235107,0.1689423806965351,157.70169626921415,157.7047612518072,157.76680409908295,169.26672728732228,233.7662810459733,233.77047711983323,1105.4639304056764,1105.4735402576625
bursts_reference,k1-bursts_reference-000038,2520,1500,128,16,2,1,4,,,ok,,291.09126003459096,57.99660698200265,291.13876912742853,1163.0028379149735,16,0.04396308213472366,0.060156919062137604,0.1351451501250267,157.4664367362857,157.46897086501122,157.53185097128153,168.59120875597,291.1352231167257,291.13715095445514,1161.0843278467655,1161.0946748405695
bursts_reference,k1-bursts_reference-000039,2520,1500,1024,16,8,0,1,,,ok,,1295.8791223354638,63.40255967030922,1295.9674010053277,2249.283137265593,16,0.08476898074150085,0.10222708806395531,0.217510387301445,1199.2525793612003,1199.2565020918846,1199.3507011793554,1218.2718603871763,1295.9638913162053,1295.9657860919833,2247.0022863708436,2247.0221682451665
bursts_reference,k1-bursts_reference-000041,2520,1500,1024,16,8,2,1,,,ok,,1294.3323282524943,63.40506660441557,1294.3646041676402,2249.5638700202107,16,0.029366929084062576,0.042587053030729294,0.10705320164561272,1196.507847867906,1196.5133100748062,1196.6367880813777,1216.7150969617069,1294.3616951815784,1294.3635280244052,2245.437694247812,2245.442409068346
bursts_reference,k1-bursts_reference-000040,2520,1500,1024,16,8,1,1,,,ok,,1294.901147019118,63.424123264849186,1294.9465960264206,2251.929566729814,16,0.03818375989794731,0.0674310140311718,0.14462973922491074,1199.2170307785273,1199.2207439616323,1199.308373965323,1217.1365679241717,1294.939330779016,1294.9435696937144,2246.301179751754,2246.3065506890416
bursts_reference,k1-bursts_reference-000042,2520,1500,1024,16,8,3,1,,,ok,,1791.263522580266,63.278435139606394,1791.2963181734085,2742.5037790089846,16,0.027762260288000107,0.039767008274793625,0.0980752520263195,1578.4773821942508,1578.479016199708,1578.5049279220402,1607.1120672859251,1791.291284840554,1791.2943889386952,2740.46781193465,2740.479269064963
bursts_reference,k1-bursts_reference-000043,2520,1500,1024,16,8,4,1,,,ok,,1790.8238610252738,63.27723854531845,1790.8542067743838,2743.533276952803,16,0.026868656277656555,0.037620775401592255,0.0910595990717411,1577.3245696909726,1577.3261077702045,1577.3881459608674,1596.2833128869534,1790.8507296815515,1790.8523217774928,2740.009307861328,2740.014046896249
bursts_reference,k1-bursts_reference-000046,2520,1500,1024,16,8,7,1,,,ok,,1788.9846512116492,63.27770280962189,1789.0209988690913,2742.9597810842097,16,0.03347080200910568,0.04900014027953148,0.12045307084918022,1578.346606809646,1578.3483278937638,1578.3818340860307,1604.8758877441287,1789.0181220136583,1789.019619114697,2738.1836641579866,2738.187151029706
bursts_reference,k1-bursts_reference-000044,2520,1500,1024,16,8,5,1,,,ok,,1790.4204777441919,63.274574745446444,1790.4482749290764,2745.799449738115,16,0.02521602436900139,0.03620609641075134,0.08741486817598343,1577.2367338649929,1577.2378840483725,1577.266314998269,1595.714433118701,1790.445693768561,1790.4472947120667,2739.5643149502575,2739.5673231221735
bursts_reference,k1-bursts_reference-000045,2520,1500,1024,16,8,6,1,,,ok,,1790.0030380114913,63.27195310344299,1790.0306694209576,2746.7105351388454,16,0.025000423192977905,0.0346512533724308,0.08352240547537804,1579.5466140843928,1579.5478490181267,1579.5748443342745,1605.735104996711,1790.0280384346843,1790.0294964201748,2739.107334986329,2739.1103603877127
bursts_reference,k1-bursts_reference-000047,2520,1500,1024,16,2,0,3,,,ok,,492.9285948164761,60.355832489828266,492.9845333099365,1399.8488122597337,16,0.048560090363025665,0.06600236520171165,0.17109420150518417,408.26413594186306,408.26820535585284,408.3604752086103,425.71578500792384,492.97715490683913,492.9816392250359,1398.3146422542632,1398.3226930722594
bursts_reference,k1-bursts_reference-000048,2520,1500,1024,16,2,1,3,,,ok,,552.6317022740841,60.10033137475451,552.6730730198324,1455.5052686482668,16,0.03730272874236107,0.05449680611491203,0.12843869626522064,408.24685571715236,408.2494489848614,408.3208376541734,424.6073546819389,552.6690050028265,552.6713696308434,1454.173975624144,1454.1836138814688
bursts_reference,k1-bursts_reference-000049,2520,1500,1024,16,1,0,2,,,ok,,283.59954711049795,56.94726618627707,283.6546488106251,1139.1330887563527,16,0.04943879321217537,0.0663059763610363,0.17494801431894302,204.57351580262184,204.5773919671774,204.66221496462822,217.86830481141806,283.6489859037101,283.65255799144506,1137.8579786978662,1137.8677147440612
bursts_reference,k1-bursts_reference-000050,2520,1500,128,16,2,0,1,,,ok,,239.35707425698638,58.2141044549644,239.4100809469819,1114.0761650167406,16,0.04591280594468117,0.06404472514986992,0.16799895092844963,163.64929173141718,163.65258488804102,163.72984973713756,175.27039302513003,239.40298706293106,239.40701689571142,1112.614553887397,1112.6233898103237
bursts_reference,k1-bursts_reference-000051,2520,1500,128,16,2,1,1,,,ok,,296.8750800937414,58.07791405046979,296.91491881385446,1169.374271761626,16,0.03629503771662712,0.05051214247941971,0.12471899390220642,164.55703182145953,164.56002602353692,164.63174484670162,174.60112692788243,296.91137513145804,296.91339284181595,1168.080085888505,1168.0900300852954
bursts_reference,k1-bursts_reference-000052,2520,1500,1024,16,2,0,1,,,ok,,494.25773369148374,60.39258328576883,494.3145322613418,1401.680838316679,16,0.049194321036338806,0.06716419011354446,0.17873896285891533,409.71846831962466,409.72232492640615,409.8181640729308,426.9476570188999,494.3069280125201,494.3110812455416,1400.1956772990525,1400.2041229978204
bursts_reference,k1-bursts_reference-000053,2520,1500,1024,16,2,1,1,,,ok,,553.8690560497344,60.15086115027467,553.9095620624721,1457.6448230072856,16,0.03682263195514679,0.05312962457537651,0.13262173160910606,409.62265990674496,409.6253989264369,409.6939596347511,426.166329998523,553.9058786816895,553.9078139699996,1456.1687959358096,1456.1785338446498
bursts_reference,k1-bursts_reference-000055,2520,1500,1024,16,4,1,4,,,ok,,857.340398710221,61.7930152763923,857.3881718330085,1785.6112490408123,16,0.03739120438694954,0.05191098898649216,0.1271362416446209,759.4593372195959,759.4637498259544,759.5541570335627,786.5783930756152,857.377789914608,857.383931055665,1784.2730190604925,1784.280409105122
bursts_reference,k1-bursts_reference-000057,2520,1500,1024,16,4,3,4,,,ok,,918.3101900853217,61.72036066030463,918.3407006785274,1845.511860679835,16,0.026233959943056107,0.03704708069562912,0.09309174492955208,761.2726707011461,761.2753030844033,761.3436076790094,784.9441301077604,918.3364240452647,918.3389348909259,1844.141833949834,1844.1514186561108
