proxy_start hostname=ganymede http=0.0.0.0:30160 registry=0.0.0.0:31160
registry_add role=decode http=10.1.0.3:33160 zmq=10.1.0.3:34160
registry_add role=prefill http=10.1.0.6:32160 zmq=10.1.0.6:34160
route count=53 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_d23daceb4bff49c9a932fe63b4f1d540 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=54 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_c41005d899ef4144ad29c6152e6e13db prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=55 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_f2351d8c136d486f99cc778475b27831 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=56 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_43bb3d2139814718b1a950f558f7a161 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=57 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_1716b6ea93034172875cd07a845cb152 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=58 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_2f0eb56b75414080ae87567091ff2128 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=59 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_e9198bcdead7429db510b8fb359521f1 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=60 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_8f4fd3d93b6e4f259c2e865f5a7fa318 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=61 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_1a1fdce17c554a8f963b464b93f59821 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=62 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_4bc039a99ac242b5bbf58fba00bb3aac prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
clock_ack_publish node_group=neptune seq=3 target_mhz=480 rc=0 observed_mhz=210
clock_ack_publish node_group=ganymede seq=3 target_mhz=570 rc=0 observed_mhz=360
route count=63 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_b3220dcea6714b61a5e141238441558c prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=64 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_a347d08dec6448f79eaa18f691ad7398 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=65 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_e437c7c899c343cdbdbaa47b400d52df prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=66 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_eb13d4574e35462fb5cb34836eb66e1c prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=67 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_72a34a672ffd42e6bc36413173ceff9a prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=68 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_aac2468c940c4ab596400c002c5b89e2 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=69 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_b045c8cc12694f29981dde0e9cbb8e2a prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=70 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_b85d079bf39641fcaf87c1d1e57b898f prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=71 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_5a4f0589d1454d1fb23e63943c9ef937 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=72 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_d9bc5e2482eb48f4bad70940e87fe22a prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=73 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_e86860cc2462488d8c8454c9351f320d prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
