mono_s,power_w,sm_mhz,energy_mj
2510600.570,63.41,1050,56468634373
2510600.684,63.44,1050,56468640719
2510600.798,63.48,1050,56468647071
2510600.911,63.40,1050,56468653409
2510601.024,63.38,1050,56468659740
2510601.138,63.41,1050,56468666078
2510601.251,63.49,1050,56468672415
2510601.365,63.56,1050,56468685091
2510601.481,63.53,1050,56468691431
2510601.594,63.53,1050,56468697767
2510601.707,63.47,1050,56468704107
2510601.821,63.39,1050,56468710460
2510601.934,63.44,1050,56468716812
2510602.047,63.50,1050,56468723154
2510602.162,63.56,1050,56468735834
2510602.275,63.59,1050,56468742182
2510602.388,63.59,1050,56468748521
2510602.501,63.55,1050,56468754861
2510602.614,63.52,1050,56468761208
2510602.727,63.55,1050,56468767556
2510602.842,63.61,1050,56468773914
2510602.956,63.66,1050,56468780268
2510603.070,63.71,1050,56468792967
2510603.184,63.71,1050,56468799309
2510603.297,63.63,1050,56468805644
2510603.410,63.57,1050,56468811996
2510603.524,63.56,1050,56468818363
2510603.642,63.68,1050,56468824714
2510603.756,63.69,1050,56468831078
2510603.870,63.71,1050,56468843765
2510603.983,63.69,1050,56468850127
2510604.101,63.65,1050,56468856498
2510604.214,63.58,1050,56468862854
2510604.327,63.56,1050,56468869211
2510604.442,63.66,1050,56468875579
2510604.556,63.69,1050,56468881950
2510604.669,63.72,1050,56468894666
2510604.782,63.71,1050,56468901042
2510604.896,63.73,1050,56468907406
2510605.009,63.67,1050,56468913760
2510605.123,63.65,1050,56468920115
2510605.236,63.63,1050,56468926496
2510605.350,63.71,1050,56468932850
2510605.463,63.76,1050,56468945570
2510605.576,63.78,1050,56468951939
2510605.690,63.79,1050,56468958312
2510605.803,63.74,1050,56468964680
2510605.923,63.66,1050,56468971042
2510606.036,63.63,1050,56468977415
2510606.149,63.67,1050,56468983791
2510606.263,63.79,1050,56468996526
2510606.382,63.81,1050,56469002894
2510606.496,63.80,1050,56469009274
2510606.610,63.79,1050,56469015648
2510606.723,63.75,1050,56469022010
2510606.842,63.67,1050,56469028384
2510606.955,63.70,1050,56469034759
2510607.068,63.83,1050,56469047503
2510607.182,63.88,1050,56469054449
2510607.290,64.70,1050,56469061746
2510607.397,65.54,1050,56469069054
2510607.505,66.35,1050,56469076263
2510607.611,67.04,1050,56469083447
2510607.718,67.73,1050,56469090640
2510607.825,68.61,1050,56469097833
2510607.932,69.42,1050,56469105028
2510608.039,70.15,1050,56469112234
2510608.146,70.95,1005,56469119216
2510608.257,71.59,1050,56469126384
2510608.364,72.32,1050,56469140826
2510608.471,72.24,1050,56469148066
2510608.578,72.17,1050,56469155268
2510608.685,72.19,1050,56469162476
2510608.791,72.17,1035,56469169705
