unix_ns,monotonic_ns,event,client_request_id,internal_request_id,route_index,stage,upstream_url,http_status,bytes,prefill_http,decode_http,traceparent,error
1785486095793367782,1111465836897813,upstream_first_chunk,queue_pressure_5m-00695-19bada51f17f,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00695-19bada51f17f_a131449ca3564eff85d2d47e9d087c77,1775,decode,http://10.1.0.3:33023/v1/completions,200,380,,,00-0d5aad0081c3489983bb6f01b6fcb4d2-500beabb7a78411e-01,
1785486095795160321,1111465838690106,upstream_complete,queue_pressure_5m-00680-a16381f906d0,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00680-a16381f906d0_88eff05c72db4969957ea2659aecee60,1760,decode,http://10.1.0.3:33023/v1/completions,200,12607,,,00-39a4d9e368054de7b57b6407557ab98b-df5027ce8b764afe-01,
1785486095797947158,1111465841477163,proxy_complete,queue_pressure_5m-00680-a16381f906d0,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00680-a16381f906d0_88eff05c72db4969957ea2659aecee60,1760,,,,,10.1.0.6:32023,10.1.0.3:33023,00-39a4d9e368054de7b57b6407557ab98b-df5027ce8b764afe-01,
1785486095849836254,1111465893367094,upstream_first_chunk,queue_pressure_5m-00697-001be3832f39,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00697-001be3832f39_0a5e5edca9904c9786dad2ceb8b497e9,1777,prefill,http://10.1.0.6:32023/v1/completions,200,717,,,00-f2906491b74b42c8a9fdbd7593b76885-29dccacb1669456b-01,
1785486095853184287,1111465896715599,upstream_complete,queue_pressure_5m-00697-001be3832f39,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00697-001be3832f39_0a5e5edca9904c9786dad2ceb8b497e9,1777,prefill,http://10.1.0.6:32023/v1/completions,200,717,,,00-f2906491b74b42c8a9fdbd7593b76885-29dccacb1669456b-01,
1785486095855577051,1111465899107036,upstream_dispatch,queue_pressure_5m-00697-001be3832f39,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00697-001be3832f39_0a5e5edca9904c9786dad2ceb8b497e9,1777,decode,http://10.1.0.3:33023/v1/completions,,,,,00-f2906491b74b42c8a9fdbd7593b76885-29dccacb1669456b-01,
1785486095864748793,1111465908279278,upstream_headers,queue_pressure_5m-00697-001be3832f39,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00697-001be3832f39_0a5e5edca9904c9786dad2ceb8b497e9,1777,decode,http://10.1.0.3:33023/v1/completions,200,,,,00-f2906491b74b42c8a9fdbd7593b76885-29dccacb1669456b-01,
1785486095903675872,1111465947206287,proxy_arrival,queue_pressure_5m-00698-200ae4615e68,,,,,,,,,00-77a85a873b3445439e5db6dcab955b32-053fe4e54c4d4707-01,
1785486095905447119,1111465948977093,proxy_route,queue_pressure_5m-00698-200ae4615e68,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00698-200ae4615e68_9df0d386e94e460d8ceb761c72e99a93,1778,,,,,10.1.0.6:32023,10.1.0.3:33023,00-77a85a873b3445439e5db6dcab955b32-053fe4e54c4d4707-01,
1785486095906782585,1111465950312222,upstream_dispatch,queue_pressure_5m-00698-200ae4615e68,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00698-200ae4615e68_9df0d386e94e460d8ceb761c72e99a93,1778,prefill,http://10.1.0.6:32023/v1/completions,,,,,00-77a85a873b3445439e5db6dcab955b32-053fe4e54c4d4707-01,
1785486095914204946,1111465957735108,upstream_headers,queue_pressure_5m-00698-200ae4615e68,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00698-200ae4615e68_9df0d386e94e460d8ceb761c72e99a93,1778,prefill,http://10.1.0.6:32023/v1/completions,200,,,,00-77a85a873b3445439e5db6dcab955b32-053fe4e54c4d4707-01,
1785486095917077253,1111465960606903,upstream_first_chunk,queue_pressure_5m-00696-500cf18db2e9,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00696-500cf18db2e9_0e3f0f58b5064d85b0a0aa8e3ca5ddac,1776,decode,http://10.1.0.3:33023/v1/completions,200,381,,,00-450baacd4646470288d9debe2d3e815c-920fc837d6914d5f-01,
1785486095918706819,1111465962236468,upstream_complete,queue_pressure_5m-00681-f7c7ba0362f8,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00681-f7c7ba0362f8_30d30bfa842e4fe893f5d267f11045dc,1761,decode,http://10.1.0.3:33023/v1/completions,200,12560,,,00-f0a8f40aa9844c44920399cb3e2f686a-a74c4d5ba7b54744-01,
1785486095921120707,1111465964650446,proxy_complete,queue_pressure_5m-00681-f7c7ba0362f8,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00681-f7c7ba0362f8_30d30bfa842e4fe893f5d267f11045dc,1761,,,,,10.1.0.6:32023,10.1.0.3:33023,00-f0a8f40aa9844c44920399cb3e2f686a-a74c4d5ba7b54744-01,
1785486095979392822,1111466022923412,upstream_first_chunk,queue_pressure_5m-00698-200ae4615e68,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00698-200ae4615e68_9df0d386e94e460d8ceb761c72e99a93,1778,prefill,http://10.1.0.6:32023/v1/completions,200,716,,,00-77a85a873b3445439e5db6dcab955b32-053fe4e54c4d4707-01,
1785486095982856419,1111466026386821,upstream_complete,queue_pressure_5m-00698-200ae4615e68,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00698-200ae4615e68_9df0d386e94e460d8ceb761c72e99a93,1778,prefill,http://10.1.0.6:32023/v1/completions,200,716,,,00-77a85a873b3445439e5db6dcab955b32-053fe4e54c4d4707-01,
1785486095986378208,1111466029907981,upstream_dispatch,queue_pressure_5m-00698-200ae4615e68,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00698-200ae4615e68_9df0d386e94e460d8ceb761c72e99a93,1778,decode,http://10.1.0.3:33023/v1/completions,,,,,00-77a85a873b3445439e5db6dcab955b32-053fe4e54c4d4707-01,
1785486095992925067,1111466036455502,upstream_headers,queue_pressure_5m-00698-200ae4615e68,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00698-200ae4615e68_9df0d386e94e460d8ceb761c72e99a93,1778,decode,http://10.1.0.3:33023/v1/completions,200,,,,00-77a85a873b3445439e5db6dcab955b32-053fe4e54c4d4707-01,
1785486096027771583,1111466071302114,proxy_arrival,queue_pressure_5m-00699-1ea46f8f7a98,,,,,,,,,00-12bc0af938db46bdb6816d753b0c2cbf-27367a8b796047aa-01,
1785486096029652838,1111466073183282,proxy_route,queue_pressure_5m-00699-1ea46f8f7a98,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00699-1ea46f8f7a98_625ef42dc480423eae06ce59d202b0c3,1779,,,,,10.1.0.6:32023,10.1.0.3:33023,00-12bc0af938db46bdb6816d753b0c2cbf-27367a8b796047aa-01,
1785486096031328915,1111466074858747,upstream_dispatch,queue_pressure_5m-00699-1ea46f8f7a98,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00699-1ea46f8f7a98_625ef42dc480423eae06ce59d202b0c3,1779,prefill,http://10.1.0.6:32023/v1/completions,,,,,00-12bc0af938db46bdb6816d753b0c2cbf-27367a8b796047aa-01,
1785486096037673635,1111466081203500,upstream_first_chunk,queue_pressure_5m-00697-001be3832f39,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00697-001be3832f39_0a5e5edca9904c9786dad2ceb8b497e9,1777,decode,http://10.1.0.3:33023/v1/completions,200,382,,,00-f2906491b74b42c8a9fdbd7593b76885-29dccacb1669456b-01,
1785486096039703365,1111466083233225,upstream_complete,queue_pressure_5m-00682-9e23ef9b74ba,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00682-9e23ef9b74ba_e85e8a9b5b56431b8d39f535a42c7d36,1762,decode,http://10.1.0.3:33023/v1/completions,200,12575,,,00-27530de5227d44c9a3ece0f346d9961a-d022fe8cf6754ae2-01,
1785486096041694591,1111466085224943,upstream_headers,queue_pressure_5m-00699-1ea46f8f7a98,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00699-1ea46f8f7a98_625ef42dc480423eae06ce59d202b0c3,1779,prefill,http://10.1.0.6:32023/v1/completions,200,,,,00-12bc0af938db46bdb6816d753b0c2cbf-27367a8b796047aa-01,
1785486096043237741,1111466086767589,proxy_complete,queue_pressure_5m-00682-9e23ef9b74ba,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00682-9e23ef9b74ba_e85e8a9b5b56431b8d39f535a42c7d36,1762,,,,,10.1.0.6:32023,10.1.0.3:33023,00-27530de5227d44c9a3ece0f346d9961a-d022fe8cf6754ae2-01,
1785486096102961154,1111466146491819,upstream_first_chunk,queue_pressure_5m-00699-1ea46f8f7a98,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00699-1ea46f8f7a98_625ef42dc480423eae06ce59d202b0c3,1779,prefill,http://10.1.0.6:32023/v1/completions,200,716,,,00-12bc0af938db46bdb6816d753b0c2cbf-27367a8b796047aa-01,
1785486096106820801,1111466150352048,upstream_complete,queue_pressure_5m-00699-1ea46f8f7a98,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00699-1ea46f8f7a98_625ef42dc480423eae06ce59d202b0c3,1779,prefill,http://10.1.0.6:32023/v1/completions,200,716,,,00-12bc0af938db46bdb6816d753b0c2cbf-27367a8b796047aa-01,
1785486096110929748,1111466154459706,upstream_dispatch,queue_pressure_5m-00699-1ea46f8f7a98,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00699-1ea46f8f7a98_625ef42dc480423eae06ce59d202b0c3,1779,decode,http://10.1.0.3:33023/v1/completions,,,,,00-12bc0af938db46bdb6816d753b0c2cbf-27367a8b796047aa-01,
1785486096118535603,1111466162065879,upstream_headers,queue_pressure_5m-00699-1ea46f8f7a98,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00699-1ea46f8f7a98_625ef42dc480423eae06ce59d202b0c3,1779,decode,http://10.1.0.3:33023/v1/completions,200,,,,00-12bc0af938db46bdb6816d753b0c2cbf-27367a8b796047aa-01,
1785486096153660183,1111466197190764,proxy_arrival,queue_pressure_5m-00700-798a6625bf54,,,,,,,,,00-6d8162d0008f4fa0b61356171dda85ec-f401f891e7ff4a8d-01,
1785486096156153163,1111466199683560,proxy_route,queue_pressure_5m-00700-798a6625bf54,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00700-798a6625bf54_133924e74e4547ac957a8a327d7046cd,1780,,,,,10.1.0.6:32023,10.1.0.3:33023,00-6d8162d0008f4fa0b61356171dda85ec-f401f891e7ff4a8d-01,
1785486096157507832,1111466201037597,upstream_dispatch,queue_pressure_5m-00700-798a6625bf54,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00700-798a6625bf54_133924e74e4547ac957a8a327d7046cd,1780,prefill,http://10.1.0.6:32023/v1/completions,,,,,00-6d8162d0008f4fa0b61356171dda85ec-f401f891e7ff4a8d-01,
1785486096161418377,1111466204948502,upstream_first_chunk,queue_pressure_5m-00698-200ae4615e68,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00698-200ae4615e68_9df0d386e94e460d8ceb761c72e99a93,1778,decode,http://10.1.0.3:33023/v1/completions,200,381,,,00-77a85a873b3445439e5db6dcab955b32-053fe4e54c4d4707-01,
1785486096163075295,1111466206605000,upstream_complete,queue_pressure_5m-00683-b1880c5a78db,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00683-b1880c5a78db_2503ee8944304ac1a4efdc18cf1721a6,1763,decode,http://10.1.0.3:33023/v1/completions,200,12546,,,00-39415917d09f4ec9aaf56c91e7166bb1-2050450a9a314f94-01,
1785486096165176293,1111466208706351,upstream_headers,queue_pressure_5m-00700-798a6625bf54,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00700-798a6625bf54_133924e74e4547ac957a8a327d7046cd,1780,prefill,http://10.1.0.6:32023/v1/completions,200,,,,00-6d8162d0008f4fa0b61356171dda85ec-f401f891e7ff4a8d-01,
