window_id,request_index,request_id,trace_id,client_span_id,planned_send_unix_ns,client_ready_unix_ns,actual_send_unix_ns,response_headers_unix_ns,first_token_unix_ns,completed_unix_ns,planned_to_ready_ms,client_queue_delay_ms,send_lag_ms,ttft_ms,tpot_ms,e2e_ms,planned_input_tokens,actual_input_tokens,max_tokens,actual_output_tokens,token_event_count,http_status,response_request_id,outcome,timeout,cancelled,retry_count,attempt_count,response_bytes,error
baseline_3m,25,baseline_3m-00025-cf82e4acb99c,446a8bbbcfb149afb7fd8274e350ede0,2f53afdac77b46bb,1785485267739084129,1785485267739590629,1785485267742986940,1785485267829068114,1785485267982750999,1785485269773312243,0.5065,3.396311,3.902811,239.764059,57.760040129032255,2030.325303,32,32,32,32,32,200,baseline_3m-00025-cf82e4acb99c,success,False,False,0,1,12419,
baseline_3m,26,baseline_3m-00026-bf17d8c34f4c,a7f365805a2a4a16be2750715d7fa36b,5e1fecbc428e4ffb,1785485268739084129,1785485268739975853,1785485268743876212,1785485268834453536,1785485269019794260,1785485270808871857,0.891724,3.900359,4.792083,275.918048,57.712180548387096,2064.995645,32,32,32,32,32,200,baseline_3m-00026-bf17d8c34f4c,success,False,False,0,1,12371,
baseline_3m,27,baseline_3m-00027-ce9740a2b3bf,e2a8b0173dda47a5a1e13fa6c9d29697,182fea5676ab4c00,1785485269739084129,1785485269739405022,1785485269742814718,1785485269830895973,1785485270003069407,1785485271793934910,0.320893,3.409696,3.730589,260.254689,57.76985493548387,2051.120192,32,32,32,32,32,200,baseline_3m-00027-ce9740a2b3bf,success,False,False,0,1,12373,
baseline_3m,28,baseline_3m-00028-387d6f0bd54a,20d8f2aed7dd40889752e7afde41a7f9,e3028e1332e44dc2,1785485270739084129,1785485270739685363,1785485270743638363,1785485270832366140,1785485270981705312,1785485272769803144,0.601234,3.953,4.554234,238.066949,57.68057522580645,2026.164781,32,32,32,32,32,200,baseline_3m-00028-387d6f0bd54a,success,False,False,0,1,12314,
baseline_3m,29,baseline_3m-00029-dfdb734b6d03,e5c894994e9c4104b5a5fdbf83ff8d01,cad3fa62be6349f3,1785485271739084129,1785485271739950462,1785485271744119696,1785485271839141084,1785485272018187699,1785485273809806590,0.866333,4.169234,5.035567,274.068003,57.79415777419355,2065.686894,32,32,32,32,32,200,baseline_3m-00029-dfdb734b6d03,success,False,False,0,1,12362,
baseline_3m,30,baseline_3m-00030-66ccd6e947b4,3864a2bd3d6042db9405e00d0f42d619,37689723a22f4eee,1785485272739084129,1785485272739807471,1785485272743786683,1785485272846835915,1785485272996724390,1785485274791004692,0.723342,3.979212,4.702554,252.937707,57.88000974193548,2047.218009,32,32,32,32,32,200,baseline_3m-00030-66ccd6e947b4,success,False,False,0,1,12401,
baseline_3m,31,baseline_3m-00031-5215ab0d4f69,b7a40f1029bd443aad5d7130b9c46368,b23f6e980cda43f3,1785485273739084129,1785485273739513730,1785485273743385846,1785485273858976517,1785485274034700446,1785485275822284277,0.429601,3.872116,4.301717,291.3146,57.663994548387095,2078.898431,32,32,32,32,32,200,baseline_3m-00031-5215ab0d4f69,success,False,False,0,1,12390,
baseline_3m,32,baseline_3m-00032-e0ca29ce48d9,cb5f85fd57564f5f84b50d85b42a7048,e33b61f1dd6447aa,1785485274739084129,1785485274740140078,1785485274743546145,1785485274834891262,1785485275016173066,1785485276808685667,1.055949,3.406067,4.462016,272.626921,57.822987129032256,2065.139522,32,32,32,32,32,200,baseline_3m-00032-e0ca29ce48d9,success,False,False,0,1,12395,
baseline_3m,33,baseline_3m-00033-2dac515a995c,a838bc8b32b04abeb289c7bbfe643cca,c94b34b7a4d342bf,1785485275739084129,1785485275739567693,1785485275743629983,1785485275831168056,1785485275996859673,1785485277789496817,0.483564,4.06229,4.545854,253.22969,57.82700464516129,2045.866834,32,32,32,32,32,200,baseline_3m-00033-2dac515a995c,success,False,False,0,1,12386,
baseline_3m,34,baseline_3m-00034-fea875aa3633,80dbbc20dd6d45f1aebbdf14372ae6a5,1db8816078854360,1785485276739084129,1785485276739924971,1785485276743939205,1785485276843728201,1785485276978553469,1785485278771867134,0.840842,4.014234,4.855076,234.614264,57.8488279032258,2027.927929,32,32,32,32,32,200,baseline_3m-00034-fea875aa3633,success,False,False,0,1,12345,
