unix_ns,monotonic_ns,window_id,request_id,attempt,event,http_status,detail
1785485899048021062,1111269091551059,mixed_3m,mixed_3m-00168-7efa1f59841a,0,semaphore_acquired,,
1785485899050916743,1111269094446628,mixed_3m,mixed_3m-00168-7efa1f59841a,1,attempt_send,,
1785485899208700553,1111269252230492,mixed_3m,mixed_3m-00168-7efa1f59841a,1,response_headers,200,response_request_id=mixed_3m-00168-7efa1f59841a
1785485899344265817,1111269387795736,mixed_3m,mixed_3m-00147-38eea5ba04a0,1,request_complete,200,
1785485899408461635,1111269451991716,mixed_3m,mixed_3m-00168-7efa1f59841a,1,first_token,,
1785485899544413357,1111269587943376,mixed_3m,mixed_3m-00169-42f4945ba7e0,0,client_ready,,
1785485899548325294,1111269591855302,mixed_3m,mixed_3m-00169-42f4945ba7e0,0,semaphore_acquired,,
1785485899551273411,1111269594803713,mixed_3m,mixed_3m-00169-42f4945ba7e0,1,attempt_send,,
1785485899718360108,1111269761890127,mixed_3m,mixed_3m-00169-42f4945ba7e0,1,response_headers,200,response_request_id=mixed_3m-00169-42f4945ba7e0
1785485899827013787,1111269870543954,mixed_3m,mixed_3m-00148-be312c0809d2,1,request_complete,200,
1785485899979750073,1111270023280215,mixed_3m,mixed_3m-00169-42f4945ba7e0,1,first_token,,
1785485900044319031,1111270087848916,mixed_3m,mixed_3m-00170-8cb91d1560c0,0,client_ready,,
1785485900048011794,1111270091541776,mixed_3m,mixed_3m-00170-8cb91d1560c0,0,semaphore_acquired,,
1785485900050924985,1111270094454865,mixed_3m,mixed_3m-00170-8cb91d1560c0,1,attempt_send,,
1785485900230705220,1111270274235139,mixed_3m,mixed_3m-00170-8cb91d1560c0,1,response_headers,200,response_request_id=mixed_3m-00170-8cb91d1560c0
1785485900409796484,1111270453326613,mixed_3m,mixed_3m-00149-b971c978234f,1,request_complete,200,
1785485900474844766,1111270518374868,mixed_3m,mixed_3m-00170-8cb91d1560c0,1,first_token,,
1785485900544457318,1111270587987373,mixed_3m,mixed_3m-00171-7c6247fef551,0,client_ready,,
1785485900547564593,1111270591094642,mixed_3m,mixed_3m-00171-7c6247fef551,0,semaphore_acquired,,
1785485900550195097,1111270593725249,mixed_3m,mixed_3m-00171-7c6247fef551,1,attempt_send,,
1785485900733268809,1111270776798826,mixed_3m,mixed_3m-00171-7c6247fef551,1,response_headers,200,response_request_id=mixed_3m-00171-7c6247fef551
1785485900903096421,1111270946626469,mixed_3m,mixed_3m-00150-025bd870f8c6,1,request_complete,200,
1785485900964714206,1111271008244275,mixed_3m,mixed_3m-00171-7c6247fef551,1,first_token,,
1785485901044142573,1111271087672908,mixed_3m,mixed_3m-00172-86b750728127,0,client_ready,,
1785485901047392157,1111271090922289,mixed_3m,mixed_3m-00172-86b750728127,0,semaphore_acquired,,
1785485901050067578,1111271093597383,mixed_3m,mixed_3m-00172-86b750728127,1,attempt_send,,
1785485901215288852,1111271258818710,mixed_3m,mixed_3m-00172-86b750728127,1,response_headers,200,response_request_id=mixed_3m-00172-86b750728127
