gpu_type,phase,slo_ms,sample_idx,target,p_violate_oof,rho_phase_oof,actual_unsafe
l40s,prefill,200,27,p99_ttft,0.2099871066100588,0.062437650560488084,0
l40s,prefill,200,28,p99_ttft,0.8361215709762339,0.6243765056048808,1
l40s,prefill,200,29,p99_ttft,0.9851709186128917,3.121882528024404,1
l40s,prefill,200,30,p99_ttft,0.28529597760169007,0.1057079849358587,0
l40s,prefill,200,31,p99_ttft,0.9787936327415873,1.057079849358587,1
l40s,prefill,200,32,p99_ttft,0.9841861734097987,5.285399246792935,1
l40s,prefill,200,33,p99_ttft,0.7502300817277348,0.19159044224437136,0
l40s,prefill,200,34,p99_ttft,0.9812462400645013,1.9159044224437136,1
l40s,prefill,200,35,p99_ttft,0.9812462400645013,9.579522112218568,1
l40s,prefill,200,36,p99_ttft,0.7423169189959562,0.08389625978079093,1
l40s,prefill,200,37,p99_ttft,0.9889503684643031,0.8389625978079093,1
l40s,prefill,200,38,p99_ttft,0.9927310080064937,4.194812989039547,1
l40s,prefill,200,39,p99_ttft,0.9785000091318194,0.13558093261723303,1
l40s,prefill,200,40,p99_ttft,0.9875287957363518,1.3558093261723305,1
l40s,prefill,200,41,p99_ttft,0.9933537433124966,6.779046630861652,1
l40s,prefill,200,42,p99_ttft,0.9898740625351072,0.2727942760958204,1
l40s,prefill,200,43,p99_ttft,0.9885121607105364,2.727942760958204,1
l40s,prefill,200,44,p99_ttft,0.9927575181245725,13.63971380479102,1
l40s,prefill,200,45,p99_ttft,0.9945723421388034,0.5160438891438035,1
l40s,prefill,200,46,p99_ttft,0.9941706798589346,5.1604388914380355,1
l40s,prefill,200,47,p99_ttft,0.9941706798589346,25.802194457190176,1
l40s,prefill,200,48,p99_ttft,0.9881740713122602,0.15912287728107044,1
l40s,prefill,200,49,p99_ttft,0.9937162183381597,1.5912287728107044,1
l40s,prefill,200,50,p99_ttft,0.9933417735122361,7.956143864053522,1
l40s,prefill,200,51,p99_ttft,0.9912011099284451,0.2821270117339914,1
l40s,prefill,200,52,p99_ttft,0.996740519258694,2.821270117339914,1
l40s,prefill,200,53,p99_ttft,0.996740519258694,14.10635058669957,1
l40s,prefill,200,54,p99_ttft,0.9980626403149505,0.5871071584346648,1
l40s,prefill,200,55,p99_ttft,0.9823370213341784,5.871071584346648,1
l40s,prefill,200,56,p99_ttft,0.9888386490802297,29.355357921733237,1
l40s,prefill,200,57,p99_ttft,0.9990290586366133,1.026537885100109,1
l40s,prefill,200,58,p99_ttft,0.9973652360210793,10.26537885100109,1
l40s,prefill,200,59,p99_ttft,0.9980446611170422,51.32689425500545,1
l40s,prefill,200,60,p99_ttft,0.01342235246308087,0.0452725663019745,0
l40s,prefill,200,61,p99_ttft,0.9694651921624566,0.45272566301974504,0
l40s,prefill,200,62,p99_ttft,0.28529597760169007,0.1057079849358587,0
l40s,prefill,200,63,p99_ttft,0.9787936327415873,1.057079849358587,1
l40s,prefill,200,64,p99_ttft,0.9785000091318194,0.13558093261723303,1
l40s,prefill,200,65,p99_ttft,0.9875287957363518,1.3558093261723305,1
l40s,prefill,200,66,p99_ttft,0.9881740713122602,0.15912287728107044,1
l40s,prefill,200,67,p99_ttft,0.9937162183381597,1.5912287728107044,1
l40s,prefill,200,68,p99_ttft,0.004238664024088052,0.026499151785867443,0
l40s,prefill,200,69,p99_ttft,0.1341703672031846,0.2649915178586744,0
l40s,prefill,200,70,p99_ttft,0.010579252084822134,0.07499569941308222,0
l40s,prefill,200,71,p99_ttft,0.4458791567233898,0.7499569941308222,0
l40s,prefill,200,72,p99_ttft,0.859090191577332,0.14188291936088104,0
l40s,prefill,200,73,p99_ttft,0.8082706758414558,1.4188291936088104,1
l40s,prefill,200,74,p99_ttft,0.9298009092609475,0.1438437724886127,1
l40s,prefill,200,75,p99_ttft,0.7488654964251338,1.4384377248861269,1
l40s,prefill,200,76,p99_ttft,0.0008783796577738602,0.021630261589175866,0
l40s,prefill,200,77,p99_ttft,0.019573163054158373,0.21630261589175867,0
l40s,prefill,200,78,p99_ttft,0.0024560863247322052,0.05831194478713063,0
l40s,prefill,200,79,p99_ttft,0.08763408745277411,0.5831194478713063,0
l40s,prefill,200,80,p99_ttft,0.026340211774571142,0.08547760611465531,0
l40s,prefill,200,81,p99_ttft,0.07436807112756806,0.8547760611465531,0
l40s,prefill,200,82,p99_ttft,0.3701666170369548,0.10593288788320532,0
l40s,prefill,200,83,p99_ttft,0.20034191312848182,1.0593288788320532,0
l40s,prefill,200,84,p99_ttft,0.9965644422266677,0.47774322150327936,1
l40s,prefill,200,85,p99_ttft,0.9996651824226067,1.3092399396434629,1
l40s,prefill,200,86,p99_ttft,0.9994920232689268,1.055917473561924,1
l40s,prefill,200,87,p99_ttft,0.9998924406712413,1.3394595863924434,1
l40s,prefill,200,88,p99_ttft,0.9958610631005423,1.3062796678838016,1
l40s,prefill,200,89,p99_ttft,0.9922162412014008,3.1628873557652484,1
