unix_ns,monotonic_ns,window_id,request_id,attempt,event,http_status,detail
1785490327495750549,1115697539280404,baseline_3m,baseline_3m-00019-2d27eeec2492,0,client_ready,,
1785490327499773092,1115697543303229,baseline_3m,baseline_3m-00019-2d27eeec2492,0,semaphore_acquired,,
1785490327502112481,1115697545642635,baseline_3m,baseline_3m-00019-2d27eeec2492,1,attempt_send,,
1785490327535384804,1115697578915229,baseline_3m,baseline_3m-00017-a7da2b62b350,1,request_complete,200,
1785490327598770721,1115697642300718,baseline_3m,baseline_3m-00019-2d27eeec2492,1,response_headers,200,response_request_id=baseline_3m-00019-2d27eeec2492
1785490327755852546,1115697799382404,baseline_3m,baseline_3m-00019-2d27eeec2492,1,first_token,,
1785490328496155322,1115698539685250,baseline_3m,baseline_3m-00020-cc6f966e13b9,0,client_ready,,
1785490328499642189,1115698543172216,baseline_3m,baseline_3m-00020-cc6f966e13b9,0,semaphore_acquired,,
1785490328501409556,1115698544939054,baseline_3m,baseline_3m-00020-cc6f966e13b9,1,attempt_send,,
1785490328573790334,1115698617320611,baseline_3m,baseline_3m-00018-aa9726007bd2,1,request_complete,200,
1785490328602907562,1115698646437394,baseline_3m,baseline_3m-00020-cc6f966e13b9,1,response_headers,200,response_request_id=baseline_3m-00020-cc6f966e13b9
1785490328736574834,1115698780104739,baseline_3m,baseline_3m-00020-cc6f966e13b9,1,first_token,,
1785490329495337312,1115699538867357,baseline_3m,baseline_3m-00021-b2d762ae3fd3,0,client_ready,,
1785490329498940235,1115699542470214,baseline_3m,baseline_3m-00021-b2d762ae3fd3,0,semaphore_acquired,,
1785490329500972218,1115699544502409,baseline_3m,baseline_3m-00021-b2d762ae3fd3,1,attempt_send,,
1785490329556374582,1115699599905043,baseline_3m,baseline_3m-00019-2d27eeec2492,1,request_complete,200,
1785490329590885938,1115699634415706,baseline_3m,baseline_3m-00021-b2d762ae3fd3,1,response_headers,200,response_request_id=baseline_3m-00021-b2d762ae3fd3
1785490329774656275,1115699818186142,baseline_3m,baseline_3m-00021-b2d762ae3fd3,1,first_token,,
1785490330496061705,1115700539591510,baseline_3m,baseline_3m-00022-e686ad411dd5,0,client_ready,,
1785490330499919029,1115700543449174,baseline_3m,baseline_3m-00022-e686ad411dd5,0,semaphore_acquired,,
1785490330502333831,1115700545863630,baseline_3m,baseline_3m-00022-e686ad411dd5,1,attempt_send,,
