phase,freq_mhz,input_len,burst_size,rep,send_mono_s,status,error,ttft_ms,tpot_ms,tokens,latency_ms,rank,burst_energy_j,burst_duration_ms
bursts_k1,2520,2048,8,3,1867812.465221063,ok,,927.0023149438202,,1,927.0364609546959,4,435.416,1250.5910631734878
bursts_k1,2520,2048,8,3,1867812.465465774,ok,,926.6245500184596,,1,926.6857060138136,5,435.416,1250.5910631734878
bursts_k1,2520,2048,8,3,1867812.465698622,ok,,1248.7709829583764,,1,1248.7999121658504,6,435.416,1250.5910631734878
bursts_k1,2520,2048,8,3,1867812.465944463,ok,,1248.5864381305873,,1,1248.601355124265,7,435.416,1250.5910631734878
bursts_k1,2520,128,1,3,1867814.245030047,ok,,35.55168700404465,,1,35.59109219349921,0,0.0,35.775096854195
bursts_k1,2520,2048,2,1,1867814.803084415,ok,,155.33054899424314,,1,155.4013821296394,0,113.886,301.1516460683197
bursts_k1,2520,2048,2,1,1867814.803609072,ok,,300.47679296694696,,1,300.4999770782888,1,113.886,301.1516460683197
bursts_k1,2520,2048,8,1,1867815.64718747,ok,,323.2209349516779,,1,323.28261411748827,0,438.92,1251.9488090183586
bursts_k1,2520,2048,8,1,1867815.648134369,ok,,321.9563739839941,,1,322.04148010350764,1,438.92,1251.9488090183586
bursts_k1,2520,2048,8,1,1867815.648870323,ok,,624.4361428543925,,1,624.5049380231649,2,438.92,1251.9488090183586
bursts_k1,2520,2048,8,1,1867815.649514758,ok,,623.9516199566424,,1,623.99305193685,3,438.92,1251.9488090183586
bursts_k1,2520,2048,8,1,1867815.650097476,ok,,927.5500359944999,,1,927.5887878611684,4,438.92,1251.9488090183586
bursts_k1,2520,2048,8,1,1867815.650719051,ok,,926.7752119340003,,1,926.8446380738169,5,438.92,1251.9488090183586
bursts_k1,2520,2048,8,1,1867815.651321433,ok,,1247.4160240963101,,1,1247.4560800474137,6,438.92,1251.9488090183586
bursts_k1,2520,2048,8,1,1867815.651913797,ok,,1246.6693380847573,,1,1246.738419868052,7,438.92,1251.9488090183586
bursts_k1,2520,2048,1,4,1867817.430273764,ok,,150.96228197216988,,1,151.04748983867466,0,30.505,151.27074508927763
bursts_k1,2520,1024,2,1,1867818.107865605,ok,,85.51391190849245,,1,85.58461698703468,0,32.745,160.65738699398935
bursts_k1,2520,1024,2,1,1867818.10856717,ok,,159.65891280211508,,1,159.72624882124364,1,32.745,160.65738699398935
bursts_k1,2520,1024,4,0,1867818.792465204,ok,,89.82278313487768,,1,89.8942300118506,0,114.493,305.2657910156995
bursts_k1,2520,1024,4,0,1867818.792999876,ok,,304.22970093786716,,1,304.29796501994133,1,114.493,305.2657910156995
bursts_k1,2520,1024,4,0,1867818.793393665,ok,,304.0794041007757,,1,304.11278805695474,2,114.493,305.2657910156995
bursts_k1,2520,1024,4,0,1867818.793735073,ok,,303.64235304296017,,1,303.6808171309531,3,114.493,305.2657910156995
