request_id,workload_id,input_len,requested_output_len,observed_output_tokens,prefill_endpoint_id,decode_endpoint_id,ttft_ms,tpot_ms,client_observed_ttft_ms,client_observed_tpot_ms,mean_itl_ms,e2e_latency_ms,prefill_latency_ms,decode_stream_latency_ms,real_sse,logical_request_id_propagated
phase3c-xpyd_power_compare_optimized_256656-0010,small_light,128,64,64,P1,D1,205.9857239946723,57.158636380105264,213.57178001198918,57.164152572301056,57.15945071452076,3814.9133920669556,129.8334429739043,3676.8818269483745,True,True
phase3c-xpyd_power_compare_optimized_256656-0011,small_light,128,64,64,P1,D1,207.1983750211075,57.151218318188235,214.98841501306742,57.15480390455692,57.150874318303686,3815.7410610001534,129.62604104541242,3677.7844140306115,True,True
phase3c-xpyd_power_compare_optimized_256656-0012,small_light,128,64,64,P1,D1,204.4617380015552,57.16666296708383,211.45065303426236,57.17390992065212,57.16921955472716,3813.4069780353457,128.39716603048146,3677.2964670090005,True,True
phase3c-xpyd_power_compare_optimized_256656-0013,small_light,128,64,64,P1,D1,206.99274190701544,57.16465557149301,214.66080099344254,57.17016823796762,57.16547918956845,3816.381399985403,130.77681709546596,3677.311786916107,True,True
phase3c-xpyd_power_compare_optimized_256656-0014,small_light,128,64,64,P1,D1,206.96378406137228,57.16669325354613,215.79672303050756,57.17219303118154,57.16794642752835,3817.6448839949444,130.44730597175658,3677.696009981446,True,True
phase3c-xpyd_power_compare_optimized_256656-0015,small_light,128,64,64,P1,D1,206.20545803103596,57.16139590367675,213.73572992160916,57.16633955608049,57.16234809600763,3815.2151219546795,130.37892198190093,3676.6865079989657,True,True
phase3c-xpyd_power_compare_optimized_256656-0016,small_light,128,64,64,P1,D1,207.70548400469124,57.16448660296876,215.16975201666355,57.16909987238488,57.16421490439051,3816.8230439769104,129.97212901245803,3678.836600971408,True,True
phase3c-xpyd_power_compare_optimized_256656-0017,small_light,128,64,64,P1,D1,210.81765298731625,57.15720368260961,222.2512000007555,57.16622049092419,57.15976244333895,3823.723090928979,133.22204898577183,3677.838627016172,True,True
phase3c-xpyd_power_compare_optimized_256656-0018,small_light,128,64,64,P1,D1,206.59703703131527,57.15892317387024,214.96134798508137,57.161456428556924,57.15743044487363,3816.1331029841676,129.61868999991566,3677.7068979572505,True,True
phase3c-xpyd_power_compare_optimized_256656-0019,small_light,128,64,64,P1,D1,207.4954699492082,57.15927877832973,214.92796204984188,57.16237625373261,57.15818968158038,3816.1576660349965,130.6977850617841,3677.564884070307,True,True
phase3c-xpyd_power_compare_optimized_256656-0020,small_light,128,64,64,P1,D1,207.40532502532005,57.16118828526565,216.6716679930687,57.16660363592266,57.16249533367181,3818.1676970561966,130.66977506969124,3677.5671059731394,True,True
phase3c-xpyd_power_compare_optimized_256656-0021,small_light,128,64,64,P1,D1,206.2699409434572,57.15736446140836,213.99267693050206,57.16329062032321,57.15907953997394,3815.2799860108644,130.21851296070963,3676.6991449985653,True,True
phase3c-xpyd_power_compare_optimized_256656-0022,small_light,128,64,64,P1,D1,205.65179793629795,57.15702119142941,213.21560093201697,57.166999841611535,57.162405523870675,3814.736590953544,128.32716503180563,3677.8959670336917,True,True
phase3c-xpyd_power_compare_optimized_256656-0023,small_light,128,64,64,P1,D1,212.53841707948595,57.15082698346426,220.01761093270034,57.154167127529426,57.149643239210405,3820.730139967054,134.30667202919722,3678.455190965906,True,True
phase3c-xpyd_power_compare_optimized_256656-0024,small_light,128,64,64,P1,D1,209.18253203853965,57.15590573122932,218.16026093438268,57.15854014343922,57.15426396844642,3819.1482899710536,131.51798595208675,3678.196508088149,True,True
phase3c-xpyd_power_compare_optimized_256656-0025,small_light,128,64,64,P1,D1,207.420785096474,57.158165031097944,216.29983093589544,57.16162092155881,57.15733917526132,3817.4819489941,131.11596496310085,3676.9965740386397,True,True
phase3c-xpyd_power_compare_optimized_256656-0026,small_light,128,64,64,P1,D1,207.21799705643207,57.15765272976742,216.55591309536248,57.1609032377305,57.15657876146632,3817.692817072384,129.6860669972375,3678.173089050688,True,True
phase3c-xpyd_power_compare_optimized_256656-0027,small_light,128,64,64,P1,D1,209.40491603687406,57.158971096329864,217.48585300520062,57.16242876073848,57.1575864746664,3818.718864931725,131.64543802849948,3678.4652430796996,True,True
