path	size_bytes	mtime_unix_s
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000022_after.prom	87930	1788168482.666884
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/capability.json	906	1788168431.485903
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/monitor.log	132	1788168432.451902
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/samples.jsonl	280281	1788168482.709884
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/stop.requested	5	1788168482.671885
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/raw_metrics/000001_before.prom	85844	1788168462.054892
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/raw_metrics/000002_periodic.prom	85844	1788168462.212892
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/raw_metrics/000003_periodic.prom	85844	1788168463.160892
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/raw_metrics/000004_periodic.prom	85844	1788168464.214891
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/raw_metrics/000005_periodic.prom	85844	1788168465.229891
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/raw_metrics/000006_periodic.prom	85857	1788168466.225890
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/raw_metrics/000007_periodic.prom	85844	1788168467.229890
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/raw_metrics/000008_periodic.prom	85844	1788168468.210890
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/raw_metrics/000009_periodic.prom	85844	1788168469.192889
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/raw_metrics/000010_periodic.prom	85844	1788168470.200889
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/raw_metrics/000011_periodic.prom	85844	1788168471.172889
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/raw_metrics/000012_periodic.prom	85844	1788168472.197888
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/raw_metrics/000013_periodic.prom	85843	1788168473.203888
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/raw_metrics/000014_periodic.prom	87941	1788168474.198888
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/raw_metrics/000015_periodic.prom	87927	1788168475.207887
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/raw_metrics/000016_periodic.prom	87926	1788168476.188887
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/raw_metrics/000017_periodic.prom	87926	1788168477.199887
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/raw_metrics/000018_periodic.prom	87929	1788168478.193886
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/raw_metrics/000019_periodic.prom	87928	1788168479.145886
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/raw_metrics/000020_periodic.prom	87940	1788168480.152885
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/raw_metrics/000021_periodic.prom	87930	1788168481.194885
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P1/raw_metrics/000022_after.prom	87930	1788168482.658885
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/client/client.log	134	1788168481.957885
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/client/command.json	1399	1788168430.778903
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/client/requests.jsonl	17880	1788168481.448885
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/client/summary.json	1689	1788168481.445885
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/client/summary.txt	925	1788168481.450885
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/client/trace.csv	920	1788168430.776903
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/derived/metrics_delta.json	87556	1788168482.801884
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/derived/scrape_schedule.csv	7146	1788168482.806885
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/raw/proxy_diagnostic_sync.json	174	1788168482.000885
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/raw/proxy_diagnostics.jsonl	35056	1788168482.779885
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/audit.json	772	1788168548.887861
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/endpoint_summary.csv	1150	1788168548.897861
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/energy_summary.csv	537	1788168548.900861
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/metadata.json	2218	1788168482.909884
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/requests.csv	4158	1788168548.890861
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/routes.csv	2725	1788168548.894861
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/summary.json	10251	1788168548.884861
