step,gpu_type,gpu_freq_mhz,mem_freq_mhz,tp_degree,input_len,output_len,request_rate,run,num_prompts,benchmark_duration_s,request_throughput_rps,output_token_throughput_tps,total_token_throughput_tps,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p99_itl_ms,avg_power_w,min_power_w,max_power_w,energy_j,avg_gpu_util_pct,avg_mem_util_pct,monitor_samples
step2a,L40S,2520,9001,1,128,128,50,3,500,15.17,32.96,4219.09,8405.22,160.55,171.94,215.49,41.40,42.59,46.99,41.40,42.75,60.94,205.72,83.29,354.08,0,46.3,0.0,628
step2a,L40S,2520,9001,1,128,512,1,1,500,511.10,0.98,500.88,625.12,72.18,71.57,86.63,22.15,21.99,23.74,22.15,21.92,26.10,281.43,85.61,322.05,0,97.4,0.0,9225
step2a,L40S,2520,9001,1,128,512,1,2,500,511.10,0.98,500.88,625.12,74.67,74.35,90.73,22.25,22.11,23.74,22.25,22.00,26.57,284.76,88.39,325.03,0,97.1,0.0,9264
step2a,L40S,2520,9001,1,128,512,1,3,500,511.10,0.98,500.88,625.12,74.53,73.71,90.42,22.25,22.11,23.75,22.25,22.00,26.58,282.94,87.54,334.04,0,96.3,0.0,9347
step2a,L40S,2520,9001,1,128,512,10,1,500,88.00,5.68,2909.05,3630.64,141.08,152.16,175.67,37.71,39.03,39.11,37.71,38.19,47.51,297.67,88.86,370.10,0,82.8,0.0,2019
step2a,L40S,2520,9001,1,128,512,10,2,500,88.11,5.67,2905.53,3626.24,141.44,152.79,175.73,37.77,39.08,39.18,37.77,38.18,48.35,293.13,88.15,365.67,0,81.3,0.0,2061
step2a,L40S,2520,9001,1,128,512,10,3,500,88.07,5.68,2906.73,3627.73,141.25,152.49,180.10,37.75,39.07,39.16,37.75,38.23,48.45,302.21,86.93,358.94,0,84.8,0.0,1976
step2a,L40S,2520,9001,1,128,512,50,1,500,66.05,7.57,3875.80,4837.18,207.24,215.03,312.12,60.20,60.41,63.53,60.20,58.99,102.47,282.7,86.56,359.68,0,72.1,0.0,1729
step2a,L40S,2520,9001,1,128,512,50,2,500,66.05,7.57,3876.03,4837.47,212.46,219.60,341.24,60.17,60.39,63.49,60.17,58.90,101.02,291.62,85.61,359.69,0,75.7,0.0,1651
step2a,L40S,2520,9001,1,128,512,50,3,500,66.02,7.57,3877.68,4839.53,218.18,221.59,364.23,60.12,60.33,63.43,60.12,58.82,99.06,280.87,85.37,355.55,0,71.5,0.0,1746
step2a,L40S,2520,9001,1,128,1024,1,1,500,524.41,0.95,976.34,1097.43,83.72,82.39,100.60,25.94,26.20,26.69,25.94,26.05,29.96,316.38,85.22,355.50,0,96.7,0.0,9843
step2a,L40S,2520,9001,1,128,1024,1,2,500,524.39,0.95,976.37,1097.46,84.36,82.53,101.49,25.95,26.21,26.69,25.95,26.04,29.98,315.25,88.78,350.60,0,96.2,0.0,9872
