request_id,selected_prefill_endpoint_id,selected_decode_endpoint_id,route_timestamp_wall_s,prefill_completion_wall_s,kv_handoff_completion_wall_s,decode_start_wall_s,decode_completion_wall_s,outcome
phase3c-xpyd_feedback_table_2p2d_255386-0073,P1,D1,1788284905.7893584,1788284905.9155712,1788284905.9155736,1788284905.9156554,1788284913.461964,completed
phase3c-xpyd_feedback_table_2p2d_255386-0074,P1,D1,1788284930.796734,1788284930.9267302,1788284930.926733,1788284930.92683,1788284946.0611653,completed
phase3c-xpyd_feedback_table_2p2d_255386-0075,P1,D1,1788284955.7894125,1788284955.970228,1788284955.9702303,1788284955.970318,1788284963.7007768,completed
phase3c-xpyd_feedback_table_2p2d_255386-0076,P1,D1,1788284983.8991034,1788284984.278371,1788284984.2783737,1788284984.2784734,1788284999.1945362,completed
phase3c-xpyd_feedback_table_2p2d_255386-0077,P1,D1,1788285008.510584,1788285008.6426256,1788285008.6426282,1788285008.6427686,1788285012.424484,completed
phase3c-xpyd_feedback_table_2p2d_255386-0078,P1,D1,1788285030.7970793,1788285031.1213737,1788285031.121376,1788285031.121461,1788285035.1310697,completed
phase3c-xpyd_feedback_table_2p2d_255386-0079,P1,D1,1788285055.8001647,1788285056.3327374,1788285056.33274,1788285056.3328333,1788285060.575326,completed
phase3c-xpyd_feedback_table_2p2d_255386-0080,P1,D1,1788285080.800021,1788285080.9322503,1788285080.9322531,1788285080.932375,1788285088.4806242,completed
phase3c-xpyd_feedback_table_2p2d_255386-0081,P1,D1,1788285105.7963548,1788285105.9176078,1788285105.91761,1788285105.9177349,1788285121.0519216,completed
phase3c-xpyd_feedback_table_2p2d_255386-0082,P1,D1,1788285130.7888198,1788285130.9632492,1788285130.9632518,1788285130.9633427,1788285138.6949775,completed
phase3c-xpyd_feedback_table_2p2d_255386-0083,P1,D1,1788285158.9185426,1788285159.301573,1788285159.3015757,1788285159.301737,1788285174.216622,completed
phase3c-xpyd_feedback_table_2p2d_255386-0084,P1,D1,1788285183.4591966,1788285183.5813107,1788285183.5813134,1788285183.5814257,1788285187.3623142,completed
phase3c-xpyd_feedback_table_2p2d_255386-0085,P1,D1,1788285205.798419,1788285206.123652,1788285206.1236558,1788285206.1238055,1788285210.1326547,completed
phase3c-xpyd_feedback_table_2p2d_255386-0086,P1,D1,1788285230.7998877,1788285231.3371294,1788285231.337132,1788285231.3372295,1788285235.5788984,completed
phase3c-xpyd_feedback_table_2p2d_255386-0087,P1,D1,1788285255.799437,1788285255.9136302,1788285255.9136322,1788285255.9137657,1788285263.4594011,completed
phase3c-xpyd_feedback_table_2p2d_255386-0088,P1,D1,1788285280.7971187,1788285280.9100244,1788285280.9100268,1788285280.9101145,1788285296.047098,completed
phase3c-xpyd_feedback_table_2p2d_255386-0089,P1,D1,1788285305.7893305,1788285305.9565542,1788285305.9565568,1788285305.956644,1788285313.6879652,completed
phase3c-xpyd_feedback_table_2p2d_255386-0090,P1,D1,1788285330.7967446,1788285331.3244672,1788285331.3244696,1788285331.324556,1788285348.2547393,completed
phase3c-xpyd_feedback_table_2p2d_255386-0091,P1,D1,1788285355.7871306,1788285355.9069195,1788285355.906922,1788285355.9070125,1788285359.6881912,completed
phase3c-xpyd_feedback_table_2p2d_255386-0092,P1,D1,1788285380.8008034,1788285381.0940459,1788285381.0940485,1788285381.0941381,1788285385.0933309,completed
